language,consonants,phonemes
Naga Pidgin,30,47
Yoruba,19,31
Tok Pisin,15,27
Xavante,11,24
Baniwa do Icana,16,24
Dimli,30,44
Ngemba,29,40
Izi-Ezaa-Ikwo-Mgbo,29,40
Sa'ban,38,46
Bissa,18,24
Bench,29,40
Natugu (Retired),30,47
Min Nan Chinese,19,25
Ife,19,34
Lemeting,19,25
Yerukula,20,38
Sandawe,44,64
Tamasheq,22,43
Wamey,39,46
Amarakaeri,15,33
North Marquesan,12,22
Zuni,44,54
Yukpa,15,21
Kasem,21,45
Tuyuca,11,23
Makasar,18,23
Matumbi,15,23
Tepo Krumen,17,39
Central Moroccan Berber,36,39
Spanish,20,25
Polish,31,37
Kambera,19,29
Mara,19,24
Izi-Ezaa-Ikwo-Mgbo,27,38
Cherepon,26,38
Ashaninka,15,19
Ambulas,17,24
Kakua,21,26
Tacana,18,22
Tinigua,22,40
Luo (Kenya and Tanzania),26,38
Dan,19,39
Logo,27,39
Ngiemboon,17,28
Ndamba,19,24
Mao Naga,20,26
Morokodo,42,54
Dagbani,23,29
Bambalang,34,57
Arikapu,11,25
Anyin,17,36
Mbukushu,22,29
Loma (Liberia),21,51
Degema,24,36
Desano,12,18
Komo (Sudan),23,31
Nootka,37,47
Northeast Maidu,18,24
Lusi,16,21
Central Mazahua,45,63
Suya,15,31
Moyon,24,37
Patep,30,44
Jebero,17,21
Sereer,33,43
Moseten-Chimane,23,41
Reel,20,63
Epena,17,38
Chepang,18,24
Kenswei Nsei,55,65
Guahibo,17,35
Wangaaybuwan-Ngiyambaa,15,18
Abidji,21,39
Zhenkang Wa,27,49
Swedish,18,35
Juma,12,24
Baruga,14,24
Ga,32,47
Navajo,31,47
Tulu,24,37
Ndut,27,34
Mbo (Cameroon),21,36
Fang (Equatorial Guinea),25,41
Karadjeri,17,20
Maquiritari,12,26
Swahili,31,36
Chopi,61,68
Pulaar,28,38
Tunia,24,40
Lega-Shabunda,18,38
Bouna Kulango,27,46
Dazaga,21,32
Antigua and Barbuda Creole English,24,37
Awiyaana,11,20
Bouyei,23,34
Klamath-Modoc,33,37
Urubu-Kaapor,15,26
Marghi Central,36,44
Guarayu,14,26
Hixkaryana,18,23
Vanimo,12,28
Tohono O'odham,19,24
Liberia Kpelle,32,49
Toba,21,28
Crow,10,23
Konkani,19,37
Eastern Yiddish,38,47
Jamamadi,12,16
Fasu,11,21
Khezha Naga,42,50
Chiquihuitlan Mazatec,25,33
Bongo,18,29
Thai,21,30
Abipon,15,20
Hadza,57,62
Tama (Chad),21,30
Atayal,19,27
Galibi Carib,11,17
Usan,14,20
Parakana,12,17
Tonga (Tonga Islands),12,17
Bashkir,27,38
Bana,37,44
Akoose,22,44
Ashe,24,36
Kwasio,46,54
Wayuu,28,46
Toba,18,26
Abau,9,14
Andoa,15,25
Choctaw,15,21
Tsou,15,21
Mufian,17,22
Awa-Cuaiquer,16,26
Portuguese,23,38
Southern Sierra Miwok,15,21
Fuliiru,25,35
Kol (Cameroon),28,55
Gwandara,35,64
Ejagham,19,29
Selk'nam,21,29
Pampanga,17,22
Bororo,15,22
Badaga,25,38
Binumarien,11,16
Aragonese,33,45
Bafut,21,49
Jaqaru,36,42
Kman,34,50
Kharia,31,36
Shall-Zwall,14,18
Wichita,21,29
Kharia,31,45
Ndali,17,31
Iraqw,33,48
Bella Coola,28,31
Daw,24,39
Mundang,37,67
Tira,26,42
Tahaggart Tamahaq,25,37
Modern Hebrew,24,30
Ikpeng,12,18
Pana (Central African Republic),34,66
Kotiria,16,28
Ngarinyin,18,24
Samre or Siem Reap,20,41
Nukak Maku,12,24
Tatana,17,21
Isoko,28,37
Yansi,17,42
Koreguaje,18,30
Nganasan,20,29
Mundabli,22,38
Efik,13,20
German,23,39
Aari,26,36
Eton-Mengisa,21,38
Tanimuca-Retuara,11,21
Fwai,19,35
Burushaski,38,43
Duala,21,33
Nobiin,33,45
Terena-Kinikinao-Chane,13,23
Tilquiapan Zapotec,22,30
Seneca,11,19
Adamawa Fulfulde,27,36
Chipaya,41,51
Totela,44,54
Unami,22,39
Tshangla,32,37
Xipaya,14,23
Northern Pame,40,54
Iyo'wujwa Chorote,16,21
Samba Leko,22,34
Budu,31,43
Anufo,45,59
Baatonum,18,30
Irula,31,52
Chumburung,21,30
Fang (Cameroon),23,36
Gade Lohar,31,50
Ngas,24,36
Furu,31,41
Movima,18,23
Siona-Tetete,18,30
Batanga,20,31
Moroccan Arabic,74,78
North Moluccan Malay,21,27
Cayubaba,17,33
Ewe,28,45
Kabardian,49,56
Akan,18,31
Aklanon,17,20
Arbore,49,59
Kabardian,49,56
Kota (India),23,28
Selee,18,33
Bumbita Arapesh,15,22
Gonja,23,39
Komo (Sudan),23,28
Wayana,9,16
Uri,16,24
Zulu,32,37
Central Kanuri,18,25
Nafaanra,25,44
Central Aymara,36,42
Zinza,20,30
Vengo,56,82
Lealao Chinantec,28,35
Waorani,11,21
Thulung,30,38
Chechen,32,44
Hoti,21,35
Umbundu,20,30
Reunion Creole French,30,42
Sebat Bet Gurage,34,42
Eten,63,74
Irish,45,69
Javanese,24,33
Cupeno,27,38
Northern Embera,20,32
Adioukrou,21,32
Olu'bo,34,46
Bamunka,23,32
Gidar,28,38
Tamil,21,33
Machame,33,46
Sekpele,21,33
Njebi,24,34
Ekpeye,24,37
Pemono,12,19
Kekchi,21,26
Merey,33,44
Central Kanuri,23,29
Cogui,24,36
East Makian,19,24
Ngombale,37,59
Ngad'a,21,27
Northern Frisian,23,42
Baoule,21,37
Bakairi,17,29
Southern Sama,17,23
Bororo,13,20
Ambonese Malay,18,23
Tee,23,38
Modern Greek,21,26
Cajamarca Quechua,19,22
Tamil,32,43
Tiruray,16,22
Chiripa,17,29
Limbum,23,41
Juang,24,36
Sissala of Burkina Faso,22,51
Ibani,25,38
Gwandara,28,46
Paez,29,39
Adangme,23,39
Kituba (Congo),17,22
Xhosa,75,84
Awtuw,11,18
West Coast Bajau,17,23
East Makian,32,37
Jauja Wanca Quechua,22,27
Soninke,24,39
Ravula,23,39
Kalkutung,20,23
Yekhee,26,36
Masai,21,43
Yanomamo,12,19
Bora,17,31
Kayabi,14,24
Ocaina,25,34
Ayoreo,20,30
Mossi,17,43
Mwani,21,26
Caquinte,19,27
Cavinena,20,24
Sukuma,38,57
Nyam,39,56
Gude,30,36
Bakole,27,34
Pilaga,18,22
Ulwa,22,28
Kunimaipa,15,20
Ibibio,17,32
Xamtanga,23,30
Southern Yukaghir,21,33
Yuchi,38,46
Pech,18,28
Aewa,17,27
Piaroa,23,30
Koyraboro Senni Songhai,15,24
Sentani,10,17
Waimaha,11,25
Abua,27,40
Loma (Liberia),28,42
Southern Bobo Madare,19,38
Mekens,15,35
Basque,23,28
Waama,13,41
South Bolivian Quechua,32,37
Georgian,29,35
Palauan,10,22
Northeast Maidu,17,23
Nivacle,22,28
Barbareno,38,44
Mamainde,14,34
Batak Karo,16,21
Yanomami,13,20
Avar,44,49
Apalai,12,24
Nuer,20,48
Pichis Asheninka,22,30
Arandai,13,18
Camsa,21,27
Qawasqar,18,24
Northern Lushootseed,33,37
Koshin,23,37
Mwaghavul,25,37
Nisga'a,32,42
Western Bru,20,42
Tigre,26,33
Waimaha,10,22
Kupang Malay,19,25
Umotina,12,20
Caddo,20,23
Breton,25,42
Skou,13,23
Northern Kurdish,30,47
Yulu,35,42
Cerma,21,46
Tamnim Citak,11,17
Sao Paulo Kaingang,13,27
Zulgo-Gemzek,29,34
Karitiana,11,25
Dhuwal,20,23
Nateni,13,40
Hiligaynon,20,25
Waimiri-Atroari,16,27
Ignaciano,15,19
Selepet,15,21
Central Siberian Yupik,32,36
Nankina,14,20
Siwu,20,37
Tetum,13,18
Tzotzil,21,26
Bafanji,26,59
Kpan,24,34
Mbum,30,38
Sayula Popoluca,19,25
Baure,14,18
Lyele,24,44
Baga Koga,17,25
Didinga,36,58
Paraguayan Guarani,24,36
Ngas,32,43
Garrwan,19,22
Zarma-Kaado,20,40
Ejagham,20,27
Chamacoco,21,37
Idoma,47,75
Luwo,19,32
Makurap,10,20
Tamnim Citak,14,19
Texistepec Popoluca,19,29
Tagalog,18,28
Manipuri,25,33
Prai,17,35
Angami Naga,37,43
Korean,21,32
Aikana,22,32
Trumai,18,24
Ikwere,23,46
Hoava,16,21
Sora,21,31
South-Eastern Ju,95,141
Dahalo,54,59
Cashibo-Cacataibo,15,21
Tarok,27,37
Ligbi,22,38
Brahui,24,33
Tem,25,36
Santiago del Estero Quichua,20,25
Golin,13,23
Jebero,19,23
Mundari,33,54
Malayalam,30,43
Dieri,22,25
Huehuetla Tepehua,26,36
Galibi Carib,16,28
Kuot,13,19
Bats,35,45
Huba,24,31
Wolof,38,54
Sedang,39,53
Pemon,10,21
North Junin Quechua,19,25
Finnish,25,42
Eloyi,41,51
Bankon,26,37
Sebat Bet Gurage,36,44
Wapishana,18,22
Baniwa do Icana,18,26
Nias,19,25
Northern Haida,47,50
Adzera,18,25
Ao Naga,24,32
Yanomamo,12,33
Lak,60,69
Dagur,22,29
Kahe,22,32
Archi,81,91
Hangaza,23,35
Shuar,13,21
Limbum,23,33
Engenni,20,33
Eastern Mari,25,33
Romanian,22,31
Gwandara,43,65
Mayogo,33,46
Xokleng,19,37
Croatian,25,36
Siwi,26,38
Even,17,27
Kraho,12,46
Papantla Totonac,16,22
Guerrero Amuzgo,25,37
Lambayeque Quechua,16,19
Igede,24,38
Yawa,14,19
Gwandara,32,52
Malayo,20,27
Tsafiki,16,26
Saliba (S\'alivan),20,30
Ewondo,26,34
Macuna,10,22
Kadiweu,23,31
Jamamadi,11,15
Chamicuro,19,29
Nootka,37,47
Urali,26,46
Island Carib,17,29
Nawdm,21,35
Mizo,33,39
Zulu,35,43
Thavung,20,47
Central Tunebo,14,19
Laz,27,32
Baoule,16,23
Hopi,31,49
Yanesha',23,29
Southern Birifor,25,52
Toposa,17,27
Belize Kriol English,22,35
Northern Khmer,24,43
Hopi,22,28
Eastern Ojibwa,16,27
Nupe-Nupe-Tako,25,38
Ama (Sudan),18,25
Gwandara,28,48
Grass Koiari,11,16
Galician,21,28
Buginese,19,25
Jungle Inga,13,16
Myene,29,36
Tigak,12,17
Czech,25,38
Mbo (Cameroon),19,35
Yawanawa,14,18
Ticuna,18,29
Serrano,33,42
Krim,22,38
Kunimaipa,15,20
Narim,22,34
Anyin,21,39
Sundanese,19,26
Tsotso,19,31
Mapoyo,12,19
Kotafon Gbe,29,45
Akan,28,60
Vai,28,43
Shuar,16,24
Telugu,32,43
Western Arrarnta,26,29
Timne,17,25
Gamo-Gofa-Dawro,26,36
Amele,15,20
Enawene-Nawe,13,25
Kwoma,24,31
Tikar,27,46
Senara Senoufo,19,51
Akawaio,10,21
Kyenga,22,37
Central Aymara,26,32
Spanish,20,25
Seri,17,25
Wambon,16,26
North Bolivian Quechua,25,28
Kusaal,22,44
Waiwai,14,20
Kipsigis,14,37
Mambwe-Lungu,19,36
Jamsay Dogon,37,60
Northern Tosk Albanian,28,35
Gujari,32,50
Tsafiki,16,25
Susu,21,35
North Alaskan Inupiatun,24,27
Sanuma,10,31
Yao,18,29
Zaparo,14,22
Ega,27,39
Hupa,35,42
Gujarati,35,60
Panare,13,20
Attie,24,47
Daloa Bete,24,37
Bassossi,20,34
Dyula,23,39
Denya,22,30
Ngoshie,26,34
Gikyode,29,51
Lugbara,26,39
Pangwa,23,35
Nara,17,22
Apatani,24,37
Dangaleat,21,28
Lithuanian,36,47
Madi,45,54
Weh,37,47
Eastern Pahari,35,47
Mising-Padam-Miri-Minyong,34,43
Logba,25,35
Bubia,25,39
Mokpwe,22,31
Curripaco,25,29
Akaselem,20,52
Barbareno,34,40
Afitti,17,26
Eastern Tamang,19,29
Cuiba,17,25
Cross River Mbembe,28,37
Chukchi,15,22
Awara,19,25
Manipuri,27,35
Ashaninka,17,21
Barasana-Eduria,11,17
Alyawarr,25,32
Iu Mien,35,49
Tlingit,43,48
Kathmandu Valley Newari,24,32
Achuar-Shiwiar,15,27
Giryama,40,47
Glavda,34,43
Kinnauri,31,46
Vute,30,59
Mapudungun,22,28
Mal,17,41
Shina,35,48
Chuanqiandian Cluster Miao,46,56
Sango,26,44
Yapese,28,44
Binandere,11,35
English,27,40
Mwali Comorian,19,24
Waima,9,14
Kwese,16,25
Galo,17,29
Komi-Zyrian,26,33
Bare,19,23
Romanian,22,32
Guato,17,25
Piraha,8,11
Imonda,13,23
Tol,22,28
Northern Grebo,19,36
Apinaye,17,34
Tieyaxo Bozo,19,36
Jinghpaw,25,30
Southern Nambikuara,25,43
Bodo Gadaba,21,40
Boikin,17,25
Kanga,54,76
Mambai,26,54
Tera,42,48
Njyem,20,42
Yanesha',24,33
Aneityum,21,26
Tunica,18,25
Sabane,13,18
Tigon Mbembe,99,116
Tese,24,47
Moru,26,38
Resigaro,32,37
Farefare,20,30
Hindi,37,58
Kashmiri,27,55
Tadaksahak,59,70
Lele (Chad),23,36
Iloko,17,21
Nhengatu,19,23
Amahuaca,15,23
Noone,19,33
Irantxe-Munku,21,43
Gamo-Gofa-Dawro,24,29
Gbaya-Bossangoa,29,45
Epena,17,31
Hills Karbi,28,39
Boko (Benin),19,34
Reyesano,18,22
Hawaiian,9,19
Toro So Dogon,16,28
Wolof,26,40
Sabaot,13,31
Sauria Paharia,24,34
Southeast Ijo,24,44
Kurukh,21,32
Warao,11,21
Norwegian Bokmal,22,46
Mullukmulluk,14,19
Qawasqar,16,19
Tagwana Senoufo,23,45
Saya,39,54
Telugu,47,68
Pangasinan,16,21
Carijona,14,21
Hakka Chinese,16,22
Kako,33,47
Busa,16,31
Fe'fe',17,25
Konni,31,49
Tachelhit,33,37
Ayacucho Quechua,14,17
Yameo,10,18
Burmese,34,50
Cocama-Cocamilla,11,16
Diriku,23,28
Barain,28,41
Aghem,25,35
Piapoco,15,19
Moken,22,32
Minica Huitoto,18,24
Bribri,18,27
Mbya Guarani,14,26
Sinhala,22,36
Karo (Brazil),14,25
Ndonga,29,36
Chacobo,16,20
Yaqui,17,22
Meru,17,27
Russian,33,38
Ese Ejja,17,21
Luyi,17,22
Teen,28,38
Balti,35,53
Adzera,18,25
Mwan,21,39
Adamawa Fulfulde,29,39
Shuar,15,23
