language,consonants,phonemes
Javanese,22,30
Wu Chinese,25,34
Maquiritari,12,26
Chaudangsi,34,42
Basa (Cameroon),29,41
Siar-Lak,15,22
Apatani,24,37
Baka (Cameroon),25,35
Hausa,25,31
Luwo,19,32
Bole,28,38
Nivkh,28,35
Awtuw,11,18
Yue Chinese,22,32
Koya,21,31
Banda-Ndele,32,45
Wogeo,15,20
Northern Toussian,16,35
Nateni,13,40
Gude,30,36
Yagua,11,23
Nkonya-Nkami,20,34
Polish,31,37
Mwotlap,15,22
Tunica,17,24
Hindi,37,58
Tupinamba,13,25
Moklen,19,46
Bongo,18,29
Jarawa (Nigeria),28,39
Sora,21,31
Samba Leko,22,34
West Coast Bajau,17,23
Sakha,33,49
Mandarin Chinese,25,32
Wayampi,14,25
Southeastern Pomo,27,38
Rotokas,6,11
Burji,26,36
Bororo,15,22
Tampulma,24,33
Central Nicobarese,16,35
Mina (Cameroon),39,50
Marathi,42,55
Pai Tavytera,15,27
Mbay,22,44
Kuo,29,56
Izi-Ezaa-Ikwo-Mgbo,27,38
Xwela Gbe,29,45
Northern Bobo Madare,21,37
Jebero,19,23
Koyraboro Senni Songhai,23,37
Basque,23,28
Navajo,31,47
Zulu,35,43
Balti,35,53
Iaai,33,52
Djeoromitxi,14,24
Eastern Low German,23,37
Korubo,14,20
Wubuy,19,23
Igbo,46,65
Southeastern Kolami,36,46
Ngiti,44,56
Ningil,14,21
Southeast Ijo,24,44
Irarutu,12,19
Borana-Arsi-Guji Oromo,26,36
Ekari,10,15
Thai,21,45
Galo,17,29
Chickasaw,16,25
Spokane,38,43
Mekens,16,26
Texistepec Popoluca,19,29
Ocaina,26,35
Carijona,14,21
Biak,14,24
Selk'nam,21,29
Bambara,32,58
Doyayo,22,34
Ega,27,39
Nootka,37,47
Tedaga,24,35
Bondo,27,40
Kamba (Kenya),13,31
Lokono,16,21
Bum,37,47
Kaingang,11,16
Mapoyo,12,19
Nomaande,14,30
Masai,21,43
Yucuna,16,21
Paite Chin,19,25
Gadsup,9,19
Koyra Chiini Songhay,21,36
Guahibo,17,35
Eastern Arrernte,27,30
Kulung (Nepal),22,43
Tinigua,22,40
Soninke,28,50
Western Highland Chatino,16,25
Medumba,16,25
Bulgarian,37,49
Yucuna,16,21
Yanomamo,12,19
Kayabi,14,26
Yambeta,18,28
Russian,33,38
Burarra,16,21
Dizin,24,30
Kangaki-Kagbaaga-Kajoko Bidyogo,18,25
Avar,44,49
Aewa,17,27
Jola-Fonyi,19,29
Yawanawa,14,18
West-Central Limba,17,24
Bench,46,56
Weh,37,47
Gujarati,35,60
Budu,31,43
Border Kuna,19,24
Nuer,20,48
Cherokee,11,17
Rukai,23,27
Sentani,10,17
Dera (Nigeria),24,35
Eastern Cham,21,30
Acoli,17,29
Lango (Uganda),18,40
Kabiye,24,47
Berom,24,31
Lele (Guinea),19,28
Katcha-Kadugli-Miri,41,63
Fwai,19,35
Hills Karbi,28,39
Maung,19,24
Russian,33,38
Southern Yukaghir,21,33
Nigeria Mambila,25,43
Northern Ngbandi,19,31
Eastern Pahari,27,39
Xavante,11,24
Lak,60,69
Northern Uzbek,24,30
Siona-Tetete,18,30
Tohono O'odham,19,29
Yagaria,14,23
Luchazi,32,42
Hakka Chinese,21,31
Savosavo,17,22
Lower Grand Valley Dani,12,24
Ache (Tupian),22,34
Caquinte,19,27
Gidar,28,38
Yuki,24,30
Salasaca Highland Quichua,24,29
Wamey,39,46
Kunjen,23,28
Wantoat,14,21
Mann,22,39
Baga Koga,17,25
Tol,22,28
Garo,16,21
Soo,18,28
Babanki,26,33
Georgian,29,35
Kinnauri,31,46
Pech,18,28
Maithili,34,42
Pume,23,38
Amundava,14,26
Maca,22,32
Maranao,13,17
Tocho,15,27
Izi-Ezaa-Ikwo-Mgbo,29,40
Loniu,16,23
Pacoh,18,33
Cha'palaa,23,27
Itelmen,27,32
Sissala of Burkina Faso,22,51
T'apo,20,25
Itonama,19,25
Cocama-Cocamilla,11,16
Cupeno,27,38
Wuzlam,34,42
Kimaama,20,44
Lao,28,40
North Junin Quechua,19,25
Galibi Carib,9,15
Ga,29,41
Uru,23,33
Bangolan,27,40
Cabiyari,12,17
Kashmiri,27,56
Modern Greek,21,26
Turkish,24,40
Nubi,30,35
Candoshi-Shapra,21,27
Subiya,46,51
