a,b
53,149
56,101
100,60
38,115
66,146
71,118
49,62
57,65
50,69
118,90
45,103
55,66
85,125
21,71
61,122
27,99
83,56
24,113
81,105
119,94
34,148
70,78
79,111
107,126
106,124
77,108
92,67
23,142
48,127
39,121
51,74
97,135
40,61
28,84
95,92
69,50
109,110
31,87
116,77
108,88
73,59
115,79
63,73
120,95
110,141
25,57
54,138
22,98
43,134
102,139
111,97
99,75
112,114
35,112
87,100
105,51
74,83
101,86
29,72
76,52
88,82
72,131
80,128
64,132
91,54
93,137
47,145
67,91
78,123
89,76
114,109
103,144
96,106
42,81
90,119
59,133
82,107
58,129
33,63
60,89
20,147
117,96
32,80
68,104
113,150
26,117
37,140
36,102
86,120
44,143
52,53
98,93
84,68
104,55
41,58
94,85
30,130
62,116
65,136
75,70
46,64
