a,b
42,50
73,90
85,108
103,135
34,118
84,68
92,86
113,145
44,125
101,150
115,83
80,115
86,85
56,126
24,61
118,59
114,66
64,54
104,98
30,110
28,97
74,73
88,128
109,104
112,69
37,143
48,78
79,74
97,120
47,67
57,91
51,148
78,64
116,133
71,100
38,87
98,132
53,117
72,119
65,57
39,96
52,70
54,111
23,82
91,112
59,130
26,131
68,65
58,92
82,127
29,99
63,79
49,81
111,142
99,72
90,88
36,144
102,114
106,93
110,77
81,136
31,116
94,60
35,53
20,129
87,103
100,62
60,123
67,102
108,107
25,149
119,80
40,52
66,121
89,84
45,137
105,106
95,76
69,51
107,89
41,58
120,134
22,138
117,113
46,140
83,101
33,75
27,141
61,124
93,122
70,146
75,63
76,56
55,147
77,55
96,95
62,139
43,109
21,94
32,105
50,71
