language,consonants,phonemes
Fur,19,30
Guarayu,14,26
Shabo,28,43
Southern Sama,17,23
Markweeta,13,36
Huamalies-Dos de Mayo Huanuco Quechua,21,31
Lahu,26,35
Koya,19,24
Iloko,17,23
Teke-Kukuya,21,28
Luchazi,32,42
Georgian,29,35
Shina,35,48
Central Nicobarese,16,35
Reyesano,18,22
Jauja Wanca Quechua,16,22
Kotafon Gbe,29,45
Suena,13,18
Saya,39,54
Awa-Cuaiquer,14,21
Mapoyo,12,19
Southern Ma'di,47,59
Baka (Cameroon),25,35
Awadhi,37,45
Amarakaeri,15,33
Japanese,27,40
Torwali,38,51
Thulung,30,38
Matis,15,21
Mor (Bomberai Peninsula),14,19
Shawnee,13,19
Hopi,31,49
Cebuano,18,21
Kita Maninkakan,19,33
Biak,14,24
Paiwan,22,26
Eastern Oromo,48,60
T'apo,20,25
Bakaka,19,34
Kanoe,12,26
Chonyi-Dzihana-Kauma,40,47
Yansi,17,42
Aikana,15,25
Qimant,28,39
Nganasan,20,29
Shasta,17,21
Nukuini,14,20
Mapudungun,22,28
Tlingit,43,48
Amanab,14,19
Yucuna,16,21
Bengali,29,43
Salasaca Highland Quichua,24,29
Eastern Pahari,27,39
Limbum,23,41
Saxwe Gbe,24,38
Gwandara,43,65
Grass Koiari,11,16
Norwegian Bokmal,22,46
Zulu,35,43
Satere-Mawe,12,27
Kete,16,25
Hawaiian,8,13
Dieri,22,25
Kazym-Berezover-Suryskarer Khanty,19,32
Baga Sitemu,18,26
Korean,22,40
Hainyaxo Bozo,20,34
Portuguese,23,38
Cebaara Senoufo,22,38
Bimoba,22,44
Kahe,22,32
Mbum,30,38
East Makian,18,23
Central Kanuri,23,29
Eastern Yiddish,38,47
Tzotzil,21,26
Eastern Panjabi,50,73
Natugu (Retired),30,47
Manado Malay,19,25
Anyin,19,40
Wu Chinese,29,41
Ligbi,22,38
Bambara,32,58
Coeur d'Alene,40,48
Noone,19,33
Wapishana,18,22
Mato Grosso Arara,19,33
Kaxarari,15,20
French,21,37
Adang,18,40
Awutu,30,50
Xokleng,19,37
Koyra Chiini Songhay,21,36
Wan,21,36
Lega-Shabunda,18,38
Alaba-K'abeena,52,62
Lamang,37,41
Tucano,15,27
Curripaco,25,29
Mongo,45,56
Kashmiri,27,55
North Junin Quechua,19,22
Kannada,36,47
Kgalagadi,43,53
Boro (Ethiopia),22,30
Sasak,19,30
Ewondo,15,25
Central Aymara,28,31
Kunimaipa,15,20
Nanti,18,27
Sissala of Burkina Faso,24,42
Western Farsi,24,30
Dafla,15,24
Liberia Kpelle,21,45
Koya,21,31
Maria (India),22,39
Ndonga,29,36
Pume,23,38
Navajo,36,54
Baruga,14,24
Italian,23,30
Karok,16,27
Ginyanga,31,53
Mbukushu,22,29
Bekwarra,23,36
Shuar,15,23
Lugbara,26,36
Awtuw,11,18
Manya,18,27
Nisga'a,32,42
Kwami,28,40
Jola-Fonyi,19,29
Chipewyan,39,61
Wawa,30,49
Gbari,24,31
Sandawe,44,64
S'gaw Karen,27,36
Tama (Chad),21,30
San Mateo del Mar Huave,18,24
Didinga,36,58
Pangwa,23,35
Wichita,21,29
Nateni,13,40
Siriono,18,28
Central Kanuri,25,35
Juruna,18,28
Kamba (Kenya),13,31
Molale,23,30
Mampruli,24,36
Western Niger Fulfulde,27,32
Chopi,61,68
Vietnamese,21,39
Toba,20,28
Limbum,37,52
Dera (Indonesia),11,17
South Wa,34,77
Kunyi,44,55
Candoshi-Shapra,21,27
Poyanawa,14,21
Hupa,35,42
I'saka,9,18
Bagirmi,29,48
Muinane,22,28
Santiago del Estero Quichua,20,25
Betta Kurumba,22,37
Zulgo-Gemzek,29,34
Yuqui,20,40
Minica Huitoto,18,24
Yambeta,18,28
Afar,17,27
Eyak,32,45
Buamu,17,28
Northern Lushootseed,33,37
Arhuaco,16,32
Nigerian Fulfulde,28,38
Doyayo,22,48
Subiya,46,51
Satawalese,29,42
Modern Greek,21,26
Maijiki,14,20
Ndonga,25,30
Purepecha,26,32
Apalai,12,24
Ese Ejja,18,22
Straits Salish,35,40
Komo (Democratic Republic of Congo),24,35
Pero,18,30
Copainala Zoque,16,22
Kambera,19,29
Tulishi,37,59
Huehuetla Tepehua,26,36
Beembe,16,26
Tigak,12,17
Kayapo,16,33
Barbareno,38,44
Canela-Kraho,13,29
Olu'bo,16,21
Yareba,13,18
Gbesi Gbe,31,47
