a,b
96,104
99,70
64,69
55,141
54,144
25,137
63,143
65,79
68,129
23,115
111,147
101,67
103,125
75,71
87,140
84,51
31,83
34,122
110,146
74,101
73,64
71,105
80,76
42,63
82,118
61,55
66,56
116,111
53,100
89,54
67,87
78,85
108,119
32,130
38,65
58,77
120,110
36,75
88,117
83,109
47,135
41,68
29,57
117,66
107,127
22,50
40,78
85,131
118,114
105,136
62,52
24,107
28,128
86,126
49,132
98,59
106,145
114,138
20,112
56,124
77,62
69,94
94,99
59,74
26,106
70,102
60,97
90,134
91,60
100,108
45,93
48,148
109,86
81,123
72,95
97,116
21,103
50,82
51,121
33,80
37,96
112,98
119,120
93,90
102,139
44,84
30,73
35,89
113,133
115,53
46,113
43,92
79,58
92,81
57,149
104,142
39,88
95,61
76,91
52,72
27,150
