language,consonants,phonemes
Mising-Padam-Miri-Minyong,34,43
Abidji,21,38
Eastern Bolivian Guarani,12,24
Northern Tosk Albanian,28,35
Ticuna,18,38
Jicarilla Apache,34,56
Timne,17,30
Achinese,21,55
Mende (Sierra Leone),23,34
Mullukmulluk,14,19
Otoro,30,44
Siwi,26,38
Japanese,27,40
Akoose,22,44
Kunza,23,33
Bakairi,17,29
Awa-Cuaiquer,14,21
Karok,27,41
Kaxarari,15,20
Igbo,46,65
Tolowa-Chetco,29,44
Cherokee,11,17
Khezha Naga,42,50
Cocama-Cocamilla,11,16
Aghem,25,35
Bench,46,56
Karo (Brazil),14,27
Medumba,16,25
Mba,24,31
Northern Bobo Madare,20,40
Pemon,10,17
Toba,21,28
Itbayat,19,23
Koryak,16,21
Resigaro,30,35
Awngi,30,39
Aewa,17,27
Tilquiapan Zapotec,22,30
Luwo,19,32
Naki,36,44
Murui Huitoto,14,20
Mapudungun,20,26
Paraujano,13,25
Awiyaana,11,20
Manchu,18,25
Washo,26,32
South Bolivian Quechua,31,36
Min Dong Chinese,14,21
Tese,24,47
Ngazidja Comorian,41,48
Tamnim Citak,14,19
Atayal,19,26
Dieri,22,25
Bafanji,26,59
Namia,9,15
Moseten-Chimane,26,38
Tikar,27,46
Ignaciano,21,25
Tabasco Chontal,25,37
Plateau Malagasy,21,25
Javanese,21,29
Nyambo,20,33
Muna,28,33
Mbya Guarani,14,26
Anyin,21,39
Mpade,30,40
Piapoco,15,19
Igo,23,33
Luiseno,23,34
Barasana-Eduria,11,17
Marathi,42,55
Fuliiru,25,35
Eastern Oromo,48,60
Northern Khmer,24,43
Qawasqar,16,19
Nobiin,16,21
Bomitaba,16,28
Bangolan,27,40
Suba-Simbiti,23,39
Tsafiki,16,25
Masalit,31,45
Kuwaataay,20,34
Siona-Tetete,18,30
Tz'utujil,25,35
Karo (Brazil),14,25
Iloko,17,23
Irula,31,52
Ma'di,24,38
Bafaw-Balong,27,47
Kurukh,21,32
Belanda Viri,28,43
Siwu,20,37
Gweno,24,29
Tuvinian,20,29
Halh Mongolian,21,35
Mada (Nigeria),23,41
Ligbi,22,38
Nuer,20,48
Southern-Coastal Tsimshian,38,41
Kambaata,49,59
Kanoe,12,26
Yareba,13,18
Burushaski,38,43
Anii,23,36
Kemezung,20,34
Ese Ejja,18,22
Tunica,17,24
Central Kanuri,23,29
Kwasio,46,54
Mato Grosso Arara,19,33
Sa'ban,38,46
Ebira,19,31
Iu Mien,33,41
Gidar,28,38
Bare,19,23
Eastern Pahari,35,47
West Coast Bajau,17,23
Moloko,31,47
Gwandara,28,46
Kamwe,26,35
Lu,22,31
Koorete,51,61
Bukusu,20,30
Hawaiian,8,13
Zulu,35,43
Batak Karo,16,21
Vai,28,43
Avar,44,49
Nyang'i,18,25
Kabardian,49,56
Tapirape,13,23
Chepang,18,24
Archi,81,91
Tupuri,28,56
Saamia,20,34
Suya,15,31
Yue Chinese,20,25
Mazanderani,22,29
Abau,9,14
Sebat Bet Gurage,33,39
Vanimo,12,28
Georgian,28,34
Yemba,21,35
Nganasan,20,29
Mundari,32,37
Sumbwa,20,32
Xeta,13,24
Ga,29,41
Ditammari,17,32
Zuni,44,54
Tshangla,32,37
Vaagri Booli,23,37
Abua,27,40
Lambadi,30,48
Korean,21,32
Chuvash,21,30
Polish,31,37
Bafut,21,49
Kagulu,26,31
Mundu,29,41
Zande,19,35
Central Aymara,28,31
Caddo,20,23
Adioukrou,21,32
Tucano,15,27
Gbaya-Mbodomo,28,37
Epena,17,38
Munduruku,17,39
Gwandara,28,48
Trio,10,24
Yana,22,30
K'iche',22,32
Cross River Mbembe,28,37
Xerente,13,27
Sanuma,11,24
Tsou,15,21
Au,10,17
Nobiin,33,45
Kakabe,22,38
Minica Huitoto,18,24
Choctaw,15,21
Tenetehara,14,21
Jebero,19,23
Tunia,24,40
Yugambeh-Bandjalang,12,16
Bafia,27,51
Northern Yukaghir,20,26
Mandinka,19,34
Swedish,18,35
Ava-Canoeiro,12,24
Eastern Ojibwa,16,27
Selee,18,33
Kwami,28,40
Yanomami,12,33
Garrwan,19,22
Chacobo,16,20
Mossi,17,43
Sebat Bet Gurage,34,42
Ofaye,14,24
Irula,23,30
Avikam,25,34
Central Nicobarese,16,35
Northern Gyalrong,49,57
Apalai,12,24
Alaba-K'abeena,52,62
Gujari,32,50
Amarakaeri,15,33
Ndonga,29,36
Lusi,18,28
Straits Salish,35,40
Capanahua,16,24
Urubu-Kaapor,15,26
Mwaghavul,25,37
Bagirmi,29,48
Ayacucho Quechua,14,17
Southern Ma'di,47,59
Phalura,30,40
Modern Greek,21,26
Ukrainian,24,30
Eastern Mari,25,34
Ndogo,29,38
Gbari,24,31
Fulnio,21,33
Yala,28,38
Panobo,14,18
Jaqaru,36,39
Mundani,23,41
Kabuverdianu,21,28
Kashmiri,28,56
Awngi,28,39
Inor,39,45
Limbum,22,35
Mehinaku,13,23
Awngi,28,35
Rotokas,6,11
Kom (Cameroon),59,75
Cerma,21,46
Qaqet,14,22
Palauan,10,22
Hupda,20,29
Irish,45,69
Konkomba,21,38
Yaoure,23,45
Salasaca Highland Quichua,23,26
Bongo,18,29
Zo'e,14,26
Tatuyo,11,17
Italian,23,30
Bafia,25,48
Indonesian,23,31
Ogbia,24,34
Baniva de Maroa,17,25
Lango (Uganda),18,40
Ga,32,47
San Martin Quechua,15,18
Sango,26,37
Maxakali,10,20
Fasu,11,21
Bubia,25,39
South-Eastern Ju,95,141
Pwo Northern Karen,25,37
Krenak,22,35
Yanomami,13,20
Furu,31,41
Sabane,11,16
Coeur d'Alene,40,48
Nateni,13,40
Tocantins Asurini,11,16
Modern Hebrew,24,30
Krikati-Timbira,11,26
Wolaytta,38,48
Northern Bobo Madare,21,33
Eastern Bolivian Guarani,12,24
Macushi,10,22
Gude,30,36
Northern Kissi,22,42
Mao Naga,20,26
Ambulas,17,24
Navajo,36,54
Southern Sama,17,23
Yao,18,29
Pinyin,42,66
Yuracare,18,25
Mampruli,24,36
Wari',14,20
Hupda,19,34
Moyon,24,37
Yuchi,38,64
Mezquital Otomi,42,58
Hausa,32,45
Panamint,23,36
Maung,19,24
Georgian,29,35
North Alaskan Inupiatun,24,27
Bila,19,33
Sango,26,44
Nootka,37,47
Tachelhit,28,31
Àhan,26,43
Fwai,19,35
Giryama,40,47
Indonesian Bajau,26,32
Achumawi,17,23
Krim,22,38
Chickasaw,16,25
Usarufa,17,22
Lango (Sudan),16,32
Matis,15,21
Kazym-Berezover-Suryskarer Khanty,19,32
Koho,27,37
English,27,40
Kako,33,47
Farefare,20,30
Tulishi,37,59
Warao,11,21
Nisga'a,32,42
Lambadi,24,34
Hungana-Saamba,20,33
Lahu,26,40
Chokri Naga,34,39
Apinaye,13,30
Sakha,22,34
Parkwa,31,35
Ayoreo,20,30
Baka (Cameroon),25,35
Cusco Quechua,26,31
Leco,24,30
Ngad'a,21,27
Karadjeri,17,20
Western Farsi,24,30
Mbe',48,57
Gadsup,9,15
Mekens,15,35
Babanki,26,33
Wobe-We Northern,15,48
Toda,38,53
Tetum,13,18
Antakarinya,17,23
Taroko,33,43
Afade,27,36
Bodo (India),15,21
Kamba (Kenya),13,31
Huichol,15,25
Subiya,46,51
Ayere,26,43
Latunde,12,28
Maquiritari,12,26
Palor,26,43
Fang (Equatorial Guinea),25,41
Gujari,35,54
Mufian,17,22
Nigerian Fulfulde,47,57
S'gaw Karen,27,36
Busa,16,31
Moken,22,32
Seri,17,25
Garo,21,26
Waimaha,10,22
Siamou,22,41
Dahalo,54,59
Amahuaca,15,23
Hanga,23,29
Savosavo,17,22
Buli (Ghana),23,46
Taushiro,12,17
Vengo,56,82
Konkani,19,37
Ibibio,17,32
Carijona,14,21
Galibi Carib,16,22
Kimaragang,18,23
Sindhi,44,54
Zulu,32,37
Lijili,29,48
Dibole,21,31
Kxoe,95,120
Wangaaybuwan-Ngiyambaa,15,18
Marghi Central,30,34
Arhuaco,15,21
Ngizim,34,40
Kabiye,22,47
Tulu,24,37
Hawaiian,9,19
Lithuanian,36,47
Lele (Guinea),19,28
Shawnee,13,19
Mbay,22,44
Hainyaxo Bozo,20,34
Hadiyya,46,56
Hausa,33,43
Seneca,11,27
Adamawa Fulfulde,24,34
Bakairi,16,30
Pulaar,28,38
Yemsa,25,40
Panare,12,25
Ganda,19,33
Libyan Arabic,34,50
Kahe,22,32
Eastern Panjabi,50,73
Ewondo,15,25
Burji,26,36
Samo,12,18
Adamawa Fulfulde,29,39
Bribri,18,27
Moklen,19,46
Bambassi,23,36
Tibetan,24,38
Mandarin Chinese,27,43
Ncane,17,41
Lisu,25,39
Ndzwani Comorian,32,39
North Marquesan,12,22
Dera (Nigeria),24,35
