language,consonants,phonemes
Moru,26,38
Northern Kurdish,30,47
Gaviao Do Jiparana,19,29
Argobba,30,38
Deg,22,52
Pume,23,38
Konkani,35,45
Shasta,17,21
Ndali,17,31
Eastern Panjabi,32,51
Andoque,11,26
Kagulu,26,31
Lake Miwok,29,39
Beria,21,33
Baure,14,18
Urdu,35,54
Nandi,13,23
Siriano,11,23
Dahalo,54,59
Ejagham,19,29
Bengali,34,48
Larantuka Malay,19,25
Lama (Togo),17,53
Hausa,32,45
Subiya,46,51
Ahanta,24,40
A-Pucikwar,16,24
Jola-Fonyi,19,29
Puri,12,18
Bamun,28,38
Tilquiapan Zapotec,22,30
Yanomami,13,34
Tatuyo,11,17
Beja,21,26
Ute-Southern Paiute,19,37
Buli (Ghana),23,46
Berom,22,29
Juang,19,29
Yareba,13,18
Kwami,28,40
Muniche,22,27
Nootka,37,47
Warao,11,16
Epena,17,31
Godie,26,42
Kamasau,23,29
Luo (Kenya and Tanzania),26,38
Kwanja,21,43
Central Nicobarese,16,35
Lahu,26,40
Minica Huitoto,18,24
Koyaga,29,43
Barain,28,41
Xokleng,19,37
South Wa,34,77
Cuiba,17,25
Burun,19,38
North Giziga,29,37
Lambadi,24,34
Tigak,12,17
Ntcham,21,30
Guarayu,14,26
Mandarin Chinese,24,49
Bena (Tanzania),22,34
Paez,33,49
Xavante,11,24
Barain,16,29
Northern Dagara,29,41
Kangri,29,41
Malayo,20,27
Silt'e,46,56
Weh,37,47
Wobe-We Northern,15,48
Mbya Guarani,14,26
Malayalam,30,43
Gwandara,28,48
Ninam,13,25
Nama (Namibia),32,41
Chukchi,15,22
Izere,27,39
Sekpele,21,33
Arabela,19,29
Igo,23,33
Gujari,35,54
Macuna,10,22
Panare,13,20
Ga,29,41
Manipuri,27,35
Tepo Krumen,17,39
Kwaya,17,29
Deni,18,22
S'gaw Karen,27,39
Qaqet,14,22
Kirghiz,20,36
Puinave,8,19
Kakua,12,22
Kru Pidgin English,24,36
Kuruaya,18,28
Cebuano,18,21
Finnish,17,25
Glavda,34,43
Kodava,27,52
Jaunsari,34,51
Aghem,25,35
Tedaga,24,35
Tibetan,24,38
Kakua,21,26
Bakairi,16,28
Mono (Cameroon),35,62
Aja (Benin),28,45
Tol,22,28
Toda,38,53
Nganasan,20,29
Upper Chehalis,30,34
Katcha-Kadugli-Miri,41,63
Keiga,37,59
Sanskrit,37,45
Seri,17,25
Bafaw-Balong,27,47
Dutch,24,39
Busa,16,31
Wapishana,17,25
Biali,14,27
Beembe,16,26
Aikana,22,32
Halh Mongolian,21,35
Japanese,27,40
Pwo Northern Karen,25,37
Dagbani,24,37
Southern Bobo Madare,19,38
Yugambeh-Bandjalang,12,16
Shawnee,13,19
Kasem,19,40
Gban,20,36
Katcha-Kadugli-Miri,39,61
Shuar,16,24
Tu,23,28
Mocovi,23,31
Urali,26,46
Yao,18,29
