a,b
68,75
89,80
120,138
94,110
31,139
119,120
108,98
106,51
99,106
70,90
53,97
61,143
71,141
114,146
91,95
63,99
20,102
88,77
74,56
27,59
35,140
43,114
77,119
59,57
62,52
117,148
69,86
97,124
66,127
47,87
107,149
95,76
24,121
85,50
41,128
23,85
75,145
101,96
46,118
73,68
48,70
25,89
57,54
58,72
112,111
29,103
56,147
100,74
87,116
79,60
82,142
50,135
109,78
28,125
110,109
34,112
65,67
60,91
22,130
115,134
104,115
30,83
83,58
64,79
54,105
86,108
84,133
38,55
52,117
45,136
67,53
49,71
37,126
80,122
26,64
98,132
21,123
78,81
113,104
42,61
102,101
81,100
40,131
33,137
105,84
51,82
36,107
44,94
111,150
96,69
118,144
90,129
93,88
39,62
103,93
92,92
76,65
72,113
116,66
55,63
32,73
