language,consonants,phonemes
Daloa Bete,24,37
Baruga,14,24
Harari,25,34
Zulu,35,43
Makaa,30,55
Southern Nambikuara,25,43
Komo (Sudan),23,31
Mewati,30,50
Thado Chin,23,31
Akoose,18,32
Mufian,17,22
Nangikurrunggurr,20,28
Indonesian,23,31
Xokleng,19,37
Ndut,27,34
Paez,33,49
Yoruba,18,32
Bilua,16,41
Chong of Chanthaburi,21,40
Sindhi,41,61
T'apo,20,25
Cavinena,20,24
Bodo Gadaba,21,40
Piapoco,15,19
Ut-Main,36,56
Eastern Low German,23,37
Jarawa (Nigeria),28,39
Karo (Brazil),14,27
Kako,33,47
Thavung,22,72
Wolof,38,54
Siwu,20,37
Tzeltal,22,28
Zaparo,14,22
Shuar,13,21
Tagalog,19,24
Sebat Bet Gurage,39,45
Ngasa,22,31
Pacoh,18,33
San Miguel El Grande Mixtec,15,25
Mato Grosso Arara,19,33
Fuliiru,25,35
Toro So Dogon,16,28
Zoogocho Zapotec,28,65
Jamaican Creole English,21,33
Afrikaans,16,39
Cabiyari,12,17
Central Khmer,21,42
Fwai,19,35
Brao,22,31
Bench,46,56
Bena (Tanzania),22,34
Mpongmpong,29,38
Wichita,21,29
Tucano,15,27
Min Dong Chinese,14,21
Liberia Kpelle,32,49
Ignaciano,15,19
Herero,19,26
Loxicha Zapotec,23,30
Apinaye,17,34
Ke'o,24,30
Gourmanchema,20,33
Maijiki,14,20
Shwai,25,38
Chamacoco,21,37
Muna,28,33
Digo,41,48
Galo,17,29
Border Kuna,19,24
Kwak'wala,46,55
Moken,20,38
Eastern Bolivian Guarani,12,24
Curripaco,25,29
Yue Chinese,22,32
Tundra Nenets,26,34
Tahaggart Tamahaq,25,37
Eastern Mari,25,34
Paraguayan Guarani,24,36
Dibole,21,31
Bemba (Zambia),15,25
Bare,19,23
Sharanahua,15,23
Cebaara Senoufo,22,38
Sa'ban,19,26
Irula,31,52
Dangaleat,21,28
Coastal-Naga Bikol,23,28
Guinea Kpelle,27,35
Ignaciano,21,25
Mungaka,21,33
Konkani,35,45
Bench,29,40
Ebira,19,31
Lese,29,42
Tolowa-Chetco,26,31
Jebero,17,21
Koya,19,24
Tinputz,12,26
Breton,25,42
Kaingang,11,16
Qawasqar,18,24
Tiruray,16,22
A-Pucikwar,25,35
Niellim,23,36
Mann,22,39
Sabaot,13,31
Fe'fe',17,25
Piraha,8,11
Wichi Lhamtes Nocten,23,28
Yemba,21,35
Abipon,15,20
Tapiete,15,27
Pana (Central African Republic),34,66
Vame,38,46
Dyirbal,13,16
Bakairi,17,29
Lemeting,19,25
Önge,16,24
Ngoshie,26,34
Mofu-Gudur,35,40
Yanomami,13,20
Arandai,13,18
Bassossi,20,34
Komo (Democratic Republic of Congo),24,35
Zay,23,37
Gude,30,36
Wongo,15,24
Gbaya-Bossangoa,31,45
Suba-Simbiti,23,39
Buol,17,23
French,21,37
Saya,39,54
Jumjum,20,39
Copainala Zoque,16,22
Eastern Tamang,19,29
Dagbani,24,37
Guaja,12,24
Efik,13,20
Awutu,30,50
Akan,18,31
Ntcham,21,30
Tunen (Retired),17,26
Ormuri,25,31
Pangwa,23,35
Mam,33,43
Bakaka,19,34
Darma,34,42
Squamish,30,37
Chipewyan,38,52
Tupari,14,29
Lugbara,26,39
Kota (India),23,28
Nez Perce,26,36
Chonyi-Dzihana-Kauma,40,47
Nisga'a,32,42
Kunjen,23,28
Mwotlap,15,22
Gayo,19,27
Lao,28,40
Mwaghavul,25,37
Ejagham,21,32
Ewondo,26,34
Nyam,39,56
Au,10,17
Surui,19,29
Mbya Guarani,14,26
Zaiwa,21,32
Hoti,21,35
Puinave,8,19
Fang (Equatorial Guinea),25,41
Lotha Naga,35,43
Candoshi-Shapra,21,27
Dobu,19,24
Kele-Foma,21,30
Gude,30,36
Tsotso,19,31
Mapoyo,12,19
Batak Toba,18,27
Logo,27,39
Pech,18,28
Eastern Pahari,35,47
Wandala,45,52
Jaqaru,36,39
Lakkia,33,55
Kenswei Nsei,55,65
Telefol,17,27
Northern Ngbandi,19,31
Nyangumarta,20,27
Leco,24,30
Eten,63,74
Soninke,24,39
Ik,31,44
Amahuaca,14,22
Para Arara,11,17
Yom,25,38
Gunwinggu,19,24
Achuar-Shiwiar,15,27
Samba Leko,22,34
Ejagham,20,27
