a,b
82,87
55,78
22,117
84,107
24,64
119,147
23,119
26,84
67,62
51,145
48,118
31,140
117,92
20,71
111,93
62,114
68,133
37,130
79,83
65,101
115,116
34,141
35,146
64,56
74,53
40,142
30,138
36,144
87,58
77,91
85,76
63,74
61,123
39,105
120,149
93,73
27,67
80,99
44,108
78,57
108,125
97,86
118,135
21,70
95,88
28,96
73,51
110,137
56,128
100,85
96,98
89,106
81,120
59,89
70,90
102,127
114,124
43,150
54,61
58,54
60,68
76,102
42,112
88,72
104,122
69,66
101,129
112,132
107,109
45,113
86,134
99,79
92,126
46,115
38,77
29,60
71,82
49,80
52,103
33,59
66,95
91,55
47,121
106,100
32,75
116,81
57,63
75,110
113,52
50,131
72,50
53,111
90,136
105,94
25,65
98,139
109,104
41,97
103,69
94,143
83,148
