a,b
102,131
44,68
57,94
103,87
92,148
76,92
32,123
118,113
88,98
80,127
40,89
119,104
66,111
106,146
24,137
83,82
36,122
35,135
72,134
22,121
65,119
86,69
64,83
108,63
74,142
111,145
55,85
81,116
79,95
89,99
101,132
95,133
27,139
34,51
110,60
100,143
97,112
59,71
56,78
54,54
96,84
99,72
43,109
105,58
48,130
71,52
69,141
67,57
116,100
82,114
114,118
87,70
62,129
29,66
61,105
23,79
47,136
20,50
58,147
84,53
50,120
33,76
63,115
26,67
51,74
52,90
38,138
25,126
21,149
70,101
94,61
78,91
107,56
31,103
104,97
37,125
98,102
46,75
45,106
112,110
93,117
115,108
117,64
49,93
68,124
60,80
39,62
42,144
77,150
113,77
28,140
30,128
53,107
73,88
90,65
120,55
85,81
75,73
91,96
41,59
109,86
