s_id,sex,age_2017,w_id,stimulus,translation_en,translation_ru,stimulus_source,class
1,f,15,1,milki,hous,дом,native,b
1,f,15,2,vaɡon,train wagon,вагон,loan,b
1,f,15,3,inɡur,window,окно,native,b
1,f,15,4,ʁats'a,grasshopper,кузнечик,native,b
1,f,15,5,iʃkapi,cabinet,шкаф,loan,b
1,f,15,6,haq'u,room,комната,native,r
1,f,15,7,tʃ'ami,cheese,сыр,native,r
1,f,15,8,batarejka,battery,батарейка,loan,b
1,f,15,9,beʒun,needle,игла,native,b
1,f,15,10,kompjuter,computer,компьютер,loan,b
1,f,15,12,riʒi,face,лицо,native,r
1,f,15,13,ts'a,fire,огонь,native,r
1,f,15,14,priʃepka,clothes-peg,прищепка,loan,r
1,f,15,15,awʔal,nut,орех,native,r
1,f,15,16,kirpitʃ,brick,кирпич,loan,b
1,f,15,17,χur,"field, vegetable garden","поле, огород",native,r
1,f,15,18,tʃ'itʃ'om,pebble,камешек,native,b
1,f,15,21,simkarta,SIM,сим-карта,loan,r
1,f,15,22,kots'i,besom,метла,native,b
1,f,15,23,ala,lid,крышка,native,r
1,f,15,24,zatʃetka,student's record-book,зачетка,loan,b
1,f,15,25,q'en,wall,стена,native,b
1,f,15,27,ts'iq'u,hoar frost,иней,native,b
1,f,15,29,hark'u,eye,глаз,native,b
1,f,15,30,rekun,thread,нитка,native,r
1,f,15,31,kredit,сredit,кредит,loan,b
1,f,15,32,roʃon,rope,веревка,native,r
1,f,15,33,ɡurdo,shirt,рубашка,native,r
1,f,15,34,ɬol,horseshoe,подкова,native,r
1,f,15,35,tatʃka,wheelbarrow,тачка,loan,r
1,f,15,36,pult,remote control,пульт,loan,b
1,f,15,37,telefon,telephon,телефон,loan,r
1,f,15,38,arkom,spoon,ложка,native,b
1,f,15,40,zaʒiɡalka,lighter,зажигалка,loan,b
1,f,15,41,sputnʲik,satellite,спутник,loan,b
1,f,15,42,zar,ice,лед,native,r
1,f,15,43,bil,mountain,гора,native,b
1,f,15,44,provod,wire,провод,loan,b
1,f,15,46,tɬ'ir,bridge,мост,native,b
1,f,15,47,salfʲetka,napkin,салфетка,loan,r
1,f,15,48,awʔara,hat,шапка,native,b
1,f,15,49,aptsʲeka,pharmacy,аптека,loan,b
1,f,15,51,ts'umur,fork,вилка,native,b
1,f,15,52,ħetʃ'ink'a,maize,кукуруза,native,r
1,f,15,53,anzi,snow,снег,native,r
1,f,15,55,bint,bandage,бинт,loan,b
1,f,15,56,hints'u,door,дверь,native,r
1,f,15,57,rok'o,heart,сердце,native,r
1,f,15,59,enʃːur,flour,мука,native,r
1,f,15,60,kolʲaska,perambulator,коляска,loan,r
1,f,15,61,planʲeta,planet,планета,loan,b
1,f,15,62,romaʃka,camomile,ромашка,loan,r
1,f,15,63,tarif,tariff,тариф,loan,b
1,f,15,64,antena,antenna,антенна,loan,r
1,f,15,65,maʃina,car,машина,loan,b
1,f,15,66,inχi,river,река,native,b
1,f,15,67,moʁortʃ'u,tail,хвост,native,b
1,f,15,68,nitʃo,scythe,коса,native,b
1,f,15,69,dʒinsɨ,jeans,джинсы,loan,r
1,f,15,70,ɡol,goal,гол,loan,r
1,f,15,71,kometa,comet,комета,loan,b
1,f,15,72,lift,lift,лифт,loan,b
1,f,15,73,mijar,head,голова,native,r
1,f,15,75,plastɨrʲ,plaster,пластырь,loan,r
1,f,15,76,zarʲadka,charging,зарядка,loan,b
1,f,15,77,banan,banana,банан,loan,b
1,f,15,78,ts'ːa,star,звезда,native,r
1,f,15,79,hunts'ːi,honey,мед,native,r
1,f,15,80,linʲejka,ruler,линейка,loan,r
1,f,15,81,intʃi,apple,яблоко,native,b
1,f,15,82,sol,tooth,зуб,native,r
1,f,15,83,sumka,bag,сумка,loan,b
1,f,15,84,radio,radio,радио,loan,b
1,f,15,85,reʃa,tree,дерево,native,r
1,f,15,86,tsʲelʲevʲizor,TV,телевизор,loan,b
1,f,15,89,"ʔʷen, ʁʷen",horn,рог,native,b
1,f,15,91,ʃĩwũ,milk,молоко,native,r
1,f,15,92,ɬen,water,вода,native,r
1,f,15,93,ritɬ'i,meat,мясо,native,b
1,f,15,95,ʁan,flat cake,лепешка,native,b
1,f,15,96,bank,bank,банк,loan,b
1,f,15,97,bilet,ticket,билет,loan,r
1,f,15,98,raketa,rocket,ракета,loan,b
1,f,15,100,za,fist,кулак,native,r
1,f,15,101,paket,package,пакет,loan,r
1,f,15,102,reɬo,sea,море,native,r
1,f,15,103,qχota,hand palm,ладонь,native,r
1,f,15,104,samolʲot,aeroplane,самолет,loan,b
1,f,15,105,rozʲetka,socket,розетка,loan,b
2,f,53,1,milki,hous,дом,native,b
2,f,53,2,vaɡon,train wagon,вагон,loan,b
2,f,53,3,inɡur,window,окно,native,b
2,f,53,4,ʁats'a,grasshopper,кузнечик,native,b
2,f,53,5,iʃkapi,cabinet,шкаф,loan,b
2,f,53,6,haq'u,room,комната,native,r
2,f,53,7,tʃ'ami,cheese,сыр,native,r
2,f,53,8,batarejka,battery,батарейка,loan,b
2,f,53,9,beʒun,needle,игла,native,b
2,f,53,10,kompjuter,computer,компьютер,loan,b
2,f,53,12,riʒi,face,лицо,native,r
2,f,53,13,ts'a,fire,огонь,native,r
2,f,53,14,priʃepka,clothes-peg,прищепка,loan,b
2,f,53,15,awʔal,nut,орех,native,r
2,f,53,16,kirpitʃ,brick,кирпич,loan,b
2,f,53,17,χur,"field, vegetable garden","поле, огород",native,r
2,f,53,18,tʃ'itʃ'om,pebble,камешек,native,b
2,f,53,21,simkarta,SIM,сим-карта,loan,b
2,f,53,22,kots'i,besom,метла,native,b
2,f,53,23,ala,lid,крышка,native,r
2,f,53,24,zatʃetka,student's record-book,зачетка,loan,b
2,f,53,25,q'en,wall,стена,native,b
2,f,53,27,ts'iq'u,hoar frost,иней,native,b
2,f,53,29,hark'u,eye,глаз,native,b
2,f,53,30,rekun,thread,нитка,native,r
2,f,53,31,kredit,сredit,кредит,loan,b
2,f,53,32,roʃon,rope,веревка,native,r
2,f,53,33,ɡurdo,shirt,рубашка,native,r
2,f,53,34,ɬol,horseshoe,подкова,native,r
2,f,53,35,tatʃka,wheelbarrow,тачка,loan,r
2,f,53,36,pult,remote control,пульт,loan,b
2,f,53,37,telefon,telephon,телефон,loan,r
2,f,53,38,arkom,spoon,ложка,native,b
2,f,53,40,zaʒiɡalka,lighter,зажигалка,loan,b
2,f,53,41,sputnʲik,satellite,спутник,loan,b
2,f,53,42,zar,ice,лед,native,r
2,f,53,43,bil,mountain,гора,native,b
2,f,53,44,provod,wire,провод,loan,r
2,f,53,46,tɬ'ir,bridge,мост,native,b
2,f,53,47,salfʲetka,napkin,салфетка,loan,r
2,f,53,48,awʔara,hat,шапка,native,b
2,f,53,49,aptsʲeka,pharmacy,аптека,loan,b
2,f,53,51,ts'umur,fork,вилка,native,b
2,f,53,52,ħetʃ'ink'a,maize,кукуруза,native,r
2,f,53,53,anzi,snow,снег,native,r
2,f,53,55,bint,bandage,бинт,loan,b
2,f,53,56,hints'u,door,дверь,native,r
2,f,53,57,rok'o,heart,сердце,native,r
2,f,53,59,enʃːur,flour,мука,native,r
2,f,53,60,kolʲaska,perambulator,коляска,loan,r
2,f,53,61,planʲeta,planet,планета,loan,b
2,f,53,62,romaʃka,camomile,ромашка,loan,r
2,f,53,63,tarif,tariff,тариф,loan,b
2,f,53,64,antena,antenna,антенна,loan,b
2,f,53,65,maʃina,car,машина,loan,b
2,f,53,66,inχi,river,река,native,b
2,f,53,67,moʁortʃ'u,tail,хвост,native,b
2,f,53,68,nitʃo,scythe,коса,native,b
2,f,53,69,dʒinsɨ,jeans,джинсы,loan,r
2,f,53,70,ɡol,goal,гол,loan,b
2,f,53,71,kometa,comet,комета,loan,b
2,f,53,72,lift,lift,лифт,loan,b
2,f,53,73,mijar,head,голова,native,r
2,f,53,75,plastɨrʲ,plaster,пластырь,loan,b
2,f,53,76,zarʲadka,charging,зарядка,loan,b
2,f,53,77,banan,banana,банан,loan,b
2,f,53,78,ts'ːa,star,звезда,native,r
2,f,53,79,hunts'ːi,honey,мед,native,r
2,f,53,80,linʲejka,ruler,линейка,loan,r
2,f,53,81,intʃi,apple,яблоко,native,b
2,f,53,82,sol,tooth,зуб,native,r
2,f,53,83,sumka,bag,сумка,loan,b
2,f,53,84,radio,radio,радио,loan,b
2,f,53,85,reʃa,tree,дерево,native,r
2,f,53,86,tsʲelʲevʲizor,TV,телевизор,loan,b
2,f,53,89,"ʔʷen, ʁʷen",horn,рог,native,b
2,f,53,91,ʃĩwũ,milk,молоко,native,r
2,f,53,92,ɬen,water,вода,native,r
2,f,53,93,ritɬ'i,meat,мясо,native,b
2,f,53,95,ʁan,flat cake,лепешка,native,b
2,f,53,96,bank,bank,банк,loan,b
2,f,53,97,bilet,ticket,билет,loan,r
2,f,53,98,raketa,rocket,ракета,loan,b
2,f,53,100,za,fist,кулак,native,b
2,f,53,101,paket,package,пакет,loan,r
2,f,53,102,reɬo,sea,море,native,r
2,f,53,103,qχota,hand palm,ладонь,native,r
2,f,53,104,samolʲot,aeroplane,самолет,loan,b
2,f,53,105,rozʲetka,socket,розетка,loan,b
3,f,39,1,milki,hous,дом,native,b
3,f,39,2,vaɡon,train wagon,вагон,loan,b
3,f,39,3,inɡur,window,окно,native,b
3,f,39,4,ʁats'a,grasshopper,кузнечик,native,b
3,f,39,5,iʃkapi,cabinet,шкаф,loan,b
3,f,39,6,haq'u,room,комната,native,r
3,f,39,7,tʃ'ami,cheese,сыр,native,r
