language,consonants,phonemes
Loniu,16,23
Cavinena,20,24
Kuy,22,47
Chong of Chanthaburi,21,40
North Junin Quechua,19,25
Elip,19,30
Shina,35,48
Iraqw,33,45
Panoan Katukina,15,19
South Wa,34,77
Ebira,19,31
Paite Chin,19,25
Nyambo,20,33
Plateau Malagasy,31,36
Kumaoni,31,42
Kohumono,28,38
Amahuaca,14,22
Siar-Lak,15,22
Nimboran,12,18
Mapudungun,20,26
German,22,41
North Marquesan,12,22
Makaa,30,55
Satawalese,29,42
Önge,16,24
South Bolivian Quechua,32,37
Toro So Dogon,16,28
Ho,24,43
Irish,45,69
Central Kanuri,25,35
Javanese,21,29
Nateni,13,40
Ulwa,22,28
Jamsay Dogon,37,60
Maria (India),22,39
Ejagham,19,29
Ute-Southern Paiute,19,37
Mogholi,24,29
Itbayat,19,23
Waima,9,14
Mapudungun,20,26
Bakaka,19,34
Wyandot,11,17
Hoti,21,35
Awngi,30,39
Zoogocho Zapotec,28,65
Pinyin,42,66
Tagalog,18,28
Mescalero-Chiricahua Apache,31,51
Ngas,24,36
Gujari,32,50
Lamnso',26,45
Guaja,12,24
Tadaksahak,59,70
Selaru,14,19
Katcha-Kadugli-Miri,41,63
Ibani,25,38
Giryama,40,47
Chamacoco,21,37
Cavinena,20,24
Ahtena,30,35
Araona,19,23
Cebaara Senoufo,24,43
Ambulas,17,24
Kwami,28,40
Kangri,29,41
Ewe,26,40
Paraguayan Guarani,24,36
Comox,37,42
Kakua,12,22
Bafaw-Balong,27,47
Tasomi-Tata,14,21
Egyptian Arabic,58,67
Klamath-Modoc,33,37
Bribri,18,27
Ncane,17,41
Ninam,13,25
Ninam,12,18
Gbaya-Bossangoa,31,45
Ntcham,21,30
Uri,16,24
Parkwa,31,35
Gbesi Gbe,31,47
Duruma,42,49
Seneca,11,27
Gwandara,32,52
Tee,23,38
Peve,30,38
Moro,22,29
Arawete,12,21
Taroko,33,43
Nukak Maku,12,24
Waama,13,41
Huastec,26,36
Khasi,19,28
English,27,40
Luwo,19,32
Central Nicobarese,16,35
Luchazi,32,42
Bilin,31,38
Japreria,14,20
Arikapu,11,25
Chibcha,16,22
Koalib-Rere,29,45
