language,consonants,phonemes
Crow,10,23
Movima,18,23
Adamawa Fulfulde,24,34
Arbore,49,59
Lepcha,26,36
Kenyang,21,41
Akuntsu,11,22
Parakana,12,17
Yerukula,20,38
Ayoreo,20,30
Cha'palaa,23,27
Gaa,22,34
Toura (Cote d'Ivoire),19,50
Ntcham,21,30
Ajyininka Apurucayali,20,26
Dangaleat,21,28
Belize Kriol English,22,35
Tunen (Retired),17,26
Shall-Zwall,14,18
Kele-Foma,21,30
Bana,37,44
Papantla Totonac,16,22
Dhuwal,20,23
Ao Naga,24,32
Soninke,34,52
Khezha Naga,42,50
Principense,22,31
Kuikuro-Kalapalo,14,26
Bambara,21,35
Fuliiru,24,36
Maay,22,32
Tama (Chad),21,30
Tundra Nenets,27,35
Jur Modo,31,49
Dyula,23,39
Bengali,34,48
Tasomi-Tata,14,21
Moseten-Chimane,23,41
Selk'nam,21,29
Itonama,19,25
Biak,14,19
Eastern Panjabi,50,73
Mundari,32,37
Nyambo,20,33
Sandawe,44,64
Reel,20,63
Muinane,22,28
Mbo (Cameroon),20,31
Liberia Kpelle,22,34
Kako,33,47
Kalabari,22,43
Bundeli,38,55
Kanoe,12,26
Ho,24,43
Akawaio,10,21
Maori,10,20
Sango,26,37
Latunde,12,28
Bangolan,27,40
Mapoyo,12,19
Mbabaram,20,24
Waama,13,41
Manipuri,25,33
Lele (Chad),23,36
Western Bru,20,42
Murui Huitoto,14,20
Amo,25,35
Daw,24,39
Ekpeye,24,37
Sanuma,10,31
Bariai,12,17
Ngiemboon,19,30
Panare,13,20
Aragonese,33,45
Turkish,24,40
Nootka,37,42
Lemeting,19,25
Manchu,18,25
Tuvinian,21,37
Cayubaba,17,33
Maithili,34,42
Akan,21,35
Maquiritari,12,26
Jaunsari,34,51
Balti,35,53
Arawete,12,21
Ga,29,41
Vilela,24,29
Egyptian Arabic,27,35
Sentani,10,17
Island Carib,17,29
Kalaallisut,19,22
Biloxi,12,20
Tanacross,35,54
Bamun,28,38
Bimoba,22,44
Tocho,15,27
Tonga (Tonga Islands),12,17
Wan,21,36
Chamorro,20,26
Yavitero,17,21
Serrano,33,42
Tofin Gbe,23,41
Wamey,39,46
Maranunggu,19,24
Sukuma,38,57
Kuwaataay,20,34
Bum,37,47
Caquinte,19,27
Sudanese Arabic,54,62
Khasi,21,29
Seri,17,25
Lenakel,15,21
North Alaskan Inupiatun,24,27
Barbareno,38,44
Lamang,37,41
Hiligaynon,20,25
Izi-Ezaa-Ikwo-Mgbo,40,51
Banda Malay,18,23
Soninke,28,50
Duruma,42,49
Minangkabau,23,33
Saraiki,48,83
Tampulma,24,33
Gen,25,40
Nateni,13,40
Pa'o Karen,20,34
Dan,20,48
Canela-Kraho,13,29
Liberia Kpelle,32,49
Galibi Carib,16,22
Vietnamese,22,36
Yuruti,11,17
Kalanga,62,71
Kazym-Berezover-Suryskarer Khanty,19,32
Kashmiri,27,56
Bakaka,19,34
Khasi,27,40
Apinaye,13,30
Koyraboro Senni Songhai,15,24
Jere,24,44
Bafaw-Balong,27,47
Baatonum,17,31
Bondo,21,27
Jarawa (Nigeria),28,39
Kwoma,24,31
Tengger,20,42
Copainala Zoque,16,22
Yawanawa,14,18
Northeastern Dinka,19,32
Liko,33,45
Dghwede,33,38
Yanomami,12,33
Tetum,13,18
Mandarin Chinese,27,43
Uru-Eu-Wau-Wau,14,26
Modern Greek,21,26
Me'en,26,40
