a,b
55,55
117,145
92,124
77,60
25,104
86,86
72,67
98,94
56,52
111,68
48,143
50,103
99,57
20,50
78,92
27,93
62,127
63,133
108,61
60,135
35,98
24,119
94,112
80,76
31,142
69,106
100,89
110,139
120,83
37,132
52,102
42,136
75,120
114,84
71,56
76,118
104,75
32,116
46,109
41,111
88,128
33,71
59,113
21,130
82,64
39,105
45,54
67,129
102,141
93,101
81,77
87,81
97,100
118,58
89,85
91,149
26,131
107,63
28,73
68,62
90,51
85,79
70,126
53,137
44,88
64,65
115,125
43,69
51,78
119,53
79,117
36,144
30,87
109,147
40,134
65,99
106,107
74,122
22,96
112,115
47,82
103,140
66,74
83,91
38,97
116,95
61,80
23,110
84,146
101,108
54,150
105,138
34,123
58,59
49,72
57,90
113,114
29,66
95,70
96,148
73,121
