language,consonants,phonemes
Tetum,14,19
Ngambay,18,34
Zaiwa,21,32
Katukina,12,20
Kunama,19,26
Leco,24,30
Jauja Wanca Quechua,16,22
Tulishi,37,59
Kuo,29,56
Moroccan Arabic,74,78
Lelemi,22,34
Popti',27,32
Dzuungoo,26,55
Soninke,24,39
Mochi,20,25
Selaru,14,19
Ngazidja Comorian,41,48
Mato Grosso Arara,19,33
Pular,28,38
Bafanji,26,59
Southern Nambikuara,13,31
Central Mazahua,45,60
Defaka,18,42
Qaqet,14,22
Telugu,32,43
Iquito,11,19
Western Cham,24,35
Rendille,21,33
Jamamadi,12,16
Gen,27,44
Copainala Zoque,20,26
Ndonga,25,30
Ternate,20,25
Kafa,22,27
Kota (India),26,41
Nateni,13,40
Mori Bawah,22,27
Archi,81,91
Tiagbamrin Aizi,24,32
Denya,22,30
Jaunsari,34,51
Hadiyya,46,56
Cebaara Senoufo,24,43
Amanab,14,19
Halkomelem,32,47
Anfillo,38,48
Alawa,23,28
Semelai,32,50
Jere,24,44
Nkonya-Nkami,20,34
Seimat,11,28
Asheninka Perene,18,28
Kuot,13,19
Paez,29,37
Gbaya-Bossangoa,31,45
Akawaio,13,23
Bafut,21,49
Ute-Southern Paiute,19,37
Kxoe,95,120
Zarma-Kaado,20,40
Cuiba,17,25
Wintu,30,35
Naga Pidgin,30,47
Dazaga,21,32
Gwandara,28,48
Selkup,18,34
Straits Salish,35,40
Vame,38,46
Hindi,71,94
Machiguenga,18,27
Izi-Ezaa-Ikwo-Mgbo,27,38
Northwestern Kolami,21,34
Gbaya-Bossangoa,29,45
Kamayura,14,26
Matbat,15,20
Jaqaru,36,42
Toda,38,53
Parkwa,31,35
Siwi,26,38
Nadab,17,34
Lijili,29,48
Mbay,22,44
Tarok,27,37
Ntcham,21,30
Eton-Mengisa,21,38
Kwoma,24,31
Inor,39,45
Beembe,16,26
Ocaina,25,34
Cubeo,11,23
Niellim,23,36
Apinaye,14,49
Siwu,20,37
Mapudungun,22,28
Southern Mfumte,74,89
Gweno,24,29
Bamenyam,39,50
Wolof,38,54
Tumtum,39,55
Barbareno,38,44
Mwali Comorian,19,24
Godie,26,42
Spanish,20,25
San Martin Quechua,15,18
Afitti,17,26
Kwaio,16,21
Bulgarian,36,42
Ossetian,30,39
Yabarana,11,18
Tshangla,32,37
Sanuma,11,24
Zimbabwean Ndebele,61,68
Gude,30,36
Furu,31,41
Dafla,15,24
Thai,21,45
Tapiete,15,27
Alabama,14,17
Eastern Karaboro,16,26
Dghwede,33,38
Yawanawa,15,19
Shabo,28,43
Dobu,19,24
Hawaiian,8,13
Alladian,23,36
Mekens,16,26
Vai,28,43
Dera (Nigeria),24,35
Tu,23,28
Totela,44,54
Abau,9,14
Irish,44,68
Eastern Ojibwa,16,27
Tacana,18,22
Akawaio,10,21
Bambalang,34,57
Mam,33,43
Tamil,21,33
Callawalla,26,32
Hupda,20,29
Njebi,24,34
Oluta Popoluca,20,32
Movima,18,23
Southeastern Pomo,27,32
Sebat Bet Gurage,35,42
Karipuna Creole French,22,32
Hausa,31,38
Dompo,22,31
Barasana-Eduria,11,17
Ho,24,43
Aneityum,21,26
Kotiria,16,24
Akoose,22,44
Kanoe,12,26
Savara,19,30
San Mateo del Mar Huave,23,29
Aragonese,33,45
Central Kanuri,25,35
Cubeo,11,17
Korean,21,32
Tulu,24,37
Eastern Panjabi,32,51
Huichol,15,25
Kuwaataay,20,34
Korra Koraga,21,34
Koyra Chiini Songhay,21,36
Somali,30,52
Banda-Ndele,32,45
Belanda Bor,25,38
Baoule,21,37
Dibole,21,31
Koreguaje,18,30
Cebuano,18,21
Cameroon Mambila,24,40
Komo (Democratic Republic of Congo),24,35
Kman,34,50
Mbukushu,22,29
Sebat Bet Gurage,36,44
Ngarinman,17,23
Hupda,19,34
Tiruray,16,22
Iwam,11,17
Kodava,27,52
Rundi,22,29
Garo,16,21
Isoko,28,37
Mayogo,33,46
