a,b
47,59
41,99
71,95
46,86
37,146
69,66
73,127
32,56
43,87
86,62
107,67
29,125
87,114
103,73
91,93
117,57
75,80
100,131
99,101
120,104
119,75
33,82
45,128
59,116
106,123
58,111
39,108
23,69
50,105
81,121
44,70
109,77
98,106
62,55
105,74
65,79
64,60
55,142
101,139
48,112
38,138
54,129
114,72
28,89
112,65
31,76
76,150
27,126
90,88
115,130
95,53
66,107
74,120
96,97
42,63
25,149
104,100
110,148
36,98
97,54
63,96
113,83
30,110
49,124
88,134
85,52
22,144
56,137
40,118
83,90
21,140
93,119
84,143
24,78
77,61
82,58
26,71
53,91
70,122
108,133
20,113
118,81
60,68
72,136
52,147
79,141
68,109
35,51
92,64
102,103
67,92
61,84
111,145
94,102
57,85
34,94
80,135
51,132
116,50
89,117
78,115
