language,consonants,phonemes
Gikyode,29,51
Yagua,11,23
Telugu,32,43
Senara Senoufo,19,51
Juang,24,36
Satere-Mawe,12,27
Maijiki,14,20
Reel,20,63
Ambele,38,51
Wolof,26,40
Nyam,39,56
Kaingang,11,16
Aghem,25,35
Tarok,26,32
Mochi,20,25
Epena,17,31
Biloxi,12,20
Lango (Uganda),18,40
Dhuwal,20,23
Saxwe Gbe,24,38
Araona,19,23
Sauria Paharia,24,34
Bakairi,17,29
Pacoh,18,33
Lango (Sudan),16,32
Bassa,22,36
Krio,22,32
Warao,11,16
Tamnim Citak,11,17
Kuot,13,19
Belize Kriol English,22,35
Qaqet,14,22
Jauja Wanca Quechua,16,22
Tsamai,56,68
Wamey,39,46
Puri,12,18
Sereer,33,43
Ngas,30,44
Juruna,18,28
Mundabli,22,38
Me'en,26,40
Arbore,49,59
Northern Tosk Albanian,28,35
Sao Paulo Kaingang,13,27
Tatuyo,11,17
Jennu Kurumba,26,33
Indonesian Bajau,26,32
San Mateo del Mar Huave,18,24
Northern Gyalrong,49,57
Ava-Canoeiro,12,24
Ocaina,26,35
Doyayo,22,48
Spokane,38,43
Bodo Gadaba,21,40
Gaviao Do Jiparana,19,29
Trio,10,24
Candoshi-Shapra,21,27
Lunda,22,32
Ngarinyin,18,24
Northern Lushootseed,33,37
South Bolivian Quechua,31,36
Wari',15,21
Pichi,21,30
Yala,28,38
Beja,21,26
Kwangali,22,27
Dafla,15,24
Waimaha,10,22
Chamicuro,19,29
Western Farsi,24,30
Karipuna Creole French,22,32
Munduruku,17,39
Tiagbamrin Aizi,24,32
Usarufa,17,22
Ofaye,14,24
English,27,40
Fang (Equatorial Guinea),25,41
Muniche,22,27
Yanesha',23,29
Wu Chinese,25,34
Kashmiri,27,55
Amele,15,20
Central Dagaare,24,54
Fang (Cameroon),23,36
Lakota Dida,27,57
Yapese,28,44
Ibani,25,38
Huamalies-Dos de Mayo Huanuco Quechua,21,31
Chickasaw,16,25
Awutu,30,50
West Makian,17,23
Yugambeh-Bandjalang,12,16
Nupe-Nupe-Tako,25,38
Kirike,24,36
Piraha,8,11
Jauja Wanca Quechua,22,27
Tok Pisin,15,27
Otuho,33,56
Baba,23,30
Chukchi,15,22
Ningil,14,21
Ndamba,19,24
Kipsigis,14,37
Lu,22,31
Aikana,22,32
Slovenian,21,37
Baniva de Maroa,17,25
Chaudangsi,34,42
Berom,22,29
Mann,22,39
Kuvi,28,47
Kirghiz,22,30
Iraqw,33,48
Igbo,28,36
Siriono,18,28
Shuar,13,21
Lao,28,40
Gwandara,32,52
Kunza,23,33
Koryak,16,21
Befang,43,59
Isebe,9,23
Dime,53,73
Tiwi,14,18
Tedim Chin,21,26
Huba,24,31
Wayuu,28,46
Yuki,24,30
Western Karaboro,20,45
Tuki,25,39
Kela (Papua New Guinea),16,30
Kuy,22,47
Tem,25,36
Dadibi,13,23
Ignaciano,21,25
Bardi,17,24
Konkani,19,37
Bororo,15,22
Acheron,18,38
Ife,19,34
Duala,21,33
South-Eastern Ju,95,141
Ngas,24,36
Kuanyama,26,33
Prai,17,35
Northeastern Dinka,19,32
Siona-Tetete,18,30
Kunimaipa,15,20
Uru,23,33
Resigaro,32,37
Nimboran,12,18
Baangi,28,56
Waama,13,41
Guaja,12,24
Jaunsari,34,51
Morisyen,21,30
Chonyi-Dzihana-Kauma,40,47
Tunia,24,40
Sanskrit,37,45
Navajo,36,54
Nivacle,22,28
Kashmiri,28,56
Nankina,14,20
Pemon,10,21
Karaja,9,24
Bade,33,46
Kotiria,16,28
Grass Koiari,11,16
Chacobo,17,21
Omagua,13,18
Russian,33,38
Ngiemboon,19,30
Yine,16,26
Burushaski,38,53
Mofu-Gudur,35,44
Mwali Comorian,19,24
Southeast Ijo,24,44
Murle,20,34
San Miguel El Grande Mixtec,15,25
Afitti,17,26
Wik-Mungkan,13,23
Mapudungun,20,26
Kofyar,23,36
Maxakali,10,20
Yanomamo,12,33
Masalit,31,45
Desano,12,18
Rio Grande Tewa,34,57
Mambai,26,54
Manipuri,25,33
Zuni,44,54
Modern Hebrew,24,30
Kahe,22,32
Trumai,18,24
Yameo,10,18
Waorani,12,32
Koyraboro Senni Songhai,15,24
Taushiro,12,17
Cherokee,11,17
Northern Haida,47,50
Gbaya-Bossangoa,31,43
Urarina,16,21
Polish,31,37
Izi-Ezaa-Ikwo-Mgbo,29,40
Imbabura Highland Quichua,17,20
Iaai,36,52
Toro So Dogon,16,28
Thai,21,30
Bakole,27,34
Nama (Namibia),32,41
Nomaande,14,30
South Bolivian Quechua,32,37
Eastern Mari,19,27
Puinave,8,19
Pero,18,30
Yuqui,20,40
Bulu (Cameroon),24,36
Manado Malay,19,25
Guahibo,17,29
Bondo,27,40
Wubuy,19,23
Santali,35,46
Yanyuwa,29,32
East Makian,19,24
Itonama,19,25
Guahibo,17,35
Batak Karo,16,24
Tagwana Senoufo,23,45
Yessan-Mayo,16,20
Hdi,37,41
Pokoot,17,39
Mandinka,19,34
Nyankole,20,28
Pangwa,23,35
Koalib-Rere,29,45
Palauan,10,22
Ashaninka,15,19
Xokleng,19,37
Abure,20,36
Ama (Sudan),18,25
Apiaka,12,22
Lambayeque Quechua,16,19
Aklanon,17,20
Madi,45,54
Umotina,12,20
Makurap,10,20
Yulu,35,42
Halbi,29,42
Kalkutung,20,23
Sudanese Arabic,54,62
Tawallammat Tamajaq,23,37
Jamamadi,11,19
Mandarin Chinese,27,43
Wayampi,14,26
Izere,27,39
Tigon Mbembe,99,116
Kaxarari,15,20
Gade Lohar,31,50
Luiseno,23,34
Paraujano,13,25
Tolowa-Chetco,26,31
Even,17,27
Angolar,22,36
Mwani,21,26
Modern Greek,21,26
Panara,11,26
Kamayura,14,26
Pa'o Karen,20,34
Toura (Cote d'Ivoire),21,39
Chiripa,17,29
Ikwere,23,46
Tuyuca,11,23
Mundari,33,54
Tsafiki,16,26
Duruma,40,47
French,23,40
Kuvi,22,37
Inor,40,47
Somali,30,52
Ditammari,17,32
Dagbani,23,29
Irantxe-Munku,21,43
Kuo,29,56
Glavda,34,43
Sebat Bet Gurage,39,45
Quechan,28,38
Indonesian,23,31
Min Nan Chinese,19,25
Katcha-Kadugli-Miri,39,62
Central Pashto,31,38
Irish,44,68
Ndonga,29,36
Serrano,33,42
Northern Bobo Madare,21,37
Katukina,12,20
Cavinena,20,24
Ndzwani Comorian,32,39
Lega-Shabunda,18,38
Huehuetla Tepehua,26,36
Hupda,20,29
Logo,27,39
Kathmandu Valley Newari,24,32
Tachelhit,28,31
Even,18,36
Tunica,18,25
Luyi,17,22
Reunion Creole French,30,42
Northern Khmer,24,43
Waorani,11,21
Kiowa,22,42
Gude,30,36
Tamil,21,33
Andoque,11,26
Ngalakan,17,26
Loma (Liberia),28,42
Norwegian Bokmal,22,46
Yuchi,38,64
Keiga,37,59
Central Aymara,28,31
Gavar,47,55
Sebat Bet Gurage,34,42
Manya,18,27
Akan,28,60
Suena,13,18
Thavung,20,47
Nyong,23,42
Adamawa Fulfulde,37,47
Tonga (Tonga Islands),12,17
Mudhili Gadaba,19,31
Boikin,17,25
T'apo,20,25
Qawasqar,18,24
Halkomelem,32,47
Guarayu,14,26
Guambiano,18,24
Madurese,27,35
Kurukh,21,32
Pagibete,42,51
Eastern Maninkakan,20,36
Latunde,12,28
Idoma,47,75
Naxi (Retired),38,49
Rikbaktsa,14,28
Central Pashto,31,38
Akurio,10,24
Wik-Mungkan,13,18
Toposa,17,27
Nadab,17,34
Mandarin Chinese,24,49
Mofu-Gudur,35,40
Sebat Bet Gurage,33,39
Mumuye,23,34
Jamamadi,12,16
Northern Ngbandi,19,31
Samre or Siem Reap,20,41
Ewondo,26,34
Murui Huitoto,14,20
Petats,15,30
Alyawarr,25,32
Ngomba,19,27
Kusunda,32,38
Tagalog,19,24
Mbay,22,44
Mizo,33,39
Ma'di,24,38
Nandi,13,23
Yucuna,16,21
Iquito,11,19
Koreguaje,18,30
Gwandara,28,46
Lavukaleve,15,20
Wayana,9,16
Tarok,27,37
Buol,17,23
Nangikurrunggurr,20,28
Uri,16,24
Chamorro,20,26
Maquiritari,12,26
Daba,36,47
Ke'o,24,30
Legbo,38,53
Kok Borok,25,34
Guambiano,20,25
Island Carib,17,29
Guro,26,57
Mmen,27,41
Sipacapense,22,32
Catalan,27,39
Huallaga Huanuco Quechua,16,22
Budu,31,43
Dafla,16,27
Southeastern Pomo,27,32
Fali,39,50
Huastec,26,36
Tigak,12,17
Farefare,20,30
Guayabero,16,22
Pattani,38,44
Machame,33,46
Eton-Mengisa,21,38
Barain,16,29
Djeoromitxi,14,24
Camsa,22,28
Pottangi Ollar Gadaba,22,34
Toura (Cote d'Ivoire),19,50
Thado Chin,23,31
Matis,15,21
Burarra,16,21
Rukai,23,27
Ngiti,44,56
Chiquihuitlan Mazatec,25,33
Embera-Baudo,21,33
Hoava,16,21
Bakaka,15,31
Barain,31,44
Mekens,16,26
Sedang,39,53
Akuntsu,11,22
Awngi,28,39
Xamtanga,23,30
Tunica,17,24
Yawanawa,14,18
Totela,44,54
Western Cham,21,32
Bambara,20,43
Surui,19,29
Sabane,11,16
Maung,17,22
Wogeo,15,20
Chong of Chanthaburi,21,40
Kanoe,12,26
Basque,23,28
Car Nicobarese,16,25
Ignaciano,21,25
Moyon,24,37
Komo (Sudan),23,28
Tzotzil,21,26
Fwai,19,35
