a,b
91,109
106,69
60,122
49,127
119,118
65,54
92,95
20,132
96,104
85,112
69,68
107,82
118,116
112,88
48,100
93,102
80,72
99,128
25,91
95,119
84,135
113,136
101,149
75,120
33,144
73,97
24,113
63,111
40,51
114,52
32,133
22,75
94,86
36,130
111,80
42,141
50,146
100,90
86,62
109,92
67,134
110,143
55,139
57,150
68,66
61,106
72,94
45,55
97,83
102,145
52,126
27,53
56,147
74,81
21,108
26,107
31,73
41,65
115,79
29,142
71,121
23,76
54,101
66,71
89,64
88,84
53,60
117,123
76,138
51,117
28,103
103,77
79,70
34,67
87,58
81,93
59,148
35,124
38,140
39,105
116,87
58,129
62,114
44,50
30,63
46,98
98,85
43,57
108,61
105,125
90,96
47,110
104,89
83,56
82,74
37,115
77,78
120,99
78,59
70,131
64,137
