language,consonants,phonemes
San Mateo del Mar Huave,23,29
Kannada,36,47
Tarok,27,37
Ewe,27,42
Kwese,16,25
Afitti,17,26
Qaqet,14,22
Tarok,26,32
Sanuma,11,24
Tigrinya,32,39
Aklanon,17,20
Tzotzil,21,26
Galician,21,28
Betta Kurumba,22,37
Guambiano,20,25
Mundari,21,39
Bambara,21,35
Gaa,22,34
Kadiweu,23,31
Tunica,17,24
Northern Puebla Nahuatl,16,20
Batak Karo,16,21
Kakua,12,22
Achumawi,17,23
Wubuy,19,23
Tetum,13,18
Soninke,28,50
Paez,33,49
Bemba (Zambia),15,25
Njyem,20,42
Nyabwa,24,44
Mwan,21,39
Trinitario,18,30
Ngoshie,26,34
Southern Sierra Miwok,15,21
Fon,24,42
Pemon,10,21
Koryak,16,21
Tsafiki,16,25
Karok,16,27
Purepecha,33,39
Burji,26,36
Igbo,43,59
Bukusu,20,30
Guajajara,14,21
Aikana,22,32
Cha'palaa,24,28
Hamer-Banna,25,35
Avokaya,37,55
Leti (Indonesia),10,22
Min Nan Chinese,19,25
Luiseno,21,26
Yine,16,26
Juma,12,24
Moyon,24,37
Cocama-Cocamilla,11,16
Mal,17,41
Marghi Central,30,34
Bribri,18,27
Lenakel,15,21
Apatani,24,37
Chacobo,17,21
Javanese,24,33
Tenetehara,14,21
Mofu-Gudur,35,40
Yana,22,30
Kwaza,19,35
Manipuri,25,33
Guinea Kpelle,27,35
Southern Yukaghir,20,32
Igo,23,33
Kako,33,47
Mapoyo,12,19
Poyanawa,14,21
Tolowa-Chetco,26,31
Croatian,25,36
Gelao,31,43
Nanai,18,24
Ngiemboon,19,30
Bakaka,19,34
Kuranko,26,54
Gwandara,28,46
Cross River Mbembe,28,37
Hakka Chinese,21,31
Xavante,11,24
Jaunsari,34,51
Lak,60,69
Hupda,20,29
Jola-Esulalu,31,51
Central Tunebo,14,19
S'gaw Karen,27,39
Siona-Tetete,18,30
Jarawa (Nigeria),28,39
Kayabi,14,26
Telugu,40,51
Western Farsi,24,30
Banda-Ndele,33,46
Yagua,11,23
Popti',27,32
Dan,44,92
Krio,25,35
Argobba,30,38
Kupsabiny,14,26
Kistane,34,41
Wari',14,20
Dyula,23,39
Tabasco Chontal,25,37
Soninke,24,39
French,23,40
Yareba,13,18
Baka (Cameroon),25,38
English,27,40
Tipai,25,34
Rukai,23,27
Jebero,17,21
Acheron,18,38
Kimaragang,18,23
Arawete,12,21
Lakkia,33,55
Medumba,16,25
Nkonya-Nkami,20,34
Southern Sama,17,23
Iyive,53,64
Halh Mongolian,21,33
Mekens,15,35
Usarufa,17,22
Mambwe-Lungu,19,36
Zande,24,32
Pengo,22,32
Zuni,20,25
Yoruba,18,29
Straits Salish,35,40
Northern Bobo Madare,20,40
Northern Lushootseed,33,37
Moken,20,38
Ute-Southern Paiute,19,37
Nonuya,20,26
Alamblak,18,25
Yine,16,26
West Coast Bajau,17,23
Yil,12,23
Yuchi,38,46
Hadiyya,46,56
Hindi,37,58
Minangkabau,23,33
Seneca,11,19
Filipino,17,27
Tumtum,39,55
Bangolan,27,40
Kera,24,30
Àhan,26,43
Bengali,29,43
Central Nicobarese,16,35
Kamang,16,28
Yanomamo,11,32
Pwo Northern Karen,25,37
Even,17,27
Alabama,14,17
Korafe-Yegha,19,24
Oneida,10,22
Omagua,13,18
Bamun,28,38
Gbaya-Bossangoa,29,45
Mudhili Gadaba,19,31
Koyaga,29,43
Ndonga,29,36
Manipuri,27,35
Hungarian,26,40
Mbo (Cameroon),19,35
Huehuetla Tepehua,26,36
Boikin,17,25
Northern Tosk Albanian,28,35
Ambulas,17,24
Cashibo-Cacataibo,15,21
Irantxe-Munku,21,39
Polish,31,37
Sherbro,24,31
Cashinahua,15,23
Iraqw,33,45
Halkomelem,32,47
Jinghpaw,25,30
Vietnamese,22,36
Ekari,10,15
Nivkh,34,44
Ocaina,25,34
Bassa,22,36
Buol,17,23
Northern Bobo Madare,21,33
Boko (Benin),19,34
Urubu-Kaapor,15,26
Lao,28,40
Tagalog,19,24
Yucuna,16,21
Ambele,38,51
East Taa,130,161
Loma (Liberia),28,42
Siwi,26,38
Pai Tavytera,15,27
Sango,26,44
Shasta,17,21
