a,b
93,82
106,149
53,121
68,117
102,111
57,127
89,101
84,131
98,141
23,104
86,55
62,97
71,105
38,64
22,143
103,58
41,118
30,133
76,103
80,70
46,66
113,115
50,71
66,114
100,91
74,148
91,146
26,125
37,147
96,142
43,85
49,112
54,59
61,135
59,124
79,99
115,53
40,106
112,56
56,86
24,67
64,136
99,79
111,84
110,74
39,130
92,52
73,138
116,96
81,95
31,62
32,129
51,93
114,123
70,110
90,139
21,107
83,119
78,126
72,76
82,54
109,57
104,150
65,113
88,90
44,128
85,132
25,61
107,134
120,88
20,145
58,144
94,122
45,120
118,87
29,75
119,98
108,78
101,51
48,72
55,89
60,140
75,92
27,63
63,100
67,94
117,68
33,102
105,116
28,77
95,81
34,69
52,73
35,80
87,83
77,50
42,65
69,137
47,109
97,60
36,108
