a,b
87,120
83,67
113,103
119,111
63,128
67,64
73,52
61,121
98,109
92,93
69,78
23,124
66,79
24,57
72,137
88,84
79,116
106,125
52,117
112,115
55,110
47,141
91,145
38,150
102,112
104,102
37,81
29,60
90,148
31,119
117,147
81,77
71,75
33,114
74,54
27,61
44,122
64,98
41,149
54,95
53,131
120,66
107,133
48,83
85,92
22,82
57,130
89,68
118,146
109,56
39,55
25,144
84,96
51,106
50,50
99,80
100,100
86,76
77,62
40,118
80,87
59,123
114,91
115,53
94,134
30,59
32,140
116,65
60,85
68,126
97,69
108,71
110,132
103,72
111,63
105,58
36,104
65,108
95,90
62,138
26,143
96,139
20,107
76,113
49,88
58,86
28,73
56,89
75,101
78,129
70,135
82,136
35,105
45,74
21,51
101,94
43,97
42,70
34,142
93,127
46,99
