language,consonants,phonemes
Yaqui,17,22
Naasioi,8,13
Northern Bobo Madare,21,37
Kotiria,16,24
Katcha-Kadugli-Miri,39,62
Xerente,13,27
Tuvinian,20,29
Lese,29,42
Bundeli,38,55
Sinhala,22,36
Moru,26,38
Kituba (Congo),17,22
Ndogo,29,38
Pichi,21,30
Bulu (Cameroon),24,36
Movima,19,29
Korean,21,32
Hopi,31,49
Tibetan,24,38
Cayubaba,17,33
Adzera,18,25
Awara,19,25
Awngi,30,39
Tedim Chin,21,26
Murrinh-Patha,21,25
Sebat Bet Gurage,36,44
Portuguese,23,38
Kwangali,22,27
Budu,31,43
Chiquihuitlan Mazatec,26,38
Bhele,19,28
Ocaina,25,34
Cross River Mbembe,28,37
Toro So Dogon,16,28
Moseten-Chimane,23,41
Northern Lushootseed,33,37
Logba,25,35
Siwu,20,37
Me'en,26,40
Tacana,18,22
Samba Leko,22,34
Chiripa,17,29
Thai,21,30
Manchu,18,25
Southern Tiwa,26,41
Icelandic,23,39
Tedaga,24,35
Ligbi,22,38
Shuswap,37,44
Emai-Iuleha-Ora,27,48
Nyamwezi,36,53
Urdu,35,54
Palauan,10,22
Ngiti,44,56
Seri,17,25
Nhengatu,19,23
Namia,9,15
Wik-Mungkan,13,18
San Mateo del Mar Huave,23,29
Northern Dong,20,27
Spokane,38,43
Panare,12,25
Tamnim Citak,11,17
Galibi Carib,16,22
Bankon,26,37
Aja (Benin),28,45
Nukak Maku,12,24
Yameo,10,18
Kuwaataay,20,34
Shona,37,42
Western Highland Chatino,16,25
Klamath-Modoc,33,37
Korean,22,40
Waimaha,10,22
Yansi,17,42
Adangme,23,39
Ninam,12,18
Cebuano,18,21
Kwak'wala,46,55
Uduk,23,28
Adang,18,40
Beja,21,26
Mandarin Chinese,24,49
Luo (Kenya and Tanzania),23,32
Gbaya (Sudan),41,56
Gen,27,44
South Wa,34,77
Inapari,13,31
Susu,21,35
Jennu Kurumba,26,33
Bambara,20,43
Adioukrou,21,32
Kadiweu,23,31
Andoque,11,26
Quechan,28,38
Baga Sitemu,18,26
Afitti,17,26
Aproumu Aizi,24,33
Vute,30,59
Southern Samo,18,26
Zaparo,14,22
Chickasaw,16,25
Wamey,39,46
Cebaara Senoufo,24,36
Giryama,40,47
Lak,60,69
Maxakali,10,20
Kunama,19,26
Chrau,20,33
Igbo,43,59
Batanga,20,31
Kota (India),23,34
Eastern Tamang,19,29
Longto-Voko,20,31
Toda,38,53
Bandi,23,48
Kannada,36,47
Jaqaru,36,42
Nyole,24,36
Koyra Chiini Songhay,23,43
Pemon,10,17
Mazanderani,22,29
Liko,33,45
Tieyaxo Bozo,19,36
Baoule,21,37
Gaa,22,34
Waura,16,26
Bella Coola,28,31
Northern Conchucos Ancash Quechua,17,23
Yeyi,77,90
Angaataha,12,21
Brokskat,41,56
Hamer-Banna,25,35
Hupda,20,29
Hupa,28,35
Chiquihuitlan Mazatec,25,33
Wayuu,14,20
Cuvok,27,29
Siriono,18,28
Kagulu,26,31
Kutep,28,46
Lango (Uganda),18,40
Iwam,11,17
Iraqw,33,48
Samo,12,18
Kaxarari,15,20
Karang,30,40
Kgalagadi,43,53
Gbaya-Mbodomo,28,37
Bare,19,23
Hindi,71,94
Tshangla,32,37
Gadsup,9,15
Uru-Eu-Wau-Wau,14,26
Sursurunga,15,21
Yanomami,12,33
Towa,39,61
Hanga,23,29
Straits Salish,35,40
Pagibete,42,51
Ticuna,18,29
Zulu,35,43
Chopi,61,68
Vengo,56,82
Luiseno,23,34
Bafut,21,49
Bakairi,17,29
Arikapu,11,25
Ndonga,25,30
Nuer,20,48
Madurese,27,35
Karo (Brazil),14,25
Kunjen,23,28
Ndonga,29,36
Idoma,47,75
Maybrat-Karon,11,16
Xeta,13,24
Guajajara,15,22
Blang,24,40
Hadza,57,62
Nyabwa,24,44
Southeast Ijo,24,44
Luo (Kenya and Tanzania),23,35
Ese Ejja,18,22
Kiowa,22,42
Maung,17,22
Jaad-Badyara,25,43
Suba-Simbiti,23,39
Sango,26,44
Luwo,19,32
Lake Miwok,29,39
Loko,18,25
Tangale,40,60
Awa-Cuaiquer,16,26
South Azerbaijani,25,34
Kwasio,46,54
Iyive,53,64
Mungaka,21,33
Irula,31,52
Bomitaba,16,28
