language,consonants,phonemes
Aleut,24,27
Kalabari,22,43
Cross River Mbembe,28,37
Kayabi,14,24
Zande,19,35
Ekari,10,15
Itonama,19,25
Movima,18,23
Xingu Asurini,16,27
Dafla,15,24
Akan,22,40
Zande,24,32
Akha,28,41
Pemon,10,21
Piraha,8,11
Ofaye,14,24
Seneca,11,19
Mundari,21,39
Afitti,17,26
Kuot,13,19
Fasu,11,21
Akan,28,60
Wichita,21,29
Duruma,42,49
Ayoreo,20,30
Yagaria,14,23
Saraiki,48,83
Shasta,17,21
Darma,34,42
Sabane,13,18
Machame,33,46
Nganasan,20,29
Tagwana Senoufo,23,45
Mada (Nigeria),23,41
Northern Yukaghir,20,26
Silt'e,46,56
Lithuanian,36,47
Cuvok,27,29
Kwak'wala,46,55
Tasomi-Tata,14,21
Kwaza,29,45
West Central Banda,31,46
Pinyin,42,66
Copainala Zoque,20,26
Jebero,19,23
Degema,24,36
Burji,26,36
Tiruray,16,22
Kaingang,11,16
Guambiano,18,24
Haka Chin,45,52
Hausa,31,38
Wu Chinese,25,34
Siriono,18,30
Portuguese,23,38
Tsafiki,16,26
Andoque,11,26
Russian,33,38
Wari',14,20
Duruwa,21,31
Southeastern Pomo,27,38
Achumawi,17,23
Arbore,49,59
Bakoko,26,33
Mofu-Gudur,35,40
Mbukushu,22,29
Yawanawa,14,18
Klamath-Modoc,33,37
Tiwi,14,18
Siriano,11,23
Panoan Katukina,15,19
Tunica,18,25
Torwali,38,51
Anyin,21,39
Mesqan,34,41
Soninke,34,52
Ese Ejja,17,21
Resigaro,32,37
Kabardian,49,56
Japanese,27,40
French,21,37
Seimat,11,28
Curripaco,25,29
Mochi,20,25
Aja (Benin),23,37
Angaataha,12,21
Chiquihuitlan Mazatec,26,38
Central Mazahua,45,63
Urdu,35,54
Xwela Gbe,29,45
Cameroon Mambila,24,40
Chamorro,20,26
Petats,15,30
Mono (Cameroon),35,62
Epena,17,31
Tacana,18,22
South Bolivian Quechua,32,37
Nama (Namibia),19,33
Bouyei,23,34
Burmese,34,50
Lusi,16,21
Kwaya,17,29
Molale,23,30
Bila,19,33
Southern Sierra Miwok,15,21
Qaqet,14,22
Kayabi,14,26
Angami Naga,37,43
Bakaka,16,32
Nizaa,58,90
Izon,19,37
Ningil,14,21
Ayacucho Quechua,14,17
Kumaoni,31,42
Waris,13,22
Lake Miwok,29,39
Grass Koiari,11,16
Southern-Coastal Tsimshian,38,41
Sherbro,24,31
Banda Malay,18,23
Buginese,19,25
Bangolan,27,40
Mampruli,24,36
Sinhala,22,36
Jowulu,20,45
Golin,13,23
Mundu,29,41
Gourmanchema,20,33
Tehuelche,25,31
Ngas,24,36
Mundabli,22,38
Karipuna Creole French,22,32
San Mateo del Mar Huave,23,29
Yom,25,38
Siwu,20,37
Ambulas,17,24
Hoti,21,35
Adamawa Fulfulde,27,36
Mocovi,21,29
Awing,39,56
Kodava,27,52
Ndonga,29,36
San Miguel El Grande Mixtec,15,25
West-Central Limba,17,24
Kayapo,16,33
Adang,18,40
Dobu,19,24
Western Highland Chatino,16,25
Madi,45,54
Tanacross,35,54
Oko-Eni-Osayen,18,30
Tenetehara,14,21
Dadibi,13,23
Paez,29,39
Bodo Gadaba,21,40
Central Aymara,28,31
Quileute,33,37
Guambiano,20,25
Wobe-We Northern,15,48
Telugu,47,68
Mpade,30,40
Malayo,20,27
Telugu,32,43
Kaxarari,15,20
Binumarien,11,16
Budu,31,43
Bafut,21,49
Woun Meu,19,33
Chiquitano,14,26
Buli (Ghana),23,46
Maori,10,20
Barain,16,29
Upper Chehalis,30,34
Eastern Panjabi,32,51
Akurio,10,24
Kimaragang,18,23
Mogholi,24,29
Chuanqiandian Cluster Miao,46,56
North Junin Quechua,19,25
Sao Paulo Kaingang,13,27
Ikwere,23,46
Pemono,12,19
Rendille,21,33
Nomatsiguenga,16,25
Yagua,11,23
Tunia,24,40
Gbaya-Mbodomo,28,38
Gamo-Gofa-Dawro,24,29
Even,18,36
Kuvi,22,37
Nyong,23,42
Merey,33,44
Tilquiapan Zapotec,22,30
Batak Toba,16,21
Bariai,12,17
Arabela,19,29
Czech,25,38
Maba (Chad),22,29
Pai Tavytera,15,27
Gude,30,36
Gwandara,35,64
Mundari,32,37
Baatonum,18,30
Awadhi,37,45
Kistane,34,41
Kemezung,20,34
Tehuelche,28,35
Nandi,13,23
Maasina Fulfulde,27,37
Nuer,20,48
Tamil,21,33
Tsamai,56,68
East Kewa,15,20
Gbaya-Bossangoa,29,45
Selee,18,33
Pottangi Ollar Gadaba,22,34
East Makian,32,37
Tsou,15,21
Guato,17,25
Selkup,18,34
Eggon,30,42
Shilluk,25,54
Baoule,16,23
Yuracare,18,25
Nez Perce,25,30
Qawasqar,18,24
Awiyaana,11,20
Carapana,11,23
Korku,26,37
Sharanahua,15,23
Qawasqar,16,19
Yaqui,17,22
Limbum,37,52
Bassa,22,36
Saliba (S\'alivan),20,30
Koryak,16,21
Tigon Mbembe,99,116
Katcha-Kadugli-Miri,39,61
Khezha Naga,42,50
Waimaha,11,25
Trumai,18,24
Yue Chinese,20,25
Maung,19,24
Minangkabau,23,33
Machiguenga,18,27
Javanese,21,29
Suya,15,31
Salasaca Highland Quichua,23,26
Naasioi,8,18
Fe'fe',23,44
Sebat Bet Gurage,35,42
Luo (Kenya and Tanzania),23,35
Satere-Mawe,12,27
Baniva de Maroa,17,25
Santiago del Estero Quichua,20,25
Tiv,31,40
Apinaye,13,30
Adzera,18,25
Adioukrou,21,31
Tee,23,38
Limbum,22,35
Waorani,11,21
Fwe,49,59
Lamang,37,41
Burushaski,38,43
Baga Sitemu,18,26
Malayalam,30,43
Mwani,21,26
Wandala,45,52
Southern Kiwai,12,19
Ashaninka,14,22
Bondo,27,40
Bafanji,26,59
Nonuya,20,26
Bulgarian,36,42
Nukak Maku,12,24
Ache (Tupian),22,34
Langi,32,52
Kera,24,30
Sabaot,13,31
Tagalog,18,28
Amele,15,20
Cerma,21,46
Galibi Carib,11,17
Mofu-Gudur,35,44
Bemba (Zambia),15,25
Luo (Kenya and Tanzania),23,32
Moloko,31,47
Irula,23,30
Suba-Simbiti,23,39
Somali,30,52
Semelai,32,50
Akawaio,13,23
Gbaya-Bossangoa,31,43
Yuchi,38,64
Kahe,22,32
Halh Mongolian,21,35
Yapese,28,44
Cubeo,11,23
Parkwa,31,35
Kirghiz,22,30
Ravula,23,39
Tofin Gbe,23,41
Aneityum,21,26
Dhuwal,20,23
South Central Dinka,20,60
Pwo Northern Karen,25,37
Lower Grand Valley Dani,12,24
Croatian,25,36
Bakairi,17,29
Yuruti,11,17
Sindhi,41,61
Tzeltal,25,30
Wintu,30,35
Totela,44,54
Chrau,20,33
Carijona,14,21
Nigerian Fulfulde,28,38
Huastec,21,26
Nyamwezi,36,53
Giryama,40,47
South-Eastern Ju,95,141
Lamnso',26,45
Yuki,24,30
Krenak,22,35
North Giziga,29,37
Xhosa,75,84
Bora,29,41
Kohumono,28,38
Guajajara,14,21
Tabasco Chontal,25,37
Rio Grande Tewa,34,57
Mmen,27,41
Tagalog,18,23
Dahalo,54,59
Chamicuro,19,29
Yue Chinese,22,32
Sango,26,42
Finnish,17,25
Selepet,15,21
Pagibete,42,51
Juruna,18,28
Yucatec Maya,20,30
Cusco Quechua,26,31
Sentani,10,17
Berom,22,29
Bulu (Cameroon),24,36
Romanian,22,32
Wapishana,17,29
Tamil,32,43
Warao,11,21
Western Farsi,24,30
Chiquihuitlan Mazatec,25,33
Kwaza,19,35
Logba,25,35
Baniwa do Icana,25,37
Uri,16,24
Chuvash,21,30
Nigeria Mambila,25,43
Tetum,14,19
Tengger,20,42
Lak,60,69
Squamish,30,37
Kangri,29,41
Alabama,14,17
Western Cham,24,35
Latunde,12,28
Central Nicobarese,16,35
Kotafon Gbe,29,45
Soqotri,28,34
Kaiwa,14,26
Leco,24,30
Bats,35,45
Paiwan,22,26
Iraqw,33,48
Hanga Hundi,16,23
Andoque,11,35
Bamenyam,39,50
Kwaio,16,21
Liberia Kpelle,22,34
