language,consonants,phonemes
Igo,23,33
Ulwa,22,28
Andoa,15,25
Iloko,17,21
Ucayali-Yurua Asheninka,24,32
Angolar,22,36
Chopi,61,68
Cameroon Mambila,20,35
Ingush,35,48
Northern Nuni,21,54
Aweti,14,26
Anyin,21,39
Shawnee,13,19
Waura,16,26
Oroko,22,29
Hindi,71,94
Jamamadi,11,15
Itelmen,27,32
Mabaan,19,45
Mundani,23,41
Murrinh-Patha,21,25
Limbum,22,35
Northern Pame,40,54
Balinese,18,24
Sumbwa,20,32
Karaja,9,24
Nyankole,20,28
Mato Grosso Arara,19,33
Cameroon Mambila,19,25
Mbum,30,38
Popti',27,32
Southern Sierra Miwok,15,21
Apatani,24,37
Kuku-Yalanji,13,16
Arawete,12,21
Seneca,11,27
Northwestern Kolami,21,34
Purepecha,26,32
Yanesha',23,29
Huehuetla Tepehua,26,36
Tunica,17,24
Bakole,27,34
Dutch,24,39
Lakkia,31,59
Quileute,33,37
Kekchi,21,26
Northern Dong,20,27
Cupeno,27,38
Usan,14,20
Southern Sami,39,45
Saxwe Gbe,24,38
Tieyaxo Bozo,19,36
Koyra Chiini Songhay,23,43
Nafaanra,25,44
Jaqaru,36,39
Afar,17,27
Iyive,53,64
Yuracare,18,25
Hausa,32,45
Tipai,25,34
Me'en,26,40
Izi-Ezaa-Ikwo-Mgbo,27,38
Alawa,22,26
Koalib-Rere,29,45
Logba,25,35
Kaxuiana,12,18
Kamang,16,28
Apurina,14,40
Basque,23,28
Buli (Ghana),23,46
Kwaio,16,21
Nawuri,29,40
Dupaninan Agta,15,20
Sinhala,37,53
Gata',24,38
Ejagham,21,32
Nivacle,22,28
Yanesha',23,26
Usarufa,17,22
Suena,13,18
Yoruba,19,31
Naxi (Retired),38,49
Ndali,17,31
Guambiano,18,24
Mmaala,23,34
Gavar,47,55
Poyanawa,14,21
Gude,30,36
Irula,23,30
Rio Grande Tewa,34,57
Tanimuca-Retuara,11,21
Luo (Kenya and Tanzania),23,32
Jarawa (Nigeria),28,39
Apinaye,14,49
Afitti,17,26
Asheninka Perene,18,28
Bardi,17,24
Duruma,42,49
Malayalam,30,43
Ntcham,21,43
Nobiin,16,21
Dangaleat,21,28
Belanda Viri,28,43
Herero,19,26
Dagbani,24,37
Beng,24,49
Manya,18,27
Marghi Central,30,34
Waiwai,14,20
Nez Perce,26,36
Northern Khmer,24,43
Jola-Fonyi,19,29
Leco,24,30
Latunde,12,28
Lu,22,31
Reel,20,63
Jaunsari,34,51
Yue Chinese,20,25
Lugbara,26,39
Eastern Tamang,19,29
Border Kuna,16,21
Tupuri,28,56
Hixkaryana,18,23
Doyayo,22,34
San Mateo del Mar Huave,18,24
Corongo Ancash Quechua,18,24
Kenswei Nsei,55,65
Tachelhit,33,37
Javanese,21,29
Khmu,23,41
Paez,33,49
Panobo,14,18
Texistepec Popoluca,19,29
Morisyen,21,30
Nivacle,22,28
Kirghiz,20,36
Cameroon Mambila,24,40
Baba,23,30
Paez,29,37
Tiagbamrin Aizi,24,32
Berta,24,29
Mwali Comorian,19,24
Yambeta,18,28
Gbaya-Bossangoa,31,43
Bandi,23,48
Alabama,14,17
Lakota Dida,27,57
Fe'fe',17,25
Diriku,23,28
Kuvi,28,47
Liberia Kpelle,22,34
Tee,23,38
Kirghiz,22,30
Sanskrit,37,45
Tinputz,12,26
Leh-Kenhat,37,45
Minica Huitoto,18,24
Tundra Nenets,27,35
North Giziga,29,37
Biak,14,24
Bundeli,38,55
Ngas,24,36
Mbukushu,22,29
Loko,18,25
South Bolivian Quechua,31,36
Western Cham,21,32
Mbay,22,44
Xiriana,19,24
Wari',15,21
Western Xwla Gbe,29,45
Ngas,30,44
Panara,11,26
Dagik,16,26
Northern Kissi,22,42
Aleut,24,27
Adang,18,40
Amele,15,20
Sanuma,11,24
Amharic,30,37
Lahu,26,40
Bafia,27,51
Paiwan,22,26
Faiwol,12,20
Uru,23,33
Siwu,20,37
Chrau,20,33
Soninke,34,52
Huaylas Ancash Quechua,20,30
Logo,27,39
Lusi,16,21
Lavukaleve,15,20
Gujari,32,50
Godie,26,42
Akuntsu,11,22
Berom,24,31
Fwe,49,59
Mundari,32,37
Eastern Bolivian Guarani,12,24
Kurukh,21,32
Northern Bobo Madare,21,37
