a,b
116,114
105,107
93,73
84,112
66,58
118,82
20,67
76,72
71,99
30,146
55,121
26,93
108,111
91,54
46,76
49,63
77,103
82,137
37,118
109,55
94,129
65,81
21,74
63,106
88,119
33,105
57,66
89,116
85,144
50,142
96,52
102,110
111,86
75,83
100,126
53,143
32,123
98,80
51,64
56,68
115,138
67,88
38,57
103,145
23,85
59,98
106,133
68,117
70,149
34,71
28,108
60,59
36,115
39,113
110,109
29,101
35,77
64,150
120,127
22,134
74,51
78,50
114,62
48,104
25,96
81,69
97,94
83,148
45,128
79,147
44,53
92,102
101,89
31,130
61,136
104,79
112,122
95,65
119,97
107,84
27,61
99,135
73,87
47,60
113,131
80,95
43,139
40,132
90,90
69,78
86,91
52,124
54,120
72,100
41,70
117,56
24,140
62,125
58,141
42,75
87,92
