Length,Freq,Mean_RT
8,131,819.19
10,82,977.63
7,0,908.22
6,592,766.3
12,2,1125.42
12,9,948.33
3,14013,641.67
11,15,816.94
11,48,931.13
5,290,654.12
6,3264,583.81
6,3523,667.18
11,46,1054.77
4,1733,737.33
11,192,931.04
8,78,748.1
10,640,849.67
10,6,914.5
11,7718,620.79
10,39,910.72
11,1412,978.81
8,256,871.68
9,75,948.11
11,0,942.86
5,4519,636.56
6,2089,595.31
4,716,692.45
7,23998,751.29
12,11,1314.33
9,2146,787.81
6,269,676.72
6,702,762.75
9,6742,755.57
7,331,792.45
6,1274,652.24
8,408,759.32
8,272,819.93
8,8,997.33
8,393,817.45
7,419,728.34
8,600,752.41
10,67,832.55
7,4687,713.94
11,21,768.41
8,1380,816.67
10,3749,748.47
8,183,1013.69
4,46405,564.18
8,472,769.26
8,33,886.24
10,3348,849
10,52,798.36
6,4796,938.2
5,226,911.75
9,138,768.07
9,44,724.09
13,0,915.96
9,57,837.38
9,0,841.18
11,185,1089
9,2,913.53
4,1614,677.91
4,75075,594.15
10,2760,685.53
7,279,741.31
10,11468,716.9
14,3601,904.47
6,110,750.25
9,127,860.29
15,4,1216.81
8,1898,633.09
9,3,788.94
5,8301,721.96
7,2713,761.07
9,39,633.71
5,1591,733.74
10,1538,782.07
10,11,980.25
7,0,812.39
14,19,923.74
8,148,883.5
10,1759,669.24
10,12,907.39
3,2850,726
10,54,814.52
7,86,763.55
8,10161,663.79
7,377,872.55
7,1394,648
5,10605,681.13
6,757,641.06
6,775,775.59
5,14860,602.09
7,31679,576.58
10,181,792.93
6,158,876.56
8,429,710.63
11,93,875.27
6,2434,627.11
11,162,1458.75
