Year,Reg,Verb,Neg,Permitter,Imper
2003,MAG,allow,No,Inanim,No
2005,SPOK,allow,No,Inanim,No
1990,SPOK,let,No,Anim,No
2007,SPOK,allow,No,Inanim,No
1997,MAG,permit,No,Anim,Yes
1996,MAG,allow,No,Anim,No
1995,MAG,allow,No,Inanim,No
2007,SPOK,let,No,Anim,Yes
2005,MAG,permit,No,Anim,No
1992,SPOK,allow,No,Inanim,No
2007,MAG,let,No,Anim,No
2005,MAG,let,Yes,Anim,No
2006,MAG,allow,No,Undef,No
2006,MAG,permit,No,Inanim,No
2007,SPOK,allow,No,Undef,No
1999,SPOK,let,No,Anim,Yes
2012,SPOK,allow,No,Anim,No
1994,MAG,let,No,Anim,Yes
2011,SPOK,allow,No,Inanim,No
2008,MAG,let,Yes,Anim,No
1997,MAG,permit,No,Inanim,No
1997,MAG,let,No,Anim,No
2006,SPOK,allow,No,Anim,No
1998,SPOK,permit,Yes,Anim,No
1999,MAG,allow,No,Anim,No
1996,SPOK,let,No,Anim,Yes
2006,MAG,allow,No,Inanim,No
1990,SPOK,let,No,Anim,Yes
2005,SPOK,allow,No,Inanim,No
1990,SPOK,let,No,Anim,Yes
2006,MAG,allow,No,Inanim,No
1995,SPOK,permit,No,Anim,No
2011,SPOK,permit,No,Anim,No
2005,MAG,allow,No,Undef,No
2011,MAG,allow,No,Anim,No
1996,SPOK,permit,No,Anim,Yes
2003,MAG,permit,Yes,Anim,No
1999,MAG,allow,Yes,Anim,No
2010,SPOK,let,No,Anim,Yes
2008,SPOK,let,No,Anim,Yes
1996,SPOK,let,No,Anim,Yes
2001,MAG,permit,No,Inanim,No
2005,MAG,allow,No,Anim,No
2004,SPOK,allow,No,Anim,No
1996,MAG,let,No,Inanim,No
2008,MAG,permit,No,Inanim,No
2010,SPOK,allow,No,Anim,No
1998,MAG,let,Yes,Anim,No
1992,MAG,permit,No,Inanim,No
1991,MAG,let,Yes,Anim,No
2008,MAG,allow,No,Inanim,No
1992,SPOK,let,No,Anim,Yes
1996,MAG,allow,No,Anim,No
2005,MAG,let,No,Anim,No
2009,SPOK,allow,No,Inanim,No
2001,MAG,allow,No,Anim,No
2006,MAG,allow,No,Undef,No
2000,SPOK,permit,No,Anim,No
1993,MAG,permit,No,Anim,Yes
1997,SPOK,permit,No,Anim,No
1993,SPOK,permit,No,Inanim,No
2007,MAG,permit,No,Inanim,No
2006,SPOK,permit,No,Inanim,No
1997,SPOK,let,No,Anim,Yes
2002,SPOK,allow,No,Inanim,No
2006,MAG,permit,No,Inanim,No
2005,MAG,allow,No,Anim,Yes
1995,MAG,permit,No,Inanim,No
2011,MAG,allow,No,Inanim,No
