sound,f1,f2
i,343.936473,2087.688061
i,376.343722,1939.472803
i,253.490671,1094.884894
i,276.426595,2314.701435
i,325.202525,1987.125705
i,299.584186,2499.441434
i,244.041092,2428.071499
i,347.245943,2498.858329
i,332.79843,2600.633322
i,320.204854,1915.155883
i,317.00004,1918.849423
i,330.576415,2013.858349
i,369.762741,2099.704555
i,269.531831,2083.97845
i,272.483199,2197.627238
i,273.694923,2104.989996
i,281.424213,2071.745581
i,279.258095,2103.560414
i,280.21823,2147.794598
i,282.944723,2127.743673
i,272.443751,2097.994161
i,262.031789,2089.603532
i,254.88556,2101.125727
i,261.000368,2097.68989
i,260.709066,2107.276717
i,249.36786,2099.786313
i,237.384464,2070.034969
i,241.001423,2094.844614
i,224.706473,2113.182039
i,232.066839,2147.908573
i,242.381966,2044.990995
i,241.421058,2114.652995
i,257.754196,2160.646352
i,307.192651,2173.653813
i,325.485651,2088.569763
i,249.084691,2066.628274
i,246.996681,1992.254867
i,241.085664,2006.433771
i,247.429031,2068.271526
i,261.627503,2095.527004
i,270.6955,2070.388859
i,271.595539,2064.098033
i,283.732702,2040.547377
i,294.497724,2010.789046
i,309.960738,2029.353899
i,328.999326,2052.018118
i,338.573325,2074.121272
i,343.751807,2249.808348
i,351.036151,2277.50973
i,340.012764,2315.454408
i,317.332779,2123.331514
i,327.576913,2106.112909
i,346.613917,2099.692455
i,352.967134,2111.150079
i,369.325631,2109.867268
i,339.314766,2107.031195
i,314.137577,2085.342919
i,326.477293,2074.503016
i,362.150688,2082.761135
i,322.911667,2098.393993
i,284.834789,2085.550949
i,282.225431,2086.351143
i,290.638928,2068.796396
i,305.226199,2053.875611
i,312.287448,2057.327461
i,344.023849,2062.279655
i,131.914969,2086.158702
i,423.210381,2066.808958
i,298.411092,2107.268605
i,291.827456,2065.337209
i,285.744651,2063.87383
i,286.808745,2079.405027
i,281.104755,2079.755315
i,271.433012,2075.219094
i,265.616516,2101.574261
i,265.021067,2092.796068
i,245.799966,2065.373244
i,267.345886,2051.221793
i,322.505917,2069.345877
i,349.39091,2081.469856
i,346.073004,2069.217585
i,336.227367,2072.47513
i,333.110961,2070.641838
i,331.826524,2050.812307
i,333.019765,2035.017119
i,335.831211,2036.506646
i,338.185266,2012.587876
i,338.89857,1975.267276
i,338.508238,1996.830948
i,339.498204,2029.444822
i,338.061081,2041.244455
i,337.07909,2085.379114
i,335.90736,2095.107592
i,337.135895,2101.521023
i,342.604141,2153.045256
i,342.270535,2154.416276
i,339.819846,2114.236091
i,339.480461,2090.719783
i,339.804719,2078.872808
i,339.067268,2091.778079
i,341.537957,2066.529083
i,344.274232,1990.649407
i,351.550984,2010.457964
i,359.179455,2020.247152
i,354.803317,2071.104285
i,347.29376,2078.813231
i,345.724018,2067.429393
i,347.792266,2122.232374
i,312.036968,2023.478855
i,302.996849,2038.455827
i,302.632612,2027.051866
i,308.487429,2031.693504
i,314.844256,2006.178746
i,317.411716,2009.773682
i,318.139313,2009.450849
i,322.824659,2046.173018
i,331.482856,2077.606184
i,354.783326,2081.236853
i,369.540814,2066.46948
i,437.919812,2059.682971
i,453.998668,2058.28699
i,359.106615,2102.134922
i,333.882274,2126.218283
i,340.246094,2144.032064
i,382.467484,2156.812177
i,363.49204,2173.680444
i,335.877669,2162.350383
i,312.442942,2173.924039
i,329.317484,2190.038434
i,316.770955,2192.320743
i,306.623405,2205.782421
i,313.690809,2202.224474
i,300.936865,2189.227818
i,318.055669,2189.521112
i,319.389129,2182.144753
i,297.682493,2167.70718
i,311.915471,2182.459325
i,291.676178,2178.44148
i,310.047232,2042.12943
i,305.421673,2051.328988
i,314.222164,2046.299253
i,320.973298,2045.453723
i,334.160204,2046.594342
i,350.787758,2018.652537
i,340.948696,2022.312918
i,359.400547,2001.399637
i,369.016681,2088.833455
i,378.094658,2090.420764
i,382.797528,2089.610491
i,370.987678,2079.855517
i,350.602392,2071.371006
