language,consonants,phonemes
Dzuungoo,26,55
South Bolivian Quechua,31,36
Northern Paiute,14,24
Noone,19,33
Cha'palaa,23,27
Bandi,23,48
English,27,40
Sumi Naga,35,46
Japreria,14,20
Dan,19,39
Bulu (Cameroon),24,36
Myene,29,36
Gadsup,9,15
Nateni,13,40
Lisu,25,39
Paez,29,37
Asheninka Perene,18,28
Trinitario,18,30
Adioukrou,21,32
Portuguese,23,38
Tuyuca,11,23
Hindi,37,58
Tlachichilco Tepehua,24,34
Konni,31,49
Navajo,31,47
Fali,39,50
Cusco Quechua,26,31
Apiaka,12,22
Kuranko,26,54
Yawanawa,14,18
Paez,29,39
Yanesha',24,33
Kyenga,22,37
Wari',15,21
Jamsay Dogon,37,60
Nubi,30,35
Warray,16,21
Carijona,14,21
Yavitero,17,21
Engenni,20,33
Central Aymara,36,42
Fang (Equatorial Guinea),25,41
Murle,20,34
Dagbani,24,37
Kabyle,27,30
Pana (Central African Republic),34,66
Chiquitano,14,26
Waris,13,22
Lusi,16,21
Southern Sama,17,23
Panara,11,26
Croatian,25,36
Thado Chin,23,31
Dyula,23,39
Pattani,38,44
Bilin,31,38
Moken,20,38
Cebaara Senoufo,24,43
Pwo Northern Karen,23,52
Boro (Ethiopia),22,30
Yukpa,12,18
Nadab,17,34
Yine,16,26
Malayalam,30,43
Uri,16,24
Bardi,17,24
Huastec,21,26
Moseten-Chimane,26,38
Central Siberian Yupik,32,36
Akan,21,35
Umbundu,20,30
Macedonian,26,32
Bagirmi,29,48
Sabane,13,18
Italian,23,30
Adzera,18,25
Matumbi,15,23
Kasem,21,45
Northern Nuni,21,54
Northern Haida,46,49
Even,18,36
Torwali,38,51
North Junin Quechua,19,25
Akurio,10,24
Zaiwa,21,32
Candoshi-Shapra,21,27
Kom (Cameroon),59,75
Guerrero Amuzgo,25,37
Shasta,17,21
Tocantins Asurini,11,16
Lega-Shabunda,18,38
Assamese,22,37
Mocovi,23,31
South Central Dinka,20,60
Chamacoco,21,37
Pwo Northern Karen,25,37
Guaja,12,24
Lao,28,40
Mescalero-Chiricahua Apache,31,51
Panobo,14,18
Hoava,16,21
German,23,39
Wandala,45,52
Cross River Mbembe,28,37
Tachelhit,33,37
Wawa,30,49
Pinyin,42,66
Ngarinyin,18,24
Alabama,15,21
Muyang,27,46
Ut-Main,36,56
Dime,53,73
Tamil,32,43
Qawasqar,18,24
Awngi,28,35
Selkup,18,34
San Martin Quechua,15,18
Toba,20,28
Ogbia,24,34
Maay,22,32
Arabela,11,18
Western Xwla Gbe,29,45
Chumburung,21,30
Palor,26,43
Tlingit,43,48
Northern Tosk Albanian,28,35
Wolof,26,40
Bullom So,22,36
Waimaha,11,23
Telefol,17,27
Totontepec Mixe,14,23
Nootka,37,47
Northeast Maidu,17,23
Matses,15,21
Naasioi,8,13
Baka (Cameroon),25,35
Orma,23,33
Qawasqar,16,19
Wintu,30,35
Maung,17,22
Japanese,27,40
Purepecha,26,32
Kokota,22,27
Komo (Democratic Republic of Congo),24,35
Nugunu (Cameroon),24,35
Barasana-Eduria,11,17
South Efate,15,20
Kakabe,22,38
Eton-Mengisa,21,38
Murle,21,26
Ibibio,17,32
Sissano,37,46
Antakarinya,17,23
Nomaande,14,30
Toro So Dogon,16,28
Machiguenga,18,27
Eggon,30,42
Tieyaxo Bozo,19,36
Mochi,20,25
Wolof,38,54
Yanomami,12,33
Maxakali,10,20
Bengali,34,48
Marwari (India),36,46
Manipuri,27,35
Vame,38,46
Gagnoa Bete,23,51
Hai//om,24,29
Huaylas Ancash Quechua,20,30
Car Nicobarese,16,25
Korafe-Yegha,19,24
Leti (Indonesia),10,22
Tuki,25,39
Central Khmer,21,42
Luyi,17,22
Manya,18,27
Kman,34,50
Kunama,19,26
Dafla,16,27
Juang,24,36
Western Farsi,24,30
Tiwi,22,26
Tsafiki,16,25
Katcha-Kadugli-Miri,39,61
Sa'ban,38,46
Ambulas,17,24
Ahanta,24,40
Buol,17,23
Aringa,35,49
Abure,20,36
Bodo (India),15,21
Ewondo,26,34
Degema,24,36
Kistane,34,41
Nyole,24,36
East Taa,130,161
Dadibi,13,23
Tinputz,12,26
Baniwa do Icana,18,26
French,23,40
