language,consonants,phonemes
Javanese,22,30
Wu Chinese,25,34
Maquiritari,12,26
Chaudangsi,34,42
Basa (Cameroon),29,41
Siar-Lak,15,22
Apatani,24,37
Baka (Cameroon),25,35
Hausa,25,31
Luwo,19,32
Bole,28,38
Nivkh,28,35
Awtuw,11,18
Yue Chinese,22,32
Koya,21,31
Banda-Ndele,32,45
Wogeo,15,20
Northern Toussian,16,35
Nateni,13,40
Gude,30,36
Yagua,11,23
Nkonya-Nkami,20,34
Polish,31,37
Mwotlap,15,22
Tunica,17,24
Hindi,37,58
Tupinamba,13,25
Moklen,19,46
Bongo,18,29
Jarawa (Nigeria),28,39
Sora,21,31
Samba Leko,22,34
West Coast Bajau,17,23
Sakha,33,49
Mandarin Chinese,25,32
Wayampi,14,25
Southeastern Pomo,27,38
Rotokas,6,11
Burji,26,36
Bororo,15,22
Tampulma,24,33
Central Nicobarese,16,35
Mina (Cameroon),39,50
Marathi,42,55
Pai Tavytera,15,27
Mbay,22,44
Kuo,29,56
Izi-Ezaa-Ikwo-Mgbo,27,38
Xwela Gbe,29,45
Northern Bobo Madare,21,37
Jebero,19,23
Koyraboro Senni Songhai,23,37
Basque,23,28
Navajo,31,47
Zulu,35,43
Balti,35,53
Iaai,33,52
Djeoromitxi,14,24
Eastern Low German,23,37
Korubo,14,20
Wubuy,19,23
Igbo,46,65
Southeastern Kolami,36,46
Ngiti,44,56
Ningil,14,21
Southeast Ijo,24,44
Irarutu,12,19
Borana-Arsi-Guji Oromo,26,36
Ekari,10,15
Thai,21,45
Galo,17,29
Chickasaw,16,25
Spokane,38,43
Mekens,16,26
Texistepec Popoluca,19,29
Ocaina,26,35
Carijona,14,21
Biak,14,24
Selk'nam,21,29
Bambara,32,58
Doyayo,22,34
Ega,27,39
Nootka,37,47
Tedaga,24,35
Bondo,27,40
Kamba (Kenya),13,31
Lokono,16,21
Bum,37,47
Kaingang,11,16
Mapoyo,12,19
Nomaande,14,30
Masai,21,43
Yucuna,16,21
Paite Chin,19,25
Gadsup,9,19
Koyra Chiini Songhay,21,36
Guahibo,17,35
Eastern Arrernte,27,30
Kulung (Nepal),22,43
Tinigua,22,40
Soninke,28,50
Western Highland Chatino,16,25
Medumba,16,25
Bulgarian,37,49
Yucuna,16,21
Yanomamo,12,19
Kayabi,14,26
Yambeta,18,28
Russian,33,38
Burarra,16,21
Dizin,24,30
Kangaki-Kagbaaga-Kajoko Bidyogo,18,25
Avar,44,49
Aewa,17,27
Jola-Fonyi,19,29
Yawanawa,14,18
West-Central Limba,17,24
Bench,46,56
Weh,37,47
Gujarati,35,60
Budu,31,43
Border Kuna,19,24
Nuer,20,48
Cherokee,11,17
Rukai,23,27
Sentani,10,17
Dera (Nigeria),24,35
Eastern Cham,21,30
Acoli,17,29
Lango (Uganda),18,40
Kabiye,24,47
Berom,24,31
Lele (Guinea),19,28
Katcha-Kadugli-Miri,41,63
Fwai,19,35
Hills Karbi,28,39
Maung,19,24
Russian,33,38
Southern Yukaghir,21,33
Nigeria Mambila,25,43
Northern Ngbandi,19,31
Eastern Pahari,27,39
Xavante,11,24
Lak,60,69
Northern Uzbek,24,30
Siona-Tetete,18,30
Tohono O'odham,19,29
Yagaria,14,23
Luchazi,32,42
Hakka Chinese,21,31
Savosavo,17,22
Lower Grand Valley Dani,12,24
Ache (Tupian),22,34
Caquinte,19,27
Gidar,28,38
Yuki,24,30
Salasaca Highland Quichua,24,29
Wamey,39,46
Kunjen,23,28
Wantoat,14,21
Mann,22,39
Baga Koga,17,25
Tol,22,28
Garo,16,21
Soo,18,28
Babanki,26,33
Georgian,29,35
Kinnauri,31,46
Pech,18,28
Maithili,34,42
Pume,23,38
Amundava,14,26
Maca,22,32
Maranao,13,17
Tocho,15,27
Izi-Ezaa-Ikwo-Mgbo,29,40
Loniu,16,23
Pacoh,18,33
Cha'palaa,23,27
Itelmen,27,32
Sissala of Burkina Faso,22,51
T'apo,20,25
Itonama,19,25
Cocama-Cocamilla,11,16
Cupeno,27,38
Wuzlam,34,42
Kimaama,20,44
Lao,28,40
North Junin Quechua,19,25
Galibi Carib,9,15
Ga,29,41
Uru,23,33
Bangolan,27,40
Cabiyari,12,17
Kashmiri,27,56
Modern Greek,21,26
Turkish,24,40
Nubi,30,35
Candoshi-Shapra,21,27
Subiya,46,51
Yulu,35,42
Tenetehara,14,21
Merey,33,44
Suya,13,28
Langi,32,52
Baruga,14,24
Taos Northern Tiwa,26,38
Mangbetu,36,47
Siriano,11,23
Assamese,22,37
Selkup,18,34
Cameroon Mambila,24,40
Belanda Bor,25,38
Lusi,18,28
Oroko,22,29
German,23,39
Pichi,21,30
Hopi,31,49
Tsotso,19,31
Cuvok,27,29
Hausa,31,38
Tirma-Chai,22,31
Jita,17,29
Paraguayan Guarani,18,30
Phalura,30,40
Dzuungoo,26,55
Jaqaru,36,42
Zuni,44,54
Kusaal,22,44
Paiwan,22,26
Fwe,49,59
Maranunggu,19,24
Tiruray,16,22
Egyptian Arabic,27,35
Yemba,17,27
Muniche,22,27
Tilquiapan Zapotec,22,30
Ache (Tupian),11,21
Gbaya-Mbodomo,28,38
Tapiete,15,27
Kambera,19,29
Kwaya,17,29
Keiga,37,59
Ambele,38,51
Cavinena,20,24
Aghem,25,35
Bambalang,34,57
Oneida,10,22
Ava-Canoeiro,12,24
Mapudungun,22,28
Sakha,22,34
Spanish,20,25
Anuak,19,47
Tzeltal,22,28
Nobiin,16,21
Ewe,26,40
Bade,33,46
Bakaka,16,32
Khasi,21,29
Tanacross,35,54
Manam,13,18
Gujari,32,50
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,45,49
Bengali,34,48
Samre or Siem Reap,20,41
Achumawi,17,23
Yemsa,25,40
Zande,24,32
Apurina,14,40
Ignaciano,21,25
Pattani,38,44
Jauja Wanca Quechua,16,22
Orma,23,33
Akpes,21,34
Seneca,11,27
Bodo Gadaba,21,40
Avokaya,37,55
Chuvash,30,39
Oro Win,12,18
Kurukh,31,56
Lahu,26,40
Konkani,35,45
Callawalla,26,32
Komi-Zyrian,26,33
Inor,39,45
Godie,26,42
Gaam,24,33
Lambadi,30,48
Kaxarari,15,20
Afitti,17,26
Ulwa,22,28
Shall-Zwall,14,18
Northern Dagara,29,41
Tikar,27,46
Akawaio,13,23
Tamasheq,22,43
Mochica,20,32
Alawa,22,26
Chipewyan,38,52
Akan,21,35
Peve,30,38
Machinere,13,18
Quechan,28,38
Afade,27,36
Mewati,30,50
Yanesha',24,33
Jola-Esulalu,31,51
Abipon,15,20
Northern Dong,20,27
Grass Koiari,11,16
Nyabwa,24,44
Choctaw,15,21
Irish,45,69
Masalit,31,45
Lahu,26,35
Abidji,21,38
Mambai,26,54
Lugbara,27,42
Pokoot,17,39
Pwo Northern Karen,23,52
Samo,12,18
Baatonum,18,30
Ngas,24,36
Lumun,17,35
Pengo,22,32
Mizo,33,39
Terena-Kinikinao-Chane,13,23
Kpan,24,34
Dadibi,13,23
Galibi Carib,11,17
Ucayali-Yurua Asheninka,24,32
Yareba,13,18
Mambwe-Lungu,19,36
Cubeo,11,23
Mada (Cameroon),22,40
Kabiye,22,47
Panobo,14,18
Manado Malay,19,25
Hupda,19,34
Yawalapiti,17,21
Awa-Cuaiquer,14,21
Caddo,20,23
Eggon,30,42
Ewondo,15,25
Morokodo,42,54
Mongo,45,56
A-Pucikwar,16,24
Eastern Maninkakan,20,36
Pinyin,42,66
Andoque,11,26
Tamnim Citak,11,17
Lemeting,19,25
Akurio,10,24
Gadsup,9,15
South Efate,15,20
Tsuvadi,38,52
Kwoma,24,31
Wongo,15,24
Ndonga,29,36
Aguaruna,12,20
Camsa,21,27
Lamang,37,41
Zay,23,37
Kodava,27,52
Hupa,28,35
Jamamadi,11,19
Eastern Yiddish,38,47
Tigak,12,17
Ticuna,18,38
Yuracare,18,25
Gamo-Gofa-Dawro,26,36
Darma,34,42
Konkomba,22,42
Baba,23,30
Sanuma,10,31
Hangaza,23,35
Paez,29,37
Hausa,32,45
Chimila,16,36
Michif,25,41
Amahuaca,14,22
Khasi,19,28
Yawa,14,19
Tukang Besi North,24,29
Karang,30,40
Tumtum,39,55
Tariana,23,38
Zoogocho Zapotec,28,65
Lingala,15,22
Cavinena,20,24
Mori Bawah,22,27
Lenakel,15,21
Toura (Cote d'Ivoire),19,50
Iwam,11,17
Swedish,18,35
Breton,25,45
Aja (Benin),23,37
Jaad-Badyara,25,43
Yamana,15,20
Makasar,18,23
Chacobo,16,20
Mbe',48,57
Kaingang,13,27
Shuar,13,21
Nyeu,20,40
Logba,25,35
Kenyang,21,41
Guinea Kpelle,24,39
Buamu,17,28
Izi-Ezaa-Ikwo-Mgbo,40,51
Ntcham,21,43
Paraguayan Guarani,24,36
Mesqan,34,41
Sabane,13,18
Surui,19,29
Mawa (Chad),24,33
Mba,24,31
Western Farsi,24,30
Iloko,17,23
Sandawe,44,64
Limbum,23,33
Antakarinya,17,20
Bomitaba,16,28
Chuave,12,17
Ossetian,30,39
Pilaga,18,22
Cross River Mbembe,28,37
Wyandot,11,17
Rutul,59,64
Secoya,14,26
Capanahua,16,24
Reyesano,18,22
Guayabero,16,22
Mampruli,24,36
Zo'e,14,26
Siriono,18,30
South Bolivian Quechua,31,36
Swahili,32,37
Usarufa,17,22
Chacobo,17,21
Finnish,17,25
Central Kanuri,23,29
Hungarian,50,65
Irula,31,52
Jungle Inga,13,16
Loko,18,25
Mono (Democratic Republic of Congo),33,44
Akan,18,31
Adamawa Fulfulde,37,47
Inga,19,22
Tipai,25,34
Kangri,29,41
Upper Guinea Crioulo,23,28
Wangaaybuwan-Ngiyambaa,15,18
Copainala Zoque,20,26
Jere,24,44
Chukchi,15,22
Izon,19,37
Cayubaba,17,33
East Kewa,15,20
Pottangi Ollar Gadaba,22,34
Mandinka,19,34
Squamish,30,37
Northern Lushootseed,33,37
Northern Frisian,23,42
Chamicuro,19,29
Northern Nuni,21,54
Kalaallisut,19,22
Kagulu,26,31
Matumbi,15,23
Wichita,21,29
Luiseno,23,34
Oluta Popoluca,20,32
Yerukula,20,38
Pa'o Karen,20,34
Anufo,22,43
Arawete,12,21
Atayal,19,27
Yoruba,19,31
Lakota,28,36
Mungbam,24,36
Kituba (Democratic Republic of Congo),15,22
Lakota Dida,27,57
Uri,16,24
Epena,17,38
Piraha,8,11
Biloxi,12,20
Barain,16,29
Ngazidja Comorian,41,48
Ginyanga,31,53
Halkomelem,32,47
Kamasau,23,29
Xiriana,19,24
Ngbaka Minagende,22,34
Nanai,18,24
Naxi (Retired),38,49
Natugu (Retired),30,47
Muyang,27,46
Tunica,18,25
Vietnamese,22,36
Southern-Coastal Tsimshian,38,41
Adzera,18,25
Tonga (Tonga Islands),12,17
Munduruku,17,39
Bilua,16,41
Macaguan,16,22
East Makian,18,23
Bardi,17,24
Tetum,14,19
Southern Sama,17,23
Skou,13,23
Ayere,26,43
Lagwan,34,41
Ignaciano,21,25
Luyi,17,22
Lavukaleve,15,20
Tigrinya,32,39
Naasioi,8,13
Tlachichilco Tepehua,24,34
Palor,26,43
Bakairi,17,29
Larantuka Malay,19,25
Moseten-Chimane,26,38
Southern Sierra Miwok,15,21
Karo (Brazil),14,27
Tatana,17,21
Guinea Kpelle,27,35
Liberia Kpelle,21,45
Mpongmpong,29,38
Barain,31,44
Awngi,28,35
Huba,24,31
Hokkaido Ainu,11,16
Fulnio,21,33
Eastern Oromo,48,60
Toura (Cote d'Ivoire),21,39
Japanese,15,20
Luiseno,21,26
Kikuyu,18,32
Sango,26,42
Betta Kurumba,22,37
Yanyuwa,29,32
Lese,29,42
Adamawa Fulfulde,29,39
Huamalies-Dos de Mayo Huanuco Quechua,21,31
Tolowa-Chetco,29,44
Konkomba,21,38
Karipuna Creole French,22,32
Puri,12,18
Kistane,34,41
Kurukh,21,32
Masaaba,51,63
Bimoba,22,44
Kete,16,25
Hanga Hundi,16,23
Ndemli,30,53
Irantxe-Munku,21,39
Mian,13,25
Komo (Sudan),23,28
Waimaha,11,23
Kirghiz,20,36
Corongo Ancash Quechua,18,24
Southern Ma'di,47,59
Ayacucho Quechua,14,17
Ket,18,25
Gata',24,38
Gbaya-Bossangoa,29,45
Nyamwezi,36,53
Nez Perce,25,30
Longto-Voko,20,31
Limbum,37,52
Uru-Eu-Wau-Wau,14,26
Awutu,30,50
Maxakali,10,20
Yabarana,11,18
Seneca,11,19
Bouyei,24,38
Liberia Kpelle,32,49
Ogbia,24,34
Kaiwa,14,26
Aleut,30,36
Nigerian Pidgin,23,32
Sindhi,41,61
Awara,19,25
Mbya Guarani,14,26
Koasati,15,25
Ngombale,37,59
Karok,27,41
Cofan,27,37
Kasem,19,40
Toba,21,28
Tasomi-Tata,14,21
Shuswap,37,44
Shina,35,48
Koalib-Rere,29,45
Bouyei,23,34
Sebat Bet Gurage,39,45
Ejagham,20,27
Yanomami,12,33
Pulaar,28,38
Bench,29,40
Cajamarca Quechua,19,22
Central Mazahua,45,63
Lengola,24,32
Gwandara,43,65
Central Aymara,36,42
Guambiano,20,25
Seri,17,25
Duruwa,21,31
Kumaoni,31,42
Waama,13,41
Wan,21,36
Mapudungun,20,26
Kirghiz,22,30
Dar Fur Daju,24,30
Warray,16,21
Bhele,19,28
Mwani,21,26
Sedang,39,53
Trumai,23,29
Lamnso',26,45
Ngambay,18,34
Gelao,31,43
Island Carib,16,27
Malayo,20,27
Wa'ikhana,12,24
Kwaza,29,45
Cebuano,18,21
Teke-Kukuya,21,28
Murle,21,26
Maay,22,32
Tagalog,18,28
Komo (Sudan),23,31
Tuvinian,20,29
Huambisa,15,23
Lu,22,31
Ga,24,38
Foodo,23,44
Wahgi,17,23
Herero,19,26
Arikapu,11,25
Toro So Dogon,21,42
Pemon,10,17
Tedim Chin,21,26
Eastern Karaboro,16,26
Dibole,21,31
Zimbabwean Ndebele,61,68
Klamath-Modoc,33,37
Northern Conchucos Ancash Quechua,17,23
Bororo,13,20
Eten,63,74
Finnish,25,42
Kuvi,28,47
Efik,13,20
Wawa,30,49
Dghwede,33,38
Apinaye,13,30
Machame,33,46
Southern Mfumte,74,89
Bodo (India),15,21
Northern Paiute,14,24
Bamenyam,39,50
Shabo,28,43
Emai-Iuleha-Ora,27,48
Moseten-Chimane,23,41
Tolowa-Chetco,26,31
Matses,15,21
Kuanyama,26,33
Thavung,22,72
Kok Borok,25,34
Kanoe,12,26
Anii,23,36
Libyan Arabic,34,50
North Marquesan,12,22
Telugu,32,43
Ngiemboon,19,30
Galibi Carib,9,15
Inor,40,47
Tulu,23,35
Hungana-Saamba,20,33
Chamorro,30,36
Papantla Totonac,20,26
Mpade,30,40
Kwese,16,25
Daw,24,39
Tamambo,16,21
Ngasa,22,31
Doyayo,22,48
Cebaara Senoufo,24,43
Narim,22,34
Dupaninan Agta,15,20
Ndali,17,31
Dan,19,39
Mofu-Gudur,35,44
Wayana,9,16
Tacana,18,22
Vietnamese,21,39
Aikana,22,32
Xeta,13,24
Iquito,11,19
Matis,15,21
Minangkabau,23,33
Nimboran,12,18
Yuchi,38,46
Kuruaya,18,28
Sedang,41,55
Omagua,13,18
Bassa,22,36
Saotomense,19,32
Jamamadi,11,15
Toro So Dogon,16,28
Gwandara,35,64
Bashkir,27,38
Urubu-Kaapor,15,26
Tibetan,24,38
Wapishana,18,22
Garrwan,19,22
North Giziga,29,37
Yoruba,18,29
Waimaha,10,22
Thai,21,30
Bella Coola,28,31
Meru,17,27
Che,30,57
Mbukushu,22,29
Panara,11,26
Aari,26,36
Kazym-Berezover-Suryskarer Khanty,18,31
Sekpele,21,33
Ebira,19,31
Matbat,15,20
Tapirape,13,23
Dafla,16,27
Halh Mongolian,21,35
Cashinahua,15,23
Eastern Bolivian Guarani,12,24
Huallaga Huanuco Quechua,16,22
Beja,21,26
Mescalero-Chiricahua Apache,31,51
Kayapo,16,33
Dagbani,24,37
Tee,23,38
Waimiri-Atroari,16,27
Temein,18,25
Huichol,15,25
East Taa,130,161
Yeyi,77,90
Gunwinggu,19,24
Kwambi,29,37
Nomatsiguenga,16,25
Duala,21,33
Krenak,22,35
Sao Paulo Kaingang,13,27
Yalunka,19,33
Northern Haida,46,49
Embera-Catio,19,31
Giryama,40,47
North Bolivian Quechua,25,28
Bakaka,19,34
Kunza,23,33
Konda-Dora,23,43
Yuracare,18,25
Xerente,13,27
Tz'utujil,25,35
Katcha-Kadugli-Miri,39,62
Northeastern Dinka,19,32
Kohumono,28,38
Sebat Bet Gurage,36,44
Warao,11,21
Amarakaeri,15,33
Kwasio,46,54
Akaselem,20,52
San Mateo del Mar Huave,23,29
Jauja Wanca Quechua,22,27
Beng,24,49
Kui (India),20,39
Bafut,21,49
Badaga,25,38
Kiowa,22,42
Ke'o,24,30
Kwoma,24,31
Southern Nambikuara,13,31
Kwangali,22,27
Satere-Mawe,12,27
Catalan,27,39
French,23,40
Komo (Democratic Republic of Congo),24,35
South Azerbaijani,25,34
Zinza,20,30
Korafe-Yegha,19,24
Totontepec Mixe,14,23
Mada (Nigeria),23,41
Ute-Southern Paiute,19,37
Mandarin Chinese,27,43
Wichi Lhamtes Nocten,23,28
Wik-Mungkan,13,23
Ho,24,43
Secoya,12,18
Ao Naga,24,32
