language,consonants,phonemes
Nonuya,20,26
Cavinena,20,24
Beja,21,26
Central Kanuri,25,35
Pwo Northern Karen,25,37
Minangkabau,23,33
Hausa,33,43
Juruna,18,28
Hixkaryana,18,23
Samo,12,18
Ik,31,44
Nimboran,12,18
Fuliiru,24,36
Ahtena,30,35
Nuer,20,48
Eastern Mari,25,34
Bole,28,38
Yue Chinese,22,32
Tapirape,13,23
Bekwarra,23,36
Pero,18,30
Yagua,11,23
Kwaza,19,35
Leco,24,30
Tenetehara,14,21
Akan,22,40
Selee,18,33
Tatuyo,11,17
Tucano,15,27
Lingala,15,22
Tsotso,19,31
Savosavo,17,22
Grass Koiari,11,16
Camsa,22,28
Ngiemboon,17,28
Telugu,40,51
Gayo,19,27
Iloko,17,23
Mundari,21,39
Nootka,37,47
Manado Malay,19,25
Nugunu (Cameroon),15,26
Southern Mfumte,74,89
Kusunda,32,38
Epena,17,38
Ntcham,21,30
Kashmiri,27,56
Bundeli,38,55
Oro Win,12,18
Huallaga Huanuco Quechua,16,22
Subiya,46,51
Bomitaba,16,28
Niellim,26,59
Maay,22,32
Kakabe,22,38
Pular,28,38
Nanai,18,24
Hoti,21,35
Sissala of Burkina Faso,24,42
Tigak,12,17
Koya,19,24
Jamaican Creole English,21,33
Giryama,40,47
Nyole,24,36
Nigerian Pidgin,23,32
Kambaata,49,59
Ossetian,30,39
Semelai,32,50
Duruma,42,49
Gunwinggu,19,24
Turkish,25,33
Baka (Sudan),36,46
Mudhili Gadaba,19,31
Yala,28,38
Quiotepec Chinantec,26,41
Awtuw,11,18
Uru-Eu-Wau-Wau,14,26
Karipuna Creole French,22,32
Kwese,16,25
Muniche,22,27
Yawalapiti,17,21
Enawene-Nawe,13,25
Nara,17,22
Akpes,21,34
Ngbaka Minagende,22,34
Portuguese,23,38
Hokkaido Ainu,12,17
Akaselem,20,52
Ga,24,38
Eastern Mari,19,27
Engenni,20,33
Hakka Chinese,21,31
Macushi,10,22
Iu Mien,33,41
Uduk,23,28
Sursurunga,15,21
Sochiapam Chinantec,18,39
Hanga,23,29
Indonesian,23,31
Tol,22,28
Sabaot,13,31
Sabane,13,18
Sissano,37,46
Kituba (Congo),17,22
Parakana,12,17
Ewe,27,42
Canela-Kraho,13,29
Karok,27,41
Gban,20,36
Klamath-Modoc,33,37
Afrikaans,16,39
Ma'di,24,38
Paraguayan Guarani,24,36
Shwai,25,38
Diriku,23,28
Xwela Gbe,29,45
Swedish,18,35
Kwami,28,40
Itonama,19,25
Koreguaje,18,30
Karitiana,11,25
Ngoshie,26,34
Galician,21,28
Luo (Kenya and Tanzania),23,32
Didinga,36,58
Adioukrou,21,31
Irigwe,79,95
Ewondo,26,34
Myene,29,36
Amharic,30,37
Korku,26,37
Kituba (Democratic Republic of Congo),15,22
Cajamarca Quechua,19,22
Satawalese,29,42
Manipuri,27,35
Palor,26,43
Lokono,16,21
Nugunu (Cameroon),24,35
Arbore,49,59
Ajumbu,26,39
Wongo,15,24
Washo,26,32
Hungarian,26,40
Mam,33,43
Koyraboro Senni Songhai,15,24
Kunza,23,33
Jinghpaw,25,30
Jaqaru,36,42
Paez,29,39
Ticuna,15,33
Tundra Nenets,26,34
Ashaninka,14,22
Northern Conchucos Ancash Quechua,17,23
Halh Mongolian,21,33
Tigre,26,33
Giryama,40,47
Mungaka,21,33
Ut-Main,36,56
Fulnio,21,33
Barain,31,44
Limbum,37,52
East Makian,18,23
Straits Salish,35,40
Mabaan,19,45
South Efate,15,20
Chipaya,41,51
Central Dagaare,24,54
San Martin Quechua,15,18
Kpan,24,34
Vute,30,59
Koonzime,22,52
Eastern Oromo,48,60
Gen,27,44
Kisa,24,38
Komo (Democratic Republic of Congo),24,35
Ngomba,19,27
Wichita,21,29
Uri,16,24
Katcha-Kadugli-Miri,41,63
Olu'bo,16,21
Carijona,14,21
Tacana,18,22
Ormuri,25,31
Curripaco,25,29
Pichi,21,30
Bassari-Tanda,21,30
Amanab,14,19
Icelandic,23,39
Corongo Ancash Quechua,18,24
Pech,18,28
Soqotri,28,34
Harari,25,34
Pangasinan,16,21
Njebi,24,34
Chacobo,17,21
Yukpa,12,18
Copainala Zoque,16,22
Mao Naga,20,26
Pume,23,38
Kom (Cameroon),59,75
