language,consonants,phonemes
Adang,18,40
Sudanese Arabic,54,62
Kuy,22,47
Mayogo,33,46
Hungarian,50,65
Naasioi,8,13
Trumai,18,24
Tacana,18,22
Chopi,61,68
Kusunda,32,38
Dan,44,92
Ngad'a,21,27
Northern Bobo Madare,21,33
Kwangali,22,27
Loko,18,25
Konni,31,49
Ignaciano,21,25
Aikana,22,32
Zarma-Kaado,20,40
Sanskrit,37,45
Baure,14,18
South Central Dinka,20,60
Tunia,24,40
Krio,22,32
Barbareno,34,40
Kuanyama,26,33
Bondo,27,40
Eastern Ojibwa,16,27
Wuzlam,34,42
Guinea Kpelle,27,35
Nigerian Pidgin,23,32
Japanese,27,40
Huastec,21,26
Selk'nam,21,29
I'saka,9,18
Kako,33,47
Kashmiri,28,56
Corongo Ancash Quechua,18,24
Nyole,24,36
Tilquiapan Zapotec,22,30
Tama (Chad),21,30
Yanomamo,11,32
Plateau Malagasy,31,36
Ut-Main,36,56
Resigaro,30,35
Gbagyi,20,26
Javanese,22,30
Copainala Zoque,20,26
Amahuaca,14,22
Biak,14,19
Karang,30,40
Maxakali,10,20
Western Farsi,24,30
Marwari (India),36,46
Koya,19,24
Tshangla,32,37
Nangikurrunggurr,20,28
Palauan,10,22
Vagla,24,54
Xipaya,14,23
Northern Haida,47,50
Waimaha,11,23
Orokaiva,12,17
Tedaga,24,35
Yuqui,20,40
Chonyi-Dzihana-Kauma,40,47
Southern Bobo Madare,19,38
Mada (Cameroon),22,40
Eastern Panjabi,50,73
Maba (Chad),22,29
Breton,25,42
Yekhee,26,36
Tiv,31,40
Ambele,38,51
Northeast Maidu,18,24
Northern Pame,40,54
Lyele,24,44
Latunde,12,28
Sango,26,37
Kalkutung,20,23
Santali,35,46
Ngalakan,17,26
San Miguel El Grande Mixtec,15,25
Yala,28,38
Central Kanuri,23,29
Adzera,18,25
Kwaya,17,29
Tulu,24,37
Wayuu,14,26
Hausa,31,38
Shabo,28,43
Sebat Bet Gurage,39,45
Mekens,15,35
Tsuvadi,38,52
Mende (Sierra Leone),23,34
Boro (Ethiopia),22,30
Pacoh,18,33
Dimli,30,44
Abidji,21,38
Kalaallisut,32,38
Izi-Ezaa-Ikwo-Mgbo,27,38
Marghi Central,36,44
Gbaya (Sudan),41,56
Toura (Cote d'Ivoire),19,50
Hixkaryana,18,23
Curripaco,25,29
Sharanahua,15,23
Faiwol,12,20
Tulishi,37,59
Nepali Kurux,34,39
Mbe',48,57
Chaudangsi,34,42
Itonama,19,25
Karitiana,11,25
Didinga,36,58
Muinane,22,28
Romanian,22,32
Ndamba,19,24
Dibole,21,31
Katcha-Kadugli-Miri,41,63
Amharic,30,37
Bhele,19,28
Ngas,24,36
Italian,23,30
Khmu,23,41
Lakota,28,36
Western Xwla Gbe,29,45
Central-Eastern Niger Fulfulde,27,37
Juang,24,36
Aewa,17,27
Kok Borok,25,34
Hopi,31,49
Angolar,22,36
Mor (Bomberai Peninsula),14,19
Yana,22,30
Timne,17,25
Ndogo,29,38
Kannada,36,47
Alawa,22,26
Koasati,15,25
Gikyode,29,51
Maranao,13,17
Luo (Kenya and Tanzania),23,35
Awa-Cuaiquer,16,26
Cubeo,11,23
Tachelhit,33,37
Kamayura,14,26
Kinnauri,31,46
Liberia Kpelle,32,49
Pichis Asheninka,22,30
Lepcha,26,36
Kafa,22,27
Dagbani,24,37
Dhuwal,20,23
Banda-Ndele,32,45
Hupa,28,35
Island Carib,16,27
Tlingit,43,48
Bakairi,16,30
Aghem,25,35
Jita,17,29
Yuracare,18,25
Sissala of Burkina Faso,24,42
Soninke,24,39
Bena (Tanzania),22,34
Panare,12,25
Moseten-Chimane,23,41
Kakua,21,26
Mampruli,24,36
Bumbita Arapesh,15,22
Hungana-Saamba,20,33
Ndonga,29,36
Ngasa,22,31
Nzima,24,40
Nukak Maku,12,24
Ibani,25,38
Awngi,28,35
Siang,13,17
Lunda,22,32
Luo (Kenya and Tanzania),26,38
Banda-Ndele,33,46
Beembe,16,26
Barasana-Eduria,11,17
Macedonian,26,32
Phalura,30,40
Friulian,25,39
Darma,34,42
Bilin,31,38
Kanga,53,75
Hadza,57,62
Poyanawa,14,21
Ewe,28,45
Mapudungun,20,26
Saraiki,48,83
Giryama,40,47
Fang (Equatorial Guinea),25,41
Gaviao Do Jiparana,19,29
Epena,17,31
Hills Karbi,28,39
Afrikaans,16,39
Border Kuna,16,21
Pa'o Karen,20,34
Mambwe-Lungu,19,36
Cebaara Senoufo,24,43
Wamey,39,46
Shall-Zwall,14,18
Zayse-Zergulla,27,32
Waorani,12,32
Maijiki,14,20
Piaroa,23,30
Oko-Eni-Osayen,18,30
Dghwede,33,38
Bafia,27,51
Ngbaka Minagende,22,34
Cajamarca Quechua,19,22
Yemsa,25,40
Sumbwa,20,32
Zhenkang Wa,27,49
Tetum,13,18
Karo (Brazil),14,25
Nivkh,34,44
Palor,26,43
Makasar,18,23
Komo (Sudan),23,28
Wolof,26,40
Lelemi,22,34
Godie,26,42
Ayere,26,43
Igo,23,33
Kasem,19,40
Satawalese,29,42
Ekpeye,24,37
Orma,23,33
Klao,11,27
Soo,18,28
Rotokas,6,11
Mundari,33,54
Taroko,33,43
Merey,33,44
Ikwere,23,46
Ngarinyin,18,24
Polish,31,37
Ese Ejja,18,22
Itonama,19,25
Luchazi,32,42
Tigrinya,32,39
Alamblak,18,25
Ao Naga,24,32
Pokoot,17,39
Embera-Catio,19,31
Irish,45,69
Anfillo,38,48
Kunza,23,33
Western Keres,39,51
Cha'palaa,24,28
Ndzwani Comorian,32,39
Ayacucho Quechua,14,17
Toposa,17,27
Northern Tosk Albanian,28,35
Akaselem,20,52
Northwestern Kolami,21,34
Eastern Tamang,19,29
Holoholo,17,26
Mundu,29,41
Antakarinya,17,23
Izi-Ezaa-Ikwo-Mgbo,29,40
Mullukmulluk,14,19
Furu,31,41
Wappo,30,35
Fuliiru,24,36
Tipai,25,34
Tacana,18,22
Logo,27,39
Koryak,16,21
Yawanawa,15,19
Santiago del Estero Quichua,20,25
Ahanta,24,40
Kunyi,44,55
Upper Guinea Crioulo,23,28
Wubuy,19,24
Karok,27,41
Shawi,14,18
Aleut,24,27
Kangri,29,41
Maranunggu,19,24
Baniwa do Icana,16,24
Jaunsari,34,51
Vai,28,43
Bubia,25,39
Tigon Mbembe,99,116
Giryama,40,47
Ravula,23,39
Ginyanga,31,53
Jamamadi,12,16
Seimat,11,28
Tikar,27,46
Banda Malay,18,23
Guarayu,14,26
Rundi,22,29
Dar Fur Daju,24,30
Yulu,35,42
Vietnamese,21,39
Baangi,28,56
Dupaninan Agta,15,20
Gaam,34,49
Krache,17,44
Karaja,9,24
Ewe,27,42
Hopi,22,28
Kwambi,29,37
Yue Chinese,22,32
Baoule,21,37
Lengola,24,32
Igbo,28,36
Guro,26,57
Beja,21,26
Qawasqar,16,19
San Mateo del Mar Huave,23,29
Central Aymara,36,42
Yuchi,38,49
Avikam,25,34
Blang,24,40
Sandawe,47,54
Mehinaku,13,23
Koyraboro Senni Songhai,23,37
Totontepec Mixe,14,23
Cayubaba,17,33
Suya,13,28
Guahibo,17,35
Kurukh,31,56
Maxakali,10,20
Aragonese,33,45
Zay,23,37
Irantxe-Munku,21,39
Iraqw,33,48
Pero,18,30
Tok Pisin,15,27
Mundang,37,67
Kaxarari,15,20
Eastern Cham,21,30
Egyptian Arabic,27,35
Ghomala',36,59
Wintu,30,35
Bari (Chibchan),10,22
Tatuyo,11,17
Yugambeh-Bandjalang,12,16
Glavda,34,43
Awutu,30,50
Pech,18,28
Mesqan,34,41
Mungbam,24,36
Leh-Kenhat,37,45
Baga Koga,17,25
Au,10,17
Bissa,23,41
Chechen,32,44
Zimbabwean Ndebele,61,68
Degema,24,36
Umbundu,20,30
Achuar-Shiwiar,15,27
Bemba (Zambia),15,25
Pohnpeian,14,20
Sherbro,24,31
Nivkh,28,35
Nama (Namibia),19,33
Northern Pomo,29,39
Komo (Democratic Republic of Congo),24,35
Yawa,14,19
Bora,17,31
Angami Naga,37,43
Wari',15,21
Igo,23,33
Berom,24,31
Central Kanuri,25,35
Huehuetla Tepehua,26,36
Yoruba,18,32
Yanesha',24,33
Suena,13,18
Kuot,13,19
Amharic,52,59
Nootka,37,47
Bini,25,48
Itonama,19,25
Nkonya-Nkami,20,34
Karok,16,27
Southeast Ijo,24,44
Sinhala,37,53
Leh-Kenhat,33,38
Ngas,30,44
Tena Lowland Quichua,21,24
Baka (Cameroon),25,38
Bamunka,23,32
Yuchi,38,64
Bongo,18,29
Irish,44,68
Ngwe,24,38
Bashkir,27,38
Sidamo,25,35
Bambara,21,35
Giryama,40,47
Ikpeng,12,18
Boro (Ethiopia),16,25
Batak Toba,18,27
Foodo,23,44
Southern Mfumte,74,89
Yagua,11,23
Moloko,31,47
Chamicuro,19,29
Central Bai,18,29
Tamil,32,43
Baga Sitemu,18,26
Betta Kurumba,22,37
Aari,26,36
Yurok,23,35
Hindi,71,94
Waiwai,14,20
Igede,24,38
Puri,12,18
Northern Tosk Albanian,28,35
Tinigua,22,40
Nhengatu,19,23
Tibetan,24,38
Southern Birifor,25,52
Minica Huitoto,18,24
Thai,21,30
Tsuvadi,28,55
Selepet,15,21
Gade Lohar,31,50
Karo (Brazil),14,27
Catalan,27,39
Kaingang,11,16
Chokri Naga,34,39
Kofyar,23,36
Doyayo,22,34
Lenakel,15,21
Carijona,14,21
Oro Win,12,18
Moseten-Chimane,23,41
Bella Coola,28,31
Loma (Liberia),21,51
Northern Yukaghir,20,26
Maria (India),22,39
Cashinahua,15,23
Archi,81,91
Kazym-Berezover-Suryskarer Khanty,18,31
Siar-Lak,15,22
Copainala Zoque,16,22
Bakaka,15,31
Sabaot,13,31
Iban,19,25
Huba,24,31
Baka (Cameroon),25,35
Bakole,27,34
Naasioi,8,18
Bouna Kulango,27,46
Wahgi,17,23
North Marquesan,12,22
Yameo,10,18
Uru-Eu-Wau-Wau,14,26
Lakkia,31,59
Yukpa,12,18
Kazym-Berezover-Suryskarer Khanty,19,32
Central Pashto,31,38
Kamang,16,28
Beng,24,49
Southeastern Kolami,36,46
Yeyi,77,90
Batak Karo,16,24
Lake Miwok,29,39
Boikin,17,25
Siwu,20,37
Sebat Bet Gurage,36,44
Gadsup,9,15
Anufo,22,43
Lahu,26,40
Alyawarr,25,32
Yanesha',23,26
Tunica,17,24
Lugbara,27,42
Carapana,11,23
Gude,30,36
Northern Embera,20,32
Mbe,26,37
Kekchi,21,26
Wongo,15,24
Ngazidja Comorian,41,48
Tonga (Tonga Islands),12,17
