language,consonants,phonemes
Fur,19,30
Guarayu,14,26
Shabo,28,43
Southern Sama,17,23
Markweeta,13,36
Huamalies-Dos de Mayo Huanuco Quechua,21,31
Lahu,26,35
Koya,19,24
Iloko,17,23
Teke-Kukuya,21,28
Luchazi,32,42
Georgian,29,35
Shina,35,48
Central Nicobarese,16,35
Reyesano,18,22
Jauja Wanca Quechua,16,22
Kotafon Gbe,29,45
Suena,13,18
Saya,39,54
Awa-Cuaiquer,14,21
Mapoyo,12,19
Southern Ma'di,47,59
Baka (Cameroon),25,35
Awadhi,37,45
Amarakaeri,15,33
Japanese,27,40
Torwali,38,51
Thulung,30,38
Matis,15,21
Mor (Bomberai Peninsula),14,19
Shawnee,13,19
Hopi,31,49
Cebuano,18,21
Kita Maninkakan,19,33
Biak,14,24
Paiwan,22,26
Eastern Oromo,48,60
T'apo,20,25
Bakaka,19,34
Kanoe,12,26
Chonyi-Dzihana-Kauma,40,47
Yansi,17,42
Aikana,15,25
Qimant,28,39
Nganasan,20,29
Shasta,17,21
Nukuini,14,20
Mapudungun,22,28
Tlingit,43,48
Amanab,14,19
Yucuna,16,21
Bengali,29,43
Salasaca Highland Quichua,24,29
Eastern Pahari,27,39
Limbum,23,41
Saxwe Gbe,24,38
Gwandara,43,65
Grass Koiari,11,16
Norwegian Bokmal,22,46
Zulu,35,43
Satere-Mawe,12,27
Kete,16,25
Hawaiian,8,13
Dieri,22,25
Kazym-Berezover-Suryskarer Khanty,19,32
Baga Sitemu,18,26
Korean,22,40
Hainyaxo Bozo,20,34
Portuguese,23,38
Cebaara Senoufo,22,38
Bimoba,22,44
Kahe,22,32
Mbum,30,38
East Makian,18,23
Central Kanuri,23,29
Eastern Yiddish,38,47
Tzotzil,21,26
Eastern Panjabi,50,73
Natugu (Retired),30,47
Manado Malay,19,25
Anyin,19,40
Wu Chinese,29,41
Ligbi,22,38
Bambara,32,58
Coeur d'Alene,40,48
Noone,19,33
Wapishana,18,22
Mato Grosso Arara,19,33
Kaxarari,15,20
French,21,37
Adang,18,40
Awutu,30,50
Xokleng,19,37
Koyra Chiini Songhay,21,36
Wan,21,36
Lega-Shabunda,18,38
Alaba-K'abeena,52,62
Lamang,37,41
Tucano,15,27
Curripaco,25,29
Mongo,45,56
Kashmiri,27,55
North Junin Quechua,19,22
Kannada,36,47
Kgalagadi,43,53
Boro (Ethiopia),22,30
Sasak,19,30
Ewondo,15,25
Central Aymara,28,31
Kunimaipa,15,20
Nanti,18,27
Sissala of Burkina Faso,24,42
Western Farsi,24,30
Dafla,15,24
Liberia Kpelle,21,45
Koya,21,31
Maria (India),22,39
Ndonga,29,36
Pume,23,38
Navajo,36,54
Baruga,14,24
Italian,23,30
Karok,16,27
Ginyanga,31,53
Mbukushu,22,29
Bekwarra,23,36
Shuar,15,23
Lugbara,26,36
Awtuw,11,18
Manya,18,27
Nisga'a,32,42
Kwami,28,40
Jola-Fonyi,19,29
Chipewyan,39,61
Wawa,30,49
Gbari,24,31
Sandawe,44,64
S'gaw Karen,27,36
Tama (Chad),21,30
San Mateo del Mar Huave,18,24
Didinga,36,58
Pangwa,23,35
Wichita,21,29
Nateni,13,40
Siriono,18,28
Central Kanuri,25,35
Juruna,18,28
Kamba (Kenya),13,31
Molale,23,30
Mampruli,24,36
Western Niger Fulfulde,27,32
Chopi,61,68
Vietnamese,21,39
Toba,20,28
Limbum,37,52
Dera (Indonesia),11,17
South Wa,34,77
Kunyi,44,55
Candoshi-Shapra,21,27
Poyanawa,14,21
Hupa,35,42
I'saka,9,18
Bagirmi,29,48
Muinane,22,28
Santiago del Estero Quichua,20,25
Betta Kurumba,22,37
Zulgo-Gemzek,29,34
Yuqui,20,40
Minica Huitoto,18,24
Yambeta,18,28
Afar,17,27
Eyak,32,45
Buamu,17,28
Northern Lushootseed,33,37
Arhuaco,16,32
Nigerian Fulfulde,28,38
Doyayo,22,48
Subiya,46,51
Satawalese,29,42
Modern Greek,21,26
Maijiki,14,20
Ndonga,25,30
Purepecha,26,32
Apalai,12,24
Ese Ejja,18,22
Straits Salish,35,40
Komo (Democratic Republic of Congo),24,35
Pero,18,30
Copainala Zoque,16,22
Kambera,19,29
Tulishi,37,59
Huehuetla Tepehua,26,36
Beembe,16,26
Tigak,12,17
Kayapo,16,33
Barbareno,38,44
Canela-Kraho,13,29
Olu'bo,16,21
Yareba,13,18
Gbesi Gbe,31,47
Shona,37,42
Kela (Papua New Guinea),16,30
Soqotri,28,34
Pilaga,18,22
Panare,13,20
Wik-Mungkan,13,18
Avatime,28,50
Loxicha Zapotec,23,30
Armenian,30,37
Cusco Quechua,26,31
Minangkabau,23,33
Irish,44,68
Giryama,40,47
Ndonga,29,36
Yagaria,14,23
Resigaro,32,37
Border Kuna,19,24
Karitiana,11,31
Sabaot,13,31
Fwe,49,59
Kayabi,14,26
Hamer-Banna,25,35
Kirghiz,20,36
Cogui,24,36
Chokri Naga,34,39
Andoque,11,26
Yanesha',24,33
Kabiye,24,47
Jaad-Badyara,25,43
Chukchi,15,22
Tirma-Chai,22,31
Qawasqar,16,19
Tampulma,24,33
Acatepec Me'phaa,20,30
Bissa,23,41
Kathmandu Valley Newari,24,32
Tamil,32,43
Bodo Gadaba,21,40
Kulung (Nepal),22,43
Plateau Malagasy,21,25
Korku,26,37
Masai,21,43
Machame,33,46
Manange,30,45
Vute,30,59
Barasana-Eduria,11,17
Ayacucho Quechua,14,17
Alabama,15,21
Paez,29,39
Hupa,28,35
Hawaiian,9,19
Mbe,26,37
Antakarinya,17,23
Southern Kiwai,12,19
Tok Pisin,15,27
Baka (Cameroon),25,38
Nigeria Mambila,25,43
Comanche,12,18
Thai,21,45
Herero,19,26
Copainala Zoque,26,32
Hixkaryana,18,23
Gujari,32,50
Cameroon Mambila,20,35
Eton-Mengisa,21,38
Alladian,23,36
Jaqaru,36,42
Japreria,12,24
Wubuy,19,23
Chimariko,33,42
Guro,26,57
Panare,12,25
Kariri-Xoco,14,21
Kagulu,26,31
Gaa,22,34
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,45,49
Eastern Tamang,19,29
Gwandara,28,46
Uri,16,24
Chumburung,21,30
Ngarinyin,18,24
Kamwe,26,35
Balanta-Ganja,33,50
Bemba (Zambia),15,25
Wantoat,14,21
Berbice Creole Dutch,20,26
Gbaya-Bossangoa,29,45
Omagua,13,18
Aweti,14,26
Mara,19,24
Pengo,22,32
Javanese,22,30
Dagbani,23,31
Gadsup,9,15
Kalaallisut,32,38
Kharia,31,45
Karaja,9,24
Leti (Indonesia),10,22
Lambayeque Quechua,16,19
Krikati-Timbira,11,26
Jamamadi,11,19
Ormuri,25,31
Central Aymara,26,32
Macushi,10,22
Yanomami,12,33
Mundabli,22,38
Buli (Ghana),23,46
Gaam,24,33
Yidiny,13,16
Malayo,20,27
Waiwai,14,20
Pangwa Naga,23,29
Bardi,17,24
Baure,14,18
Ngiemboon,17,28
Boikin,17,25
Halbi,29,42
Kituba (Democratic Republic of Congo),15,22
Arikapu,11,25
Tahaggart Tamahaq,25,37
Even,17,27
Wolof,26,40
Luiseno,21,26
Tonkawa,15,25
Sedang,39,53
Muyang,27,46
Alamblak,18,25
Bade,33,46
Dyirbal,13,16
Digo,41,48
Koyra Chiini Songhay,23,43
Tshangla,32,37
Lambadi,30,48
Apinaye,17,34
Macaguan,16,22
Uru-Eu-Wau-Wau,14,26
Lealao Chinantec,28,35
Beng,24,49
Eastern Maninkakan,20,36
Fe'fe',17,25
Xiriana,19,24
Guinea Kpelle,24,39
Chamacoco,21,37
Island Carib,16,27
Bakaka,16,32
Mesqan,34,41
Lijili,29,48
Lagwan,34,41
Cavinena,20,24
Sanuma,10,31
Swedish,18,35
Angaataha,12,21
Bomitaba,16,28
Saraiki,48,83
Bakoko,26,33
Andoque,11,35
Western Bru,20,42
Madi,45,54
Achumawi,17,23
Halh Mongolian,21,33
Swahili,31,36
Javanese,24,33
Adzera,18,25
Macedonian,26,32
Aproumu Aizi,24,33
Dime,53,73
Mising-Padam-Miri-Minyong,34,43
Tawallammat Tamajaq,23,37
Kwoma,24,31
Tlachichilco Tepehua,24,34
Paraguayan Guarani,18,30
Lyele,21,34
Japanese,15,20
Toposa,17,27
Orma,23,33
Apatani,24,37
Kaingang,11,16
Fwai,19,35
Akawaio,13,23
Texistepec Popoluca,19,29
Leco,24,30
Dazaga,21,32
Burarra,16,21
Hai//om,24,29
Ewe,28,45
Aringa,35,49
Paumari,22,28
Sissala of Burkina Faso,22,51
Tundra Nenets,27,35
Ngas,24,36
Olu'bo,34,46
Mekens,16,26
Tera,42,48
Kangaki-Kagbaaga-Kajoko Bidyogo,18,25
Ndut,27,34
Itbayat,19,23
Bengali,36,53
Piraha,8,11
Mandarin Chinese,24,49
Kaxuiana,12,18
Bakairi,16,28
Yanomamo,12,19
Kxoe,95,120
Diriku,23,28
Northern Dagara,29,41
Sundanese,19,26
Giryama,40,47
Principense,22,31
Koasati,15,25
Wayuu,14,26
Baoule,16,23
Pattani,38,44
Gban,20,36
Nias,19,25
Wangaaybuwan-Ngiyambaa,15,18
Bumbita Arapesh,15,22
Bana,37,44
Dangaleat,21,28
Attie,24,47
Selaru,14,19
Tarok,26,32
Baka (Sudan),36,46
Basque,23,28
Lokono,16,21
Dghwede,33,38
Barbareno,34,40
Tedaga,24,35
Southern Yukaghir,21,33
Piapoco,15,19
Waorani,11,21
Kuanyama,26,33
Dutch,24,39
Kwama,20,25
Limbum,23,33
Ossetian,30,39
Bilin,31,38
Elip,19,30
Aguaruna,12,20
Tem,25,36
Central Pashto,31,38
Machinere,13,18
Awngi,28,39
Surui,19,29
Western Cham,24,35
Cebaara Senoufo,24,36
Culina,17,21
Seneca,11,19
Maca,22,32
Tocantins Asurini,11,16
Huastec,21,26
Ut-Main,36,56
Ewe,26,40
Ao Naga,24,32
Carapana,11,23
Moloko,31,47
Chipaya,41,51
Prai,17,35
Furu,31,41
Yuhup,20,35
Tolowa-Chetco,29,44
Yue Chinese,20,25
Hopi,22,28
Embera-Chami,16,28
Yagua,11,23
Sochiapam Chinantec,18,39
Armenian,30,36
Itonama,19,25
Awing,39,56
Xeta,13,24
Ekpeye,24,37
Southeastern Pomo,27,38
Lunda,22,32
Amahuaca,14,22
Khasi,19,28
Hakka Chinese,16,22
Ikpeng,12,18
Pottangi Ollar Gadaba,22,34
Karok,27,41
Chipewyan,38,52
Myene,29,36
Gourmanchema,20,33
Moklen,19,46
Iraqw,33,45
Djeoromitxi,14,24
West-Central Limba,17,24
Central-Eastern Niger Fulfulde,27,37
Chepang,18,24
Yaqui,17,22
Araona,19,23
Komi-Zyrian,29,36
Murrinh-Patha,21,25
Blang,24,40
Bodo (India),15,21
Lugbara,26,39
Beria,21,33
Sindhi,44,54
Kinyarwanda,39,49
Mmaala,23,34
Siriono,16,28
Abau,9,14
Mwani,21,26
Quileute,33,37
Oroko,22,29
Eastern Mari,19,27
Niellim,23,36
Abipon,13,23
Southern Nuni,38,60
Mazanderani,22,29
Ndamba,19,24
Lahu,26,40
Ama (Sudan),18,25
Yamana,15,20
Mian,13,25
Iu Mien,35,49
Igede,24,38
Mungbam,24,36
Izon,19,37
Acheron,18,38
Kekchi,21,26
Nyam,39,56
Swahili,32,37
Manipuri,27,35
Tocho,15,27
Apurina,14,40
Iwam,11,17
Piraha,8,11
Hdi,37,41
Cherepon,26,38
Rendille,21,33
Bafaw-Balong,27,47
Western Maninkakan,20,27
Maasina Fulfulde,27,37
Tilquiapan Zapotec,22,30
Mundari,33,54
Fali,39,50
Kipsigis,14,37
Sebat Bet Gurage,34,42
Slovenian,21,37
Ganda,19,33
Atayal,19,26
Hoava,16,21
Batanga,20,31
Tonga (Tonga Islands),12,17
Chimila,16,36
Upper Guinea Crioulo,23,28
Yaminahua,14,22
Northern Conchucos Ancash Quechua,17,23
Gwandara,28,48
Maithili,34,42
Bila,19,33
Washo,26,32
Turkish,25,33
Gbaya-Bossangoa,31,43
Kumaoni,31,42
Nomaande,14,30
Anyin,17,36
Antakarinya,17,20
Tibetan,24,38
Krache,17,44
Waimaha,10,22
Karipuna Creole French,22,32
Mende (Sierra Leone),23,34
Sukuma,38,57
Maquiritari,12,26
Xipaya,14,23
Izi-Ezaa-Ikwo-Mgbo,29,40
Sherbro,24,31
Nubi,30,35
Wiyot,24,29
Nobiin,33,45
Piaroa,23,30
Gamo-Gofa-Dawro,24,29
Brokskat,31,41
Bulgarian,37,49
Northern Frisian,23,42
Kokota,22,27
Zaiwa,21,32
Nivacle,22,28
Hoti,21,35
Hanga,23,29
Mezquital Otomi,42,58
Thavung,20,47
Southern Samo,18,26
Lukpa,17,37
Tzeltal,22,28
Secoya,12,18
Tiv,31,40
Alladian,25,36
Shuar,13,21
Lese,29,42
Achagua,19,29
Cavinena,20,24
Galibi Carib,16,22
Kashmiri,27,56
Alyawarr,25,32
Bassa,22,36
Tumtum,39,55
Russian,33,38
Galibi Carib,16,28
Tonga (Zambia),33,41
Ukrainian,24,30
Tapirape,13,23
Mamara Senoufo,29,50
Vame,38,46
Tiwi,22,26
Hupda,20,29
San Martin Quechua,15,18
Siar-Lak,15,22
Apiaka,12,22
Pulaar,28,38
Chechen,32,44
Amahuaca,14,22
Kuranko,26,54
Nyamwezi,36,53
Pular,28,38
Siwu,20,37
Ngarinman,17,23
Kambaata,49,59
Mofu-Gudur,35,40
Inor,40,47
Me'en,26,40
Gidar,28,38
Denya,22,30
Eastern Low German,23,37
Marwari (India),36,46
Yanesha',23,29
Baniwa do Icana,18,26
Tatuyo,11,17
Lengola,24,32
Yue Chinese,22,32
Lithuanian,36,47
Emai-Iuleha-Ora,27,48
Central Moroccan Berber,36,39
Western Karaboro,20,45
Dibole,21,31
Loma (Liberia),28,42
Biak,14,19
Yoruba,18,32
Kafa,22,27
Gadsup,9,19
Nez Perce,26,36
Barain,31,44
Gen,25,40
Kakua,21,26
Yil,12,23
Saurashtra,32,42
Chamorro,30,36
German,22,41
Tamnim Citak,11,17
Mam,33,43
Yoruba,18,29
Paraguayan Guarani,24,36
Nivkh,34,44
Bena (Tanzania),22,34
Huambisa,15,23
Nepali Kurux,34,39
Abidji,21,39
Abua,27,40
Fuliiru,25,35
Southern Mfumte,74,89
Luiseno,23,34
Sayula Popoluca,19,25
Romanian,22,31
Eastern Bolivian Guarani,12,24
Tsou,15,21
Adamawa Fulfulde,27,36
Pwo Northern Karen,25,37
Kinnauri,31,46
Gaviao Do Jiparana,19,29
Sanuma,11,24
Hupda,19,34
Hokkaido Ainu,12,17
Ahanta,24,40
Mapudungun,20,26
Chibcha,16,22
Totela,44,54
Towa,39,61
Mal,17,41
Tetum,13,18
Ngangam,22,39
Wintu,30,35
Anfillo,38,48
Tiwi,14,18
Wubuy,19,24
Dar Fur Daju,24,30
Kistane,34,41
Giryama,40,47
Pichi,21,30
Northern Bobo Madare,21,37
Duruma,42,49
Bafut,21,49
Sursurunga,15,21
Gbagyi,20,26
Banda-Ndele,33,46
Brahui,24,33
Navajo,31,47
Choctaw,15,21
Chiripa,17,29
Sharanahua,15,23
Ebang,27,34
Sindhi,41,61
Juma,12,24
Loko,18,25
Waimiri-Atroari,16,27
Ava-Canoeiro,12,24
Gwandara,35,64
Ejagham,21,32
Luo (Kenya and Tanzania),26,38
Tagalog,18,23
Kenswei Nsei,55,65
Timne,17,25
Sango,26,37
Lamnso',26,45
Daba,36,47
Nawdm,21,35
North Junin Quechua,19,25
Southeast Ijo,24,44
Tzeltal,25,30
Pacoh,18,33
Chacobo,17,21
Eten,63,74
Phalura,30,40
Brokskat,41,56
Lusi,16,21
Huarijio,12,26
Buginese,19,25
Tuyuca,11,23
Nigerian Pidgin,23,32
Yabarana,11,18
Ewondo,26,34
Northern Kissi,22,42
Aewa,17,27
Ngas,32,43
Ashe,24,36
Kiowa,22,42
Buwal,38,43
Kabardian,49,56
Cofan,30,35
Tohono O'odham,19,24
Tunica,18,25
Kanoe,12,26
