language,consonants,phonemes
Mising-Padam-Miri-Minyong,34,43
Abidji,21,38
Eastern Bolivian Guarani,12,24
Northern Tosk Albanian,28,35
Ticuna,18,38
Jicarilla Apache,34,56
Timne,17,30
Achinese,21,55
Mende (Sierra Leone),23,34
Mullukmulluk,14,19
Otoro,30,44
Siwi,26,38
Japanese,27,40
Akoose,22,44
Kunza,23,33
Bakairi,17,29
Awa-Cuaiquer,14,21
Karok,27,41
Kaxarari,15,20
Igbo,46,65
Tolowa-Chetco,29,44
Cherokee,11,17
Khezha Naga,42,50
Cocama-Cocamilla,11,16
Aghem,25,35
Bench,46,56
Karo (Brazil),14,27
Medumba,16,25
Mba,24,31
Northern Bobo Madare,20,40
Pemon,10,17
Toba,21,28
Itbayat,19,23
Koryak,16,21
Resigaro,30,35
Awngi,30,39
Aewa,17,27
Tilquiapan Zapotec,22,30
Luwo,19,32
Naki,36,44
Murui Huitoto,14,20
Mapudungun,20,26
Paraujano,13,25
Awiyaana,11,20
Manchu,18,25
Washo,26,32
South Bolivian Quechua,31,36
Min Dong Chinese,14,21
Tese,24,47
Ngazidja Comorian,41,48
Tamnim Citak,14,19
Atayal,19,26
Dieri,22,25
Bafanji,26,59
Namia,9,15
Moseten-Chimane,26,38
Tikar,27,46
Ignaciano,21,25
Tabasco Chontal,25,37
Plateau Malagasy,21,25
Javanese,21,29
Nyambo,20,33
Muna,28,33
Mbya Guarani,14,26
Anyin,21,39
Mpade,30,40
Piapoco,15,19
Igo,23,33
Luiseno,23,34
Barasana-Eduria,11,17
Marathi,42,55
Fuliiru,25,35
Eastern Oromo,48,60
Northern Khmer,24,43
Qawasqar,16,19
Nobiin,16,21
Bomitaba,16,28
Bangolan,27,40
Suba-Simbiti,23,39
Tsafiki,16,25
Masalit,31,45
Kuwaataay,20,34
Siona-Tetete,18,30
Tz'utujil,25,35
Karo (Brazil),14,25
Iloko,17,23
Irula,31,52
Ma'di,24,38
Bafaw-Balong,27,47
Kurukh,21,32
Belanda Viri,28,43
Siwu,20,37
Gweno,24,29
Tuvinian,20,29
Halh Mongolian,21,35
Mada (Nigeria),23,41
Ligbi,22,38
Nuer,20,48
Southern-Coastal Tsimshian,38,41
Kambaata,49,59
Kanoe,12,26
Yareba,13,18
Burushaski,38,43
Anii,23,36
Kemezung,20,34
Ese Ejja,18,22
Tunica,17,24
Central Kanuri,23,29
Kwasio,46,54
Mato Grosso Arara,19,33
Sa'ban,38,46
Ebira,19,31
Iu Mien,33,41
Gidar,28,38
Bare,19,23
Eastern Pahari,35,47
West Coast Bajau,17,23
Moloko,31,47
Gwandara,28,46
Kamwe,26,35
Lu,22,31
Koorete,51,61
Bukusu,20,30
Hawaiian,8,13
Zulu,35,43
Batak Karo,16,21
Vai,28,43
Avar,44,49
Nyang'i,18,25
Kabardian,49,56
Tapirape,13,23
Chepang,18,24
Archi,81,91
Tupuri,28,56
Saamia,20,34
Suya,15,31
Yue Chinese,20,25
Mazanderani,22,29
Abau,9,14
Sebat Bet Gurage,33,39
Vanimo,12,28
Georgian,28,34
Yemba,21,35
Nganasan,20,29
Mundari,32,37
Sumbwa,20,32
Xeta,13,24
Ga,29,41
Ditammari,17,32
Zuni,44,54
Tshangla,32,37
Vaagri Booli,23,37
Abua,27,40
Lambadi,30,48
Korean,21,32
Chuvash,21,30
Polish,31,37
Bafut,21,49
Kagulu,26,31
Mundu,29,41
Zande,19,35
Central Aymara,28,31
Caddo,20,23
Adioukrou,21,32
Tucano,15,27
Gbaya-Mbodomo,28,37
Epena,17,38
Munduruku,17,39
Gwandara,28,48
Trio,10,24
Yana,22,30
K'iche',22,32
Cross River Mbembe,28,37
Xerente,13,27
Sanuma,11,24
Tsou,15,21
Au,10,17
Nobiin,33,45
Kakabe,22,38
Minica Huitoto,18,24
Choctaw,15,21
Tenetehara,14,21
Jebero,19,23
Tunia,24,40
Yugambeh-Bandjalang,12,16
Bafia,27,51
Northern Yukaghir,20,26
Mandinka,19,34
Swedish,18,35
Ava-Canoeiro,12,24
Eastern Ojibwa,16,27
Selee,18,33
Kwami,28,40
Yanomami,12,33
Garrwan,19,22
Chacobo,16,20
Mossi,17,43
Sebat Bet Gurage,34,42
Ofaye,14,24
Irula,23,30
