language,consonants,phonemes
Seimat,11,28
Peve,30,38
Chaudangsi,34,42
Nzima,24,40
Northern Dagara,29,41
Logba,25,35
Wangaaybuwan-Ngiyambaa,15,18
Chacobo,16,20
Wawa,30,49
Mawa (Chad),24,33
Palauan,10,22
Halh Mongolian,21,35
Lao,28,40
Alyawarr,25,32
Cubeo,11,23
Wichi Lhamtes Nocten,23,28
Lak,60,69
Gaam,24,33
Toaripi,8,14
Dimli,30,44
Burmese,33,46
Nepali Kurux,34,39
Krim,22,38
Dizin,24,30
Muyang,27,46
Guaja,12,24
Akan,21,35
Anyin,21,39
Kutep,28,46
Kangri,29,41
Lelemi,22,34
Xhosa,75,84
Maca,22,32
Jinghpaw,25,30
Timne,17,30
Northern Grebo,19,36
Hupda,19,34
Matses,15,21
Chepang,18,24
Morisyen,21,30
Woun Meu,19,33
Warao,11,21
Toba,21,28
Jamamadi,12,16
Aikana,15,25
Soqotri,28,34
Tolowa-Chetco,26,31
Irantxe-Munku,21,39
Yameo,10,18
Amo,25,35
Western Cham,21,32
Ga,32,47
Dyirbal,13,16
Godie,26,42
Ese Ejja,17,21
Trumai,18,24
Abure,20,36
Karang,30,40
Kunjen,23,28
Mapudungun,22,28
Arikapu,11,25
Juruna,18,28
Irula,23,30
Gwandara,28,46
Marghi Central,36,44
Ashaninka,17,21
Nonuya,20,26
Kakua,12,22
Galibi Carib,11,17
Anyin Morofo,21,37
Kxoe,95,120
Wayana,9,16
Tumtum,39,55
Pokoot,17,39
Wubuy,19,23
Soninke,28,50
Samo,12,18
Cocama-Cocamilla,11,16
Ngomba,19,27
Kuruaya,18,28
Mampruli,24,36
Buwal,38,43
Natugu (Retired),30,47
Biak,14,19
Torwali,38,51
Tahaggart Tamahaq,25,37
Sissala of Burkina Faso,24,42
Wolof,26,40
Ngandyera,30,37
Resigaro,30,35
Sentani,10,17
Me'en,26,40
Central Pashto,31,38
Totela,44,54
Cebaara Senoufo,22,38
Northern Lushootseed,33,37
Anyin,17,36
Ngombale,37,59
Sedang,41,55
Lingala,15,22
Malayalam,30,43
Surui,19,29
Igbo,28,36
Ninam,12,18
Bench,46,56
Idoma,47,75
Moken,22,32
Tiv,31,40
Angami Naga,37,43
Fuliiru,24,36
Inor,40,47
Sindhi,41,61
Lakota,28,36
Western Niger Fulfulde,27,32
Apiaka,12,22
Mocovi,23,31
Katcha-Kadugli-Miri,23,32
Paraujano,13,25
Tuki,25,39
Abipon,13,23
Kamba (Kenya),13,31
Bulu (Cameroon),24,36
Adang,18,40
Adioukrou,21,31
Seneca,11,27
Chipewyan,39,61
Car Nicobarese,16,25
Indonesian Bajau,26,32
Northern Nuni,21,54
Maxakali,10,20
Chukchi,15,22
Maay,22,32
Yagua,11,23
Lambadi,24,34
Mocovi,21,29
Iyive,53,64
Mabaan,19,45
Libyan Arabic,34,50
Ignaciano,21,25
Alawa,22,26
Igbo,46,65
Zuni,44,54
Awadhi,37,45
Panara,11,26
Krio,25,35
Tampulma,24,33
Northern Yukaghir,20,26
Nomatsiguenga,16,25
Baniwa do Icana,25,37
Yine,16,26
Tieyaxo Bozo,19,36
Kunyi,44,55
Kabardian,49,56
Ingush,35,48
Bade,33,46
Ngoshie,26,34
Fulnio,21,33
Paez,29,39
Western Farsi,24,30
Tigak,12,17
Bariai,12,17
Jumjum,20,39
Koryak,16,21
Sebat Bet Gurage,35,42
Galibi Carib,16,22
Ngangam,22,39
Yuracare,18,25
Guerrero Amuzgo,25,37
Southern Tiwa,26,41
Tz'utujil,25,35
Lambadi,30,48
Even,18,36
Kokota,22,27
Kadiweu,23,31
Garrwan,19,22
Tariana,23,38
Acoli,17,29
Mbe',48,57
Ayoreo,20,30
Hiligaynon,20,25
Nuer,20,48
Western Maninkakan,20,27
Cha'palaa,23,27
Wiyot,24,29
Vanimo,12,28
Ntomba,23,30
Romanian,22,32
Kita Maninkakan,19,33
Central Pashto,31,38
Tundra Nenets,26,34
Abidji,21,38
Malayo,20,27
Chickasaw,16,25
Southern Ma'di,47,59
Ese Ejja,18,22
Zimbabwean Ndebele,61,68
Pech,18,28
Tarok,27,37
Kwaza,29,45
Jamsay Dogon,37,60
