language,consonants,phonemes
Gikyode,29,51
Yagua,11,23
Telugu,32,43
Senara Senoufo,19,51
Juang,24,36
Satere-Mawe,12,27
Maijiki,14,20
Reel,20,63
Ambele,38,51
Wolof,26,40
Nyam,39,56
Kaingang,11,16
Aghem,25,35
Tarok,26,32
Mochi,20,25
Epena,17,31
Biloxi,12,20
Lango (Uganda),18,40
Dhuwal,20,23
Saxwe Gbe,24,38
Araona,19,23
Sauria Paharia,24,34
Bakairi,17,29
Pacoh,18,33
Lango (Sudan),16,32
Bassa,22,36
Krio,22,32
Warao,11,16
Tamnim Citak,11,17
Kuot,13,19
Belize Kriol English,22,35
Qaqet,14,22
Jauja Wanca Quechua,16,22
Tsamai,56,68
Wamey,39,46
Puri,12,18
Sereer,33,43
Ngas,30,44
Juruna,18,28
Mundabli,22,38
Me'en,26,40
Arbore,49,59
Northern Tosk Albanian,28,35
Sao Paulo Kaingang,13,27
Tatuyo,11,17
Jennu Kurumba,26,33
Indonesian Bajau,26,32
San Mateo del Mar Huave,18,24
Northern Gyalrong,49,57
Ava-Canoeiro,12,24
Ocaina,26,35
Doyayo,22,48
Spokane,38,43
Bodo Gadaba,21,40
Gaviao Do Jiparana,19,29
Trio,10,24
Candoshi-Shapra,21,27
Lunda,22,32
Ngarinyin,18,24
Northern Lushootseed,33,37
South Bolivian Quechua,31,36
Wari',15,21
Pichi,21,30
Yala,28,38
Beja,21,26
Kwangali,22,27
Dafla,15,24
Waimaha,10,22
Chamicuro,19,29
Western Farsi,24,30
Karipuna Creole French,22,32
Munduruku,17,39
Tiagbamrin Aizi,24,32
Usarufa,17,22
Ofaye,14,24
English,27,40
Fang (Equatorial Guinea),25,41
Muniche,22,27
Yanesha',23,29
Wu Chinese,25,34
Kashmiri,27,55
Amele,15,20
Central Dagaare,24,54
Fang (Cameroon),23,36
Lakota Dida,27,57
Yapese,28,44
Ibani,25,38
Huamalies-Dos de Mayo Huanuco Quechua,21,31
Chickasaw,16,25
Awutu,30,50
West Makian,17,23
Yugambeh-Bandjalang,12,16
Nupe-Nupe-Tako,25,38
Kirike,24,36
Piraha,8,11
Jauja Wanca Quechua,22,27
Tok Pisin,15,27
Otuho,33,56
Baba,23,30
Chukchi,15,22
Ningil,14,21
Ndamba,19,24
Kipsigis,14,37
Lu,22,31
Aikana,22,32
Slovenian,21,37
Baniva de Maroa,17,25
Chaudangsi,34,42
Berom,22,29
Mann,22,39
Kuvi,28,47
Kirghiz,22,30
Iraqw,33,48
Igbo,28,36
Siriono,18,28
Shuar,13,21
Lao,28,40
Gwandara,32,52
Kunza,23,33
Koryak,16,21
Befang,43,59
Isebe,9,23
Dime,53,73
Tiwi,14,18
Tedim Chin,21,26
Huba,24,31
Wayuu,28,46
Yuki,24,30
Western Karaboro,20,45
Tuki,25,39
Kela (Papua New Guinea),16,30
Kuy,22,47
Tem,25,36
Dadibi,13,23
Ignaciano,21,25
Bardi,17,24
Konkani,19,37
Bororo,15,22
Acheron,18,38
Ife,19,34
Duala,21,33
South-Eastern Ju,95,141
Ngas,24,36
Kuanyama,26,33
Prai,17,35
Northeastern Dinka,19,32
Siona-Tetete,18,30
Kunimaipa,15,20
Uru,23,33
Resigaro,32,37
Nimboran,12,18
Baangi,28,56
Waama,13,41
Guaja,12,24
Jaunsari,34,51
Morisyen,21,30
Chonyi-Dzihana-Kauma,40,47
Tunia,24,40
Sanskrit,37,45
Navajo,36,54
Nivacle,22,28
Kashmiri,28,56
Nankina,14,20
Pemon,10,21
Karaja,9,24
Bade,33,46
Kotiria,16,28
Grass Koiari,11,16
Chacobo,17,21
Omagua,13,18
Russian,33,38
Ngiemboon,19,30
Yine,16,26
Burushaski,38,53
Mofu-Gudur,35,44
Mwali Comorian,19,24
Southeast Ijo,24,44
Murle,20,34
San Miguel El Grande Mixtec,15,25
Afitti,17,26
Wik-Mungkan,13,23
Mapudungun,20,26
Kofyar,23,36
Maxakali,10,20
Yanomamo,12,33
Masalit,31,45
Desano,12,18
Rio Grande Tewa,34,57
Mambai,26,54
Manipuri,25,33
Zuni,44,54
Modern Hebrew,24,30
Kahe,22,32
Trumai,18,24
Yameo,10,18
Waorani,12,32
Koyraboro Senni Songhai,15,24
Taushiro,12,17
Cherokee,11,17
Northern Haida,47,50
