language,consonants,phonemes
S'gaw Karen,27,36
Me'en,26,40
Rikbaktsa,14,28
Wahgi,17,23
Antakarinya,17,20
Kwambi,29,37
Eastern Low German,23,37
Irula,31,52
Desano,12,18
Bashkir,27,38
Papantla Totonac,16,22
Kalabari,22,43
Bissa,23,41
Southern Bobo Madare,19,38
Eastern Tamang,19,29
Kalkutung,20,23
Tarok,27,37
Cofan,27,37
Bamunka,23,32
Tulu,23,35
Border Kuna,19,24
Nuer,20,48
Chiquihuitlan Mazatec,25,33
Southern Nambikuara,25,43
Dan,19,39
Ulwa,22,28
Luchazi,32,42
Carapana,11,23
Dahalo,54,59
Jauja Wanca Quechua,16,22
Mmen,27,41
Marghi Central,36,44
Tamnim Citak,11,17
Navajo,36,54
Plateau Malagasy,31,36
Wambon,16,26
Koyra Chiini Songhay,23,43
Limbum,23,33
Wan,21,36
Vute,30,59
Gade Lohar,31,50
Nivkh,28,35
Khezha Naga,42,50
Molale,23,30
Para Gaviao,11,21
Sipacapense,22,32
Mbe',48,57
Beembe,19,41
Southern Sama,17,23
Tonga (Zambia),33,41
Ma'di,24,38
Ida'an,17,23
Taushiro,12,17
Barasana-Eduria,11,17
Chiquitano,14,26
Nomaande,14,30
Sedang,41,55
Koyraboro Senni Songhai,15,24
Khmu,23,41
Chukchi,15,22
Ginyanga,31,53
Iaai,36,52
Pichis Asheninka,22,30
Ache (Tupian),22,34
Tanimuca-Retuara,11,21
Shawi,14,18
Jaqaru,36,42
Fijian,19,30
Trumai,23,29
Gata',24,38
Gujari,35,54
Zimbabwean Ndebele,61,68
Eyak,32,45
Kannada,36,47
Maung,19,24
Cocama-Cocamilla,11,16
Nez Perce,26,36
Alaba-K'abeena,52,62
Kuot,13,19
Adioukrou,21,31
Achuar-Shiwiar,15,27
Angami Naga,37,43
Kwak'wala,42,48
Sakha,33,49
Nyeu,20,40
South Bolivian Quechua,32,37
Matses,15,21
Barain,32,44
Baoule,21,37
Lega-Shabunda,18,38
Dzuungoo,26,55
Dan,20,48
Japreria,12,24
Sereer,33,43
Baka (Cameroon),25,38
Buol,17,23
Min Nan Chinese,19,25
Machame,33,46
Nuer,20,48
Bamenyam,39,50
Northern Embera,20,32
Soo,18,28
Awara,19,25
Trio,10,24
Jaunsari,34,51
Sango,26,42
Tulu,24,37
Baga Koga,17,25
Oroko,22,29
Zande,19,35
Armenian,30,36
Dutch,24,39
Gavar,47,55
Mundari,32,37
Bafaw-Balong,27,47
Ngambay,18,34
Nootka,37,47
Alabama,14,17
Subiya,46,51
Popti',27,32
Breton,25,45
Latunde,12,28
Nugunu (Cameroon),24,35
Maithili,34,42
Temein,18,25
Tzeltal,25,30
Afrikaans,16,39
Glavda,34,43
Central Mazahua,45,60
Bekwarra,23,36
Kako,33,50
Hungarian,26,40
Javanese,22,30
A-Pucikwar,25,35
Lingala,15,22
Khasi,19,28
Aproumu Aizi,24,33
Markweeta,13,36
Mende (Sierra Leone),23,34
Boro (Ethiopia),16,25
Yamba,26,38
Norwegian Bokmal,22,46
Tawallammat Tamajaq,23,37
Lokono,16,21
Koyraboro Senni Songhai,23,37
Aweti,14,26
Southern Yukaghir,21,33
Kete,16,25
Sherbro,24,31
Inga,19,22
Esimbi,29,37
Tshangla,32,37
Tapirape,13,23
German,23,39
Achinese,21,55
Kipsigis,14,37
Italian,23,30
Yana,22,30
Tetum,14,19
Mundabli,22,38
Kambaata,49,59
Basa (Cameroon),29,41
Eastern Bolivian Guarani,12,24
Panobo,14,18
Anii,23,36
Jowulu,20,45
Obolo,22,37
Gamo-Gofa-Dawro,24,29
Kwama,20,25
Xingu Asurini,16,27
Murle,21,26
Wayuu,14,20
Kayapo,16,33
Papantla Totonac,20,26
Yagua,11,23
Apatani,24,37
Napo Lowland Quechua,20,23
Tehuelche,25,31
Tsou,15,21
Armenian,30,37
Koshin,23,37
Lumun,17,35
Chuave,12,17
Nankina,14,20
Harari,25,34
Komi-Zyrian,29,36
Njyem,20,42
Kwaio,16,21
Suba-Simbiti,23,39
Lower Grand Valley Dani,12,24
Diriku,23,28
Gamo-Gofa-Dawro,26,36
Central-Eastern Niger Fulfulde,27,37
Nanti,18,27
Tigre,26,33
Berom,24,31
Northern Toussian,16,35
Bole,28,38
Cavinena,20,24
Kayabi,14,26
Nyangumarta,20,27
Daloa Bete,24,37
Pampanga,17,22
Saya,39,54
Sebat Bet Gurage,33,39
Semelai,32,50
Sanuma,10,31
Hupa,28,35
Lavukaleve,15,20
Ormuri,25,31
Lango (Sudan),16,32
Sebat Bet Gurage,36,44
Murle,20,34
Mescalero-Chiricahua Apache,31,51
Emerillon,16,30
Komo (Sudan),23,31
Kraho,12,46
Alladian,25,36
Irula,23,30
Sa'ban,38,46
Finnish,17,25
Yeyi,77,90
Parecis,15,19
Dizin,24,30
Toba,20,28
Izere,27,39
Che,30,57
Bakaka,16,32
Modern Greek,21,26
Dagbani,23,29
Northern Bobo Madare,21,37
Capanahua,16,24
Ticuna,18,38
Toda,38,53
Dghwede,33,38
Cubeo,11,23
Straits Salish,35,40
Gadsup,9,19
Ngiemboon,17,28
Giryama,40,47
Mori Bawah,22,27
Kashmiri,27,55
Southern Birifor,25,52
Cogui,24,36
Basque,23,28
Dobu,19,24
Tohono O'odham,19,29
Central Aymara,28,31
Mokpwe,22,31
Savosavo,17,22
Anuak,19,47
Yanesha',23,26
Anyin Morofo,21,37
French,21,37
Cebuano,18,21
Irantxe-Munku,21,43
Portuguese,23,38
Tamil,32,43
Ewe,28,45
Baga Sitemu,18,26
Xeta,13,24
Northern Ngbandi,19,31
Kunjen,23,28
Naasioi,8,13
Angaataha,12,21
Batak Toba,16,21
Coeur d'Alene,40,48
South Bolivian Quechua,31,36
Lango (Uganda),18,40
North Alaskan Inupiatun,24,27
Ndonga,25,30
Northern Yukaghir,20,26
