language,consonants,phonemes
Yabarana,11,18
Fuliiru,24,36
Tuvinian,20,29
Northern Pomo,29,39
Amundava,14,26
Tenetehara,14,21
Hokkaido Ainu,12,17
Nobiin,33,45
Duruma,42,49
Kituba (Congo),17,22
Ngazidja Comorian,41,48
Koshin,23,37
Georgian,29,35
Digo,41,48
Southern Kiwai,12,19
Nootka,37,47
Daba,36,47
Avar,44,49
Usan,14,20
Konda-Dora,23,43
Mandarin Chinese,24,49
Hupa,35,42
Ngemba,29,40
Romanian,22,31
Aikana,22,32
Gbaya-Bossangoa,31,45
Itonama,19,25
Uru-Eu-Wau-Wau,14,26
Katcha-Kadugli-Miri,23,32
Didinga,36,58
Yanomami,12,33
Mwotlap,15,22
Marathi,42,55
Kafa,22,27
West Coast Bajau,17,23
Serrano,33,42
Boikin,17,25
Candoshi-Shapra,21,27
Otoro,30,44
Shasta,17,21
Bila,19,33
Nez Perce,26,36
Madi,45,54
Uri,16,24
Siwi,26,38
Kuy,22,47
Gwandara,28,48
Baka (Cameroon),25,35
Zande,24,32
Kagulu,26,31
Minica Huitoto,18,24
Spokane,38,43
Tiruray,16,22
Chacobo,16,20
Burushaski,38,43
Tolowa-Chetco,26,31
Central Khmer,21,42
Ngombale,37,59
Gaam,24,33
Maranunggu,19,24
Cupeno,27,38
Antakarinya,17,20
Suya,15,31
Cha'palaa,24,28
Kayapo,16,33
Copainala Zoque,26,32
Lokono,16,21
Mewati,30,50
Chuave,12,17
Ngarinman,17,23
Navajo,36,54
Wobe-We Northern,15,48
Iu Mien,33,41
Befang,43,59
Tsafiki,16,26
Ngiemboon,17,28
Sochiapam Chinantec,18,39
Copainala Zoque,20,26
Zo'e,14,26
Sui,47,54
Koryak,16,21
Cha'palaa,23,27
Somali,30,52
Huambisa,15,23
Dzuungoo,26,55
Kuot,13,19
Southeast Ijo,24,44
Tatuyo,11,17
German,22,41
Mapudungun,20,26
Ternate,20,25
Wapishana,17,25
Kimaragang,18,23
Cashibo-Cacataibo,15,21
Southern Sama,17,23
Tangkhul Naga,27,40
Kharia,31,45
Akoose,18,32
Gen,27,44
Kwak'wala,46,55
Southeastern Kolami,36,46
Yanomamo,12,33
Savara,19,30
Araona,19,23
Awing,39,56
Saya,39,54
Muinane,22,28
Abure,20,36
Saotomense,19,32
Central Tunebo,14,19
Blang,24,40
Kharia,31,36
Jaqaru,36,42
Matses,15,21
Lakota Dida,27,57
Kupang Malay,19,25
Dera (Nigeria),24,35
Marghi Central,36,44
Dghwede,33,38
Gbari,24,31
South Nuaulu,12,17
Acatepec Me'phaa,20,30
Michoacan Nahuatl,20,25
Adamawa Fulfulde,29,39
Ewondo,15,25
Maung,19,24
Japreria,12,24
Cerma,21,46
Tamil,32,43
Sanuma,10,31
Central Mazahua,45,63
Northern Paiute,14,24
Kotiria,16,28
Yerukula,20,38
Haka Chin,45,52
Umotina,12,20
Wawa,30,49
Dieri,22,25
Chuvash,30,39
Marghi Central,30,34
Dompo,22,31
Jaunsari,34,51
Pacoh,18,33
Waorani,11,21
Biak,14,19
Qawasqar,18,24
Nimboran,12,18
Leh-Kenhat,37,45
Kashmiri,28,56
Kurukh,46,68
Nigerian Fulfulde,28,38
Sayula Popoluca,19,25
Furu,31,41
Waimaha,10,22
Yessan-Mayo,16,20
Apiaka,12,22
Central Pashto,31,38
Basque,23,28
Obolo,22,37
Tupinamba,13,25
Nugunu (Cameroon),15,26
Babanki,26,33
Puinave,8,19
Tsamai,56,68
Omagua,13,18
Yugambeh-Bandjalang,12,16
Hanga Hundi,16,23
Xerente,13,27
Catalan,27,39
Mann,22,39
Southeastern Pomo,27,32
Izi-Ezaa-Ikwo-Mgbo,27,38
Ngalakan,17,26
Langi,32,52
Baniwa do Icana,25,37
Kekchi,21,26
Kota (India),26,41
Soninke,34,52
Nomatsiguenga,16,25
Oko-Eni-Osayen,18,30
Yuracare,18,25
Puri,12,18
Wubuy,19,24
Javanese,21,29
Nzima,24,40
Kwoma,24,31
Sango,26,44
Gwandara,43,65
Lunda,22,32
Bribri,18,27
Batanga,20,31
Mudhili Gadaba,19,31
Malayalam,30,43
Haya,19,29
Indonesian,23,31
Urarina,16,21
Selkup,18,34
Lisu,25,39
Aklanon,17,20
Gikyode,29,51
