Gender,Age,AgeGroup,Education,City,SubjectCode,Score,GivenScore,Stimulus,Prefix,WordType,CorpusFrequency
male,16,child,school,Izhevsk,AC,A,5,utochnit,u,standard,2860
male,16,child,school,Izhevsk,AC,A,5,ozhestochit,o,standard,686
male,16,child,school,Izhevsk,AC,E,1,ovneshnit,o,marginal,4
male,16,child,school,Izhevsk,AC,E,1,oblusit,o,nonce,0
male,16,child,school,Izhevsk,AC,B,4,osvezhit,o,standard,280
male,16,child,school,Izhevsk,AC,A,5,oschastlivit,o,standard,343
male,16,child,school,Izhevsk,AC,E,1,udamlit,u,nonce,0
male,16,child,school,Izhevsk,AC,E,1,uvkusnit,u,marginal,1
male,16,child,school,Izhevsk,AC,D,2,utulit,u,nonce,0
male,16,child,school,Izhevsk,AC,A,5,objasnit,o,standard,18149
male,16,child,school,Izhevsk,AC,E,1,obmomlit,o,nonce,0
male,16,child,school,Izhevsk,AC,D,2,orzhavit,o,marginal,2
male,16,child,school,Izhevsk,AC,E,1,ochavit,o,nonce,0
male,16,child,school,Izhevsk,AC,C,3,omezhdunarodit,o,marginal,1
male,16,child,school,Izhevsk,AC,D,2,onomit,o,nonce,0
male,16,child,school,Izhevsk,AC,A,5,oblegchit,o,standard,1802
male,16,child,school,Izhevsk,AC,C,3,udorozhit,u,marginal,8
male,16,child,school,Izhevsk,AC,E,1,ukampit,u,nonce,0
male,16,child,school,Izhevsk,AC,A,5,oslozhnit,o,standard,410
male,16,child,school,Izhevsk,AC,D,2,omuzykalit,o,marginal,4
male,16,child,school,Izhevsk,AC,E,1,umarvit,u,nonce,0
male,16,child,school,Izhevsk,AC,A,5,okruglit,o,standard,939
male,16,child,school,Izhevsk,AC,C,3,umedlit,u,marginal,1
male,16,child,school,Izhevsk,AC,A,5,uluchshit,u,standard,1899
male,16,child,school,Izhevsk,AC,A,5,uslozhnit,u,standard,311
male,16,child,school,Izhevsk,AC,E,1,okochlit,o,nonce,0
male,16,child,school,Izhevsk,AC,D,2,ukrasivit,u,marginal,1
male,16,child,school,Izhevsk,AC,E,1,uloprit,u,nonce,0
male,16,child,school,Izhevsk,AC,D,2,obytovit,o,marginal,3
male,16,child,school,Izhevsk,AC,A,5,uplotnit,u,standard,201
male,16,child,school,Izhevsk,AC,D,2,unokrit,u,nonce,0
male,16,child,school,Izhevsk,AC,D,2,oprilichit,o,marginal,1
male,16,child,school,Izhevsk,AC,D,2,userjeznit,u,marginal,1
male,16,child,school,Izhevsk,AC,A,5,umenshit,u,standard,2010
male,16,child,school,Izhevsk,AC,E,1,oduktit,o,nonce,0
male,16,child,school,Izhevsk,AC,A,5,obogatit,o,standard,800
male,16,child,school,Izhevsk,AC,E,1,uguzvit,u,nonce,0
male,16,child,school,Izhevsk,AC,C,3,opoxabit,o,marginal,1
male,16,child,school,Izhevsk,AC,A,5,uteplit,u,standard,205
male,16,child,school,Izhevsk,AC,C,3,oserjeznit,o,marginal,1
male,16,child,school,Izhevsk,AC,E,1,ushadrit,u,nonce,0
