language,consonants,phonemes
Kayabi,14,26
Finnish,25,42
Mapoyo,12,19
Ejagham,21,32
Piraha,8,11
Chrau,20,33
Irish,44,68
Burushaski,38,53
Western Highland Chatino,16,25
Southern Kiwai,12,19
Nizaa,58,90
Curripaco,25,29
Yuchi,38,49
Gavar,47,55
Akawaio,10,21
Mori Bawah,22,27
Surui,19,29
Nivkh,34,44
Tunen (Retired),17,26
Chiquihuitlan Mazatec,26,38
Alladian,25,36
Northern Conchucos Ancash Quechua,17,23
Achinese,21,55
Fang (Equatorial Guinea),25,41
Korubo,14,20
Archi,81,91
Southern Bobo Madare,19,38
Western Bru,20,42
Naasioi,8,13
Yalunka,19,33
Dafla,15,24
Skou,13,23
Ashaninka,17,21
Sentani,10,17
Kunza,23,33
Hupda,20,29
Vai,28,43
Lele (Chad),23,36
Xhosa,75,84
Sango,26,42
Tunica,17,24
Shuar,16,24
Bodo (India),15,21
Maria (India),22,39
Manipuri,25,33
Akurio,10,24
Samba Leko,22,34
Fwai,19,35
Lak,60,69
Gwandara,32,52
Waorani,11,21
Pengo,22,32
Tenetehara,14,21
Filipino,17,27
Bullom So,22,36
Inapari,13,31
Wari',15,21
Kamang,16,28
Burun,19,38
Car Nicobarese,16,25
Kuot,13,19
Moken,22,32
Hawaiian,8,13
Barbareno,38,44
Cusco Quechua,26,31
Coastal-Naga Bikol,23,28
Amahuaca,14,22
East Makian,32,37
Ngangam,22,39
Western Xwla Gbe,29,45
Kangri,29,41
Iban,19,25
Bakaka,15,31
Palauan,10,22
Bassossi,20,34
Swahili,32,37
Ingush,35,48
Aikana,22,32
Mokpwe,22,31
Poyanawa,14,21
Kunjen,23,28
Ndai,32,57
Xipaya,14,23
Mbuko,34,45
Selk'nam,21,29
Mal,17,41
Cavinena,20,24
Coeur d'Alene,40,48
Dagbani,24,37
Semelai,32,50
Cofan,30,35
Makasar,18,23
Nez Perce,26,36
Xerente,13,27
Otoro,30,44
Northern Dagara,29,41
Gikyode,29,51
Suya,15,31
Ewe,27,42
Secoya,12,18
Zuni,20,25
Huarijio,12,26
Arandai,13,18
Huastec,21,26
Bouna Kulango,27,46
Fasu,11,21
Aleut,24,27
Arhuaco,16,32
Nukak Maku,12,24
Panara,11,26
Kahe,22,32
Bora,17,31
Mbe,26,37
Sukuma,38,57
Mizo,33,39
Amahuaca,15,23
Tupuri,28,56
S'gaw Karen,27,39
Gata',24,38
Apurina,14,34
Wayampi,14,25
Koyaga,29,43
Otuho,33,56
Chickasaw,16,25
Nugunu (Cameroon),15,26
Fipa,20,35
Yameo,10,18
Duruma,40,47
Northern Puebla Nahuatl,16,20
Cocama-Cocamilla,11,16
Wolof,26,40
Kunimaipa,15,20
Yala,28,38
Gbesi Gbe,31,47
Jamamadi,11,15
Ngandyera,30,37
Ogbia,24,34
Moroccan Arabic,74,78
Acoli,17,29
Mungbam,24,36
Gbaya-Bossangoa,29,45
Nanai,18,24
Glavda,34,43
Apalai,12,24
Karitiana,11,31
Akuntsu,11,22
Akaselem,20,52
Javanese,22,30
Nkonya-Nkami,20,34
Ulwa,22,28
Northern Ngbandi,19,31
Bhili,35,62
Trumai,18,24
Karipuna Creole French,22,32
Bimoba,22,44
Swahili,31,36
Mbay,22,44
Southern Nambikuara,13,31
Puinave,8,19
Wapishana,17,25
Puri,12,18
Kunama,19,26
Sebat Bet Gurage,35,42
Mapudungun,22,28
Koreguaje,18,30
Kemezung,20,34
Eloyi,41,51
Sindhi,41,61
Shasta,17,21
South-Eastern Ju,95,141
Imbabura Highland Quichua,17,20
Kistane,34,41
Mwotlap,15,22
Mamara Senoufo,29,50
Moklen,19,46
Dizin,24,30
Yuchi,38,64
Isoko,28,37
Central Aymara,36,42
Even,18,36
Northern Yukaghir,20,26
Nomaande,14,30
Savosavo,17,22
Bum,37,47
Ucayali-Yurua Asheninka,24,32
Angolar,22,36
Ningil,14,21
Eastern Bolivian Guarani,12,24
Yawanawa,15,19
Paraguayan Guarani,24,36
Buwal,38,43
Ngarinyin,18,24
Tepo Krumen,17,39
Denya,22,30
Kashmiri,28,56
Marwari (India),36,46
Legbo,38,53
Dazaga,21,32
Northern Uzbek,24,30
Resigaro,32,37
