language,consonants,phonemes
Aleut,24,27
Kalabari,22,43
Cross River Mbembe,28,37
Kayabi,14,24
Zande,19,35
Ekari,10,15
Itonama,19,25
Movima,18,23
Xingu Asurini,16,27
Dafla,15,24
Akan,22,40
Zande,24,32
Akha,28,41
Pemon,10,21
Piraha,8,11
Ofaye,14,24
Seneca,11,19
Mundari,21,39
Afitti,17,26
Kuot,13,19
Fasu,11,21
Akan,28,60
Wichita,21,29
Duruma,42,49
Ayoreo,20,30
Yagaria,14,23
Saraiki,48,83
Shasta,17,21
Darma,34,42
Sabane,13,18
Machame,33,46
Nganasan,20,29
Tagwana Senoufo,23,45
Mada (Nigeria),23,41
Northern Yukaghir,20,26
Silt'e,46,56
Lithuanian,36,47
Cuvok,27,29
Kwak'wala,46,55
Tasomi-Tata,14,21
Kwaza,29,45
West Central Banda,31,46
Pinyin,42,66
Copainala Zoque,20,26
Jebero,19,23
Degema,24,36
Burji,26,36
Tiruray,16,22
Kaingang,11,16
Guambiano,18,24
Haka Chin,45,52
Hausa,31,38
Wu Chinese,25,34
Siriono,18,30
Portuguese,23,38
Tsafiki,16,26
Andoque,11,26
Russian,33,38
Wari',14,20
Duruwa,21,31
Southeastern Pomo,27,38
Achumawi,17,23
Arbore,49,59
Bakoko,26,33
Mofu-Gudur,35,40
Mbukushu,22,29
Yawanawa,14,18
Klamath-Modoc,33,37
Tiwi,14,18
Siriano,11,23
Panoan Katukina,15,19
Tunica,18,25
Torwali,38,51
Anyin,21,39
Mesqan,34,41
Soninke,34,52
Ese Ejja,17,21
Resigaro,32,37
Kabardian,49,56
Japanese,27,40
French,21,37
Seimat,11,28
Curripaco,25,29
Mochi,20,25
Aja (Benin),23,37
Angaataha,12,21
Chiquihuitlan Mazatec,26,38
Central Mazahua,45,63
Urdu,35,54
Xwela Gbe,29,45
Cameroon Mambila,24,40
Chamorro,20,26
Petats,15,30
Mono (Cameroon),35,62
Epena,17,31
Tacana,18,22
South Bolivian Quechua,32,37
Nama (Namibia),19,33
Bouyei,23,34
Burmese,34,50
Lusi,16,21
Kwaya,17,29
Molale,23,30
Bila,19,33
Southern Sierra Miwok,15,21
Qaqet,14,22
Kayabi,14,26
Angami Naga,37,43
Bakaka,16,32
Nizaa,58,90
Izon,19,37
Ningil,14,21
Ayacucho Quechua,14,17
Kumaoni,31,42
Waris,13,22
Lake Miwok,29,39
Grass Koiari,11,16
Southern-Coastal Tsimshian,38,41
Sherbro,24,31
Banda Malay,18,23
Buginese,19,25
Bangolan,27,40
Mampruli,24,36
Sinhala,22,36
Jowulu,20,45
Golin,13,23
Mundu,29,41
Gourmanchema,20,33
Tehuelche,25,31
Ngas,24,36
Mundabli,22,38
Karipuna Creole French,22,32
San Mateo del Mar Huave,23,29
Yom,25,38
Siwu,20,37
Ambulas,17,24
Hoti,21,35
Adamawa Fulfulde,27,36
Mocovi,21,29
Awing,39,56
Kodava,27,52
Ndonga,29,36
San Miguel El Grande Mixtec,15,25
West-Central Limba,17,24
Kayapo,16,33
Adang,18,40
Dobu,19,24
Western Highland Chatino,16,25
Madi,45,54
Tanacross,35,54
Oko-Eni-Osayen,18,30
Tenetehara,14,21
Dadibi,13,23
Paez,29,39
Bodo Gadaba,21,40
Central Aymara,28,31
Quileute,33,37
Guambiano,20,25
Wobe-We Northern,15,48
Telugu,47,68
Mpade,30,40
Malayo,20,27
Telugu,32,43
Kaxarari,15,20
Binumarien,11,16
Budu,31,43
Bafut,21,49
Woun Meu,19,33
Chiquitano,14,26
Buli (Ghana),23,46
Maori,10,20
Barain,16,29
Upper Chehalis,30,34
Eastern Panjabi,32,51
Akurio,10,24
Kimaragang,18,23
Mogholi,24,29
Chuanqiandian Cluster Miao,46,56
North Junin Quechua,19,25
Sao Paulo Kaingang,13,27
Ikwere,23,46
Pemono,12,19
Rendille,21,33
Nomatsiguenga,16,25
Yagua,11,23
Tunia,24,40
Gbaya-Mbodomo,28,38
Gamo-Gofa-Dawro,24,29
Even,18,36
Kuvi,22,37
Nyong,23,42
Merey,33,44
Tilquiapan Zapotec,22,30
Batak Toba,16,21
Bariai,12,17
Arabela,19,29
Czech,25,38
Maba (Chad),22,29
Pai Tavytera,15,27
Gude,30,36
