language,consonants,phonemes
Epena,17,31
Manya,18,27
Siona-Tetete,18,30
Bariai,12,17
Xeta,13,24
Arhuaco,16,32
Panoan Katukina,15,19
Kulung (Nepal),22,43
Baruga,14,24
Sereer,33,43
Cocama-Cocamilla,11,16
Hakka Chinese,16,22
Skou,13,23
Inapari,13,31
Terena-Kinikinao-Chane,13,23
Lango (Sudan),16,32
Liberia Kpelle,21,45
Ndogo,29,38
Caquinte,19,27
Yao,18,29
Koonzime,22,52
Ingush,35,48
Burun,19,38
Dzuungoo,26,55
Giryama,40,47
Olu'bo,34,46
Sissala of Burkina Faso,22,51
Yekhee,26,36
Mesqan,34,41
Bulgarian,37,49
Darma,34,42
Chuanqiandian Cluster Miao,46,56
Koreguaje,18,30
Ghomala',36,59
Korubo,14,20
Bulgarian,36,42
Tinputz,12,26
Marwari (India),36,46
Machinere,13,18
Dghwede,33,38
Yanesha',23,26
Northern Conchucos Ancash Quechua,17,23
Huaylas Ancash Quechua,20,30
Nandi,13,23
Tanacross,35,54
Luiseno,21,26
Soninke,24,39
Mbum,30,38
Mofu-Gudur,35,40
Lango (Uganda),18,40
Moro,22,29
Dhuwal,20,23
Yamana,15,20
Yue Chinese,22,32
Mori Bawah,22,27
Northern Tosk Albanian,28,35
Gen,27,44
Sandawe,44,64
German,23,39
Batak Toba,18,27
French,23,40
Sekpele,21,33
Mampruli,22,32
Mingrelian,30,35
Lele (Chad),23,36
Bribri,18,27
Giryama,40,47
Sindhi,41,61
Pangwa,23,35
Cuvok,27,29
Ayoreo,20,30
Saotomense,19,32
Kotafon Gbe,29,45
Herero,19,26
Swahili,32,37
T'apo,20,25
Macushi,10,22
South Central Dinka,20,60
Kalabari,22,43
Yansi,17,42
Northern Dagara,29,41
Chukchi,15,22
Mwali Comorian,19,24
Kokota,22,27
Tatana,17,21
Palikur,14,24
Samo,12,18
Igbo,43,59
Eastern Arrernte,27,30
Tuvinian,20,29
Sa'ban,38,46
Galibi Carib,16,22
Tol,22,28
Suba-Simbiti,23,39
Gaa,22,34
Cofan,27,37
Bench,29,40
Hakka Chinese,21,31
Hupda,20,29
Bade,33,46
Tolowa-Chetco,29,44
Iu Mien,33,41
Maca,22,32
Sebat Bet Gurage,39,45
Finnish,17,25
Rukai,23,27
Central Kanuri,25,35
Northeastern Dinka,19,32
Shona,37,42
Gude,30,36
Chamacoco,21,37
Abua,27,40
Koho,27,37
Southern Kiwai,12,19
Loma (Liberia),28,42
Kuruaya,18,28
Malayalam,30,43
Naasioi,8,13
Gidar,28,38
Urdu,35,54
Zande,24,32
Lealao Chinantec,28,35
Wubuy,19,23
Tupari,14,29
Palauan,10,22
Keliko,36,45
Yugambeh-Bandjalang,12,16
Beng,24,49
Lithuanian,36,52
Kuikuro-Kalapalo,14,26
Armenian,30,36
Lusi,18,28
Sidamo,25,35
Guinea Kpelle,24,39
Central Mazahua,45,60
Kwangali,22,27
Puinave,8,19
Mmaala,23,34
Galician,21,28
Vaagri Booli,23,37
Tapirape,13,23
Finnish,25,42
Rundi,22,29
Korafe-Yegha,19,24
Koalib-Rere,29,45
Northern Gumuz,34,44
Xwela Gbe,29,45
Ejagham,21,32
Adang,18,40
Komo (Democratic Republic of Congo),24,35
Kodava,27,52
Gbari,24,31
Temein,18,25
Western Farsi,24,30
Tulishi,37,59
Luvale,22,36
Mal,17,41
Ndali,17,31
Ticuna,18,29
Xipaya,14,23
Ngizim,34,40
Dafla,16,27
Mudhili Gadaba,19,31
Bena (Tanzania),22,34
Longto-Voko,20,31
Sora,21,31
Vanimo,12,28
Manam,13,18
Pwo Northern Karen,25,37
Kako,33,47
Wa'ikhana,12,24
Juma,12,24
Sango,26,42
Batak Karo,16,21
Fwai,19,35
Purepecha,26,32
Spokane,38,43
Mocovi,21,29
San Miguel El Grande Mixtec,19,32
Tocho,15,27
Ronga,64,69
Lumun,17,35
Mandarin Chinese,25,32
Paraujano,13,25
Dan,19,39
Beja,21,26
Pampanga,17,22
Yala,28,38
Waima,9,14
Kurukh,21,32
Maasina Fulfulde,27,37
Xavante,11,24
Toba,21,28
Nzima,24,40
Nyang'i,18,25
Mungaka,21,33
Bilua,16,41
Mundari,33,54
S'gaw Karen,27,36
Dagur,22,29
